gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,9,46,30,57,0.21891891891891893,False,estimated,0.0009547914493640414,1.0,0.014321871740460622,0.08945286895003357,0.5357625040220716
VHL,True,17,46,39,57,0.27055702917771884,False,estimated,0.00265073767977274,1.0,0.01988053259829555,0.11930956590719051,0.6135392873226552
CPEB4,False,4,46,0,57,12.176470588235293,True,estimated,0.036909036420489566,1.0,,0.6382222081886598,232.31162138176694
ADAR,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
AKNAD1,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
CEP250,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
COL5A3,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
DNAH8,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
NAV3,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
PAIP1,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
PTPRC,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
PYGM,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
TP53,True,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,0.42917484209871587,0.4656284512620154,183.87121522505214
UPF2,False,3,46,0,57,9.25287356321839,True,estimated,0.08583496841974318,1.0,,0.4656284512620154,183.87121522505214
FLG,False,5,46,1,57,6.829268292682927,False,estimated,0.0865747356329824,1.0,,0.7684935976259006,60.688736454702344
COL11A1,False,0,46,4,57,0.12783751493428913,True,estimated,0.12625204267999618,1.0,,0.006703684760648066,2.4378279719398264
HUWE1,False,0,46,4,57,0.12783751493428913,True,estimated,0.12625204267999618,1.0,,0.006703684760648066,2.4378279719398264
PCLO,False,4,46,1,57,5.333333333333333,False,estimated,0.16974176001266605,1.0,,0.5748804093228941,49.478889840665985
AGAP3,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
ALDH16A1,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
ANKLE2,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
ANPEP,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
ATP4A,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
BICD1,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
BIRC6,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
C6orf62,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CACNA1G,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CADPS,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CASP8AP2,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CDK12,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CFAP57,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CHD9,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CHID1,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
CNOT1,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
COX19,False,2,46,0,57,6.46067415730337,True,estimated,0.19703026841804683,1.0,,0.3024623766134092,138.00166167509096
