gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
BAP1,True,3,83,10,20,0.0375,False,estimated,1.6402894363764123e-06,0.005877157050536685,2.4604341545646186e-05,0.008813480837921791,0.15955670930256327
RYR3,False,0,83,3,20,0.029940119760479042,True,estimated,0.006446104347727749,1.0,,0.0014791803134014685,0.606018592290803
ARHGEF11,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
CDCA2,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
CLUH,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
COBLL1,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
DYNC2H1,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
FRAS1,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
HIP1R,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
IGF1R,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
KCNV2,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
KIAA0586,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
MAST2,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
MYOM3,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
PANK2,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
POC5,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
PPIP5K2,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
PSD3,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
SHOC1,False,0,83,2,20,0.04431137724550898,True,estimated,0.03616980772891681,1.0,,0.0020407882568715618,0.962127328390142
PBRM1,True,35,83,4,20,2.9166666666666665,False,estimated,0.077081158414987,1.0,0.5781086881124025,0.8970303387474936,9.483452317033702
SPTA1,False,3,83,3,20,0.2125,False,estimated,0.08571409268574033,1.0,,0.03945565627632834,1.1444810265921688
ADAMTS12,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
ANO3,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
BRPF3,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
GRID1,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
KHK,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
LAMC2,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
NDST4,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
NUP205,False,1,83,2,20,0.10975609756097561,False,estimated,0.09561721449129493,1.0,,0.009432371318621941,1.2771338770380765
