subtype_id,reference,reference_label,n,fraction
WO_AGENT_SUBTYPE01,tcga_m1_m4,m1,18,0.5454545454545454
WO_AGENT_SUBTYPE01,tcga_m1_m4,m2,10,0.30303030303030304
WO_AGENT_SUBTYPE01,tcga_m1_m4,m3,2,0.06060606060606061
WO_AGENT_SUBTYPE01,tcga_m1_m4,m4,3,0.09090909090909091
WO_AGENT_SUBTYPE02,tcga_m1_m4,m1,5,0.22727272727272727
WO_AGENT_SUBTYPE02,tcga_m1_m4,m2,7,0.3181818181818182
WO_AGENT_SUBTYPE02,tcga_m1_m4,m3,6,0.2727272727272727
WO_AGENT_SUBTYPE02,tcga_m1_m4,m4,4,0.18181818181818182
WO_AGENT_SUBTYPE03,tcga_m1_m4,m1,1,0.058823529411764705
WO_AGENT_SUBTYPE03,tcga_m1_m4,m2,4,0.23529411764705882
WO_AGENT_SUBTYPE03,tcga_m1_m4,m3,7,0.4117647058823529
WO_AGENT_SUBTYPE03,tcga_m1_m4,m4,5,0.29411764705882354
WO_AGENT_SUBTYPE04,tcga_m1_m4,m1,6,0.5
WO_AGENT_SUBTYPE04,tcga_m1_m4,m2,1,0.08333333333333333
WO_AGENT_SUBTYPE04,tcga_m1_m4,m3,3,0.25
WO_AGENT_SUBTYPE04,tcga_m1_m4,m4,2,0.16666666666666666
WO_AGENT_SUBTYPE01,clearcode34,ccA,23,0.7931034482758621
WO_AGENT_SUBTYPE01,clearcode34,ccB,6,0.20689655172413793
WO_AGENT_SUBTYPE02,clearcode34,ccA,9,0.391304347826087
WO_AGENT_SUBTYPE02,clearcode34,ccB,14,0.6086956521739131
WO_AGENT_SUBTYPE03,clearcode34,ccA,0,0.0
WO_AGENT_SUBTYPE03,clearcode34,ccB,13,1.0
WO_AGENT_SUBTYPE04,clearcode34,ccA,6,0.5454545454545454
WO_AGENT_SUBTYPE04,clearcode34,ccB,5,0.45454545454545453
