modality,subtype_a,subtype_b,permanova_p_value,permanova_q_value
ct,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,0.001,0.006
ct,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,0.003,0.009000000000000001
ct,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,0.222,0.222
ct,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,0.001,0.006
ct,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,0.07,0.14
ct,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,0.001,0.006
wsi,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,0.006,0.02
wsi,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,0.005,0.02
wsi,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,0.096,0.192
wsi,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,0.002,0.012
wsi,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,0.135,0.192
wsi,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,0.003,0.015
rna,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,0.001,0.006
rna,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,0.001,0.006
rna,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,0.029,0.058
rna,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,0.002,0.006
rna,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,0.444,0.444
rna,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,0.001,0.006
wxs,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,0.001,0.006
wxs,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,0.001,0.006
wxs,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,0.001,0.006
wxs,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,0.001,0.006
wxs,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,0.001,0.006
wxs,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,0.001,0.006
