subtype_id,collection,pathway,reference_population,ES,NES,nominal_p,fdr_q,fwer_p,lead_genes,target_n,rest_n
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_OXIDATIVE_PHOSPHORYLATION,core_rest,-0.5362324785946979,-2.0393699046869496,0.001,0.001,0.001,ATP6V0B;DECR1;UQCRQ;NDUFS8;COX7B;UQCRH;NQO2;ATP6V1H;PDHA1;COX10;ATP6V0E1;FXN;NDUFA4;ATP5F1C;COX5A;CYCS;COX5B;ECHS1;NDUFA8;ATP5MC3;FH;NDUFB3;ATP5PF;MDH1;COX6C;COX17;ATP6AP1;NDUFB2;OAT;UQCRC1;AIFM1;IDH1;NDUFS3;COX7A2;HCCS;NDUFA2;UQCRFS1;MRPL35;ATP5MG;NDUFB5;ATP6V1E1;ATP6V1G1;COX4I1;PDHX;NDUFA1;ATP5F1A;MRPS11;SLC25A5;SUCLG1;ALAS1;ATP6V1F;PMPCA;SLC25A3;ATP5F1E;SDHA;COX6B1;IMMT;NDUFAB1;NDUFC2;CS;ATP5ME;ATP5MC1;POR;NDUFB4;MRPL34;ISCU;NDUFA6;GPI;COX6A1;PDHB;DLD;GPX4;ISCA1;ATP6V1C1;SURF1;GOT2;MDH2;TIMM17A;NDUFA3;MRPS12;MRPL15;IDH3G;ATP5MF;TOMM70;NNT;SLC25A11;MPC1;GLUD1;HSD17B10;ATP5PD;MTX2;NDUFS2;TIMM50;SDHB;UQCR11;ACAA1;ATP5F1B;UQCR10;COX8A;ATP5PB;NDUFA9;SLC25A12;TCIRG1;ATP5PO;OPA1;TIMM8B;ATP6V1D;MRPS22;PDP1;ATP5MC2;NDUFS1;IDH3A;FDX1;COX7C;SUPV3L1;MRPS15,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_COMPLEMENT,core_rest,-0.5064284601844058,-1.9467603084928564,0.001,0.001,0.001,LTF;ITIH1;TMPRSS6;PRSS3;C2;F3;APOC1;PLA2G7;CTSS;C1QA;PCSK9;F7;CTSC;FCER1G;KCNIP3;CR2;CCL5;ME1;CASP3;TIMP1;GRB2;CXCL1;RASGRP1;C1QC;CR1;IL6;PRKCD;GATA3;C1S;KLK1;CTSB;KIF2A;KYNU;MMP12;ATOX1;GZMA;SCG3;MMP15;PLAUR;ITGAM;F8;C9;GZMK;ACTN2;WAS;S100A13;SERPING1;TFPI2;PRSS36;SRC;PREP;CP;PLEK;RHOG;SERPINC1;CASP5;PIK3CG;LGMN;CTSD;CFH;CASP4;C1R;LCK;S100A9;PIK3R5;CFB;DGKG;LAP3;ANXA5;CDK5R1;RABIF;JAK2;TIMP2;LIPA;GNGT2;MMP14;F10;GNB4;CEBPB;IRF7;LYN;PFN1;IRF2;USP14;LRP1;RNF4;PLA2G4A;C3;APOA4;CASP1;CSRP1;CD40LG;DOCK10;APOBEC3G;FN1;LCP2;IRF1;HSPA5;CPQ;PSMB9;LGALS3;CD55;MMP13;PRDM4;PPP4C;PDP1;PIM1;FDX1;DYRK2;CTSL,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_ALLOGRAFT_REJECTION,core_rest,-0.5102383564380452,-1.9384012689120662,0.001,0.001,0.001,C2;GCNT1;CCR1;HLA-G;CAPG;CTSS;CCL19;GBP2;CCL5;LY86;HLA-A;ITGB2;TIMP1;STAT1;IGSF6;CD96;CD8A;IL6;NME1;CD86;IL10;CXCL9;BCAT1;CD8B;FYB1;IL18;CXCR3;CD2;CD3D;CD79A;NCF4;CD74;B2M;IL12RB1;TLR6;GZMA;HLA-DQA1;IL12B;CD3E;IL2RG;RIPK2;CD7;GPR65;SPI1;IRF4;TRAF2;HLA-DOA;CCR5;CRTAM;CD4;MBL2;WAS;CCL13;PSMB10;UBE2D1;TLR2;HLA-DRA;LIF;LTB;TRAT1;SIT1;CD80;IL2RA;PTPRC;FASLG;MMP9;CXCL13;CCR2;LCK;IFNG;IFNAR2;HLA-DMB;CD3G;CSF1;ITGAL;JAK2;TLR1;IL16;FCGR2B;CSK;IL11;PTPN6;TAPBP;IRF7;LYN;EIF5A;ELF4;HLA-DMA;TAP1;CD47;ELANE;CD40LG;CCND3;STAB1;IL2RB;SOCS1;DEGS1;LCP2;ITK;EIF4G3;CCL11;SRGN;HLA-E;MAP4K1;HCLS1;MAP3K7;PRKCB;IL1B;TPD52;RPL39;CD247;MRPL3;GALNT1,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_INTERFERON_ALPHA_RESPONSE,core_rest,-0.5340707443054624,-1.9277677630042824,0.001,0.001,0.001,IFI27;CNP;GMPR;GBP2;LGALS3BP;SAMD9L;TRAFD1;C1S;RTP4;NUB1;CD74;B2M;PARP9;RIPK2;MX1;EPSTI1;SAMD9;ISG20;PSME2;RSAD2;OASL;OAS1;BST2;LAP3;HERC6;PSMB8;TRIM14;LPAR6;CSF1;LAMP3;TMEM140;IRF7;LY6E;IRF2;UBE2L6;CXCL10;DHX58;TAP1;CD47;EIF2AK2;CASP1;ISG15;OGFR;CXCL11;MOV10;IRF1;PSMB9;BATF2;SLC25A28;CCRL2;UBA7;CMPK2;TENT5A;IFIT3;STAT2;HLA-C;PARP14;TRIM21;IL15;TXNIP;IFIT2;IFI35;CASP8;IFI44;ADAR,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_INTERFERON_GAMMA_RESPONSE,core_rest,-0.48974653089137693,-1.8733075707066102,0.001,0.001,0.001,IFI27;CD38;HLA-G;SLAMF7;CMKLR1;LGALS3BP;CCL5;NUP93;FCGR1A;HLA-A;CASP3;SAMD9L;GBP6;STAT1;IL6;TRAFD1;CD86;CXCL9;C1S;APOL6;SAMHD1;RTP4;CD74;B2M;IL18BP;XCL1;GZMA;SECTM1;HLA-DQA1;VAMP8;CSF2RB;RIPK2;IL10RA;MX1;IRF4;ZBP1;EPSTI1;MX2;RNF213;ISG20;SERPING1;PSME2;MARCHF1;PSMB10;TNFSF10;HLA-DRB1;PML;RSAD2;PSMB2;CFH;OASL;GCH1;CASP4;OAS2;GPR18;C1R;BST2;CFB;IFNAR2;LAP3;HLA-B;HERC6;PSMB8;TRIM14;JAK2;SPPL2A;PTPN6;TAPBP;IRF7;LY6E;IRF2;SOD2;HLA-DMA;UBE2L6;FGL2;IDO1;CXCL10;DHX58;PTPN1;PLA2G4A;CD274;TAP1;EIF2AK2;CASP1;IL2RB;PTPN2;ISG15;SOCS1;OGFR;CXCL11;LCP2;IRF1;PSMB9;ST3GAL5;BATF2;SLC25A28;MYD88;FPR1;PIM1;CMPK2;IFIT3;STAT2;MVP;IRF5;FAS;PARP14;CDKN1A;SELP;CD69;TRIM21;IL15;TXNIP,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_IL6_JAK_STAT3_SIGNALING,core_rest,-0.5144897764239313,-1.808521862757222,0.001,0.001,0.002,PLA2G2A;CCR1;CD38;REG1A;CD44;CNTFR;BAK1;IL13RA1;CSF2;GRB2;CXCL1;DNTT;STAT1;IL6;CXCL9;IL12RB1;CD14;CSF2RB;IL17RB;IL2RG;CSF2RA;TNFRSF12A;TLR2;LTB;IL2RA;IL1R1;EBI3;CXCL13;PIK3R5;CSF1;HMOX1;ITGB3;TNFRSF1B;CSF3R;LEPR;CXCL10;PTPN1;PTPN2;SOCS1;CXCL11;IRF1;ACVR1B;MYD88;TNFRSF1A;PIM1;IL9R;IL1B;CD9;STAT2,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_ESTROGEN_RESPONSE_LATE,core_rest,-0.4508136806108531,-1.720751673182052,0.001,0.001602919255978312,0.012,PTGES;TRIM29;GJB3;LTF;MDK;PKP3;ST14;CCNA1;PPIF;SCNN1A;NBL1;NMU;TNNC1;KRT19;GLA;TMPRSS3;CD44;CCN5;SFN;LAMC2;HPRT1;TJP3;AGR2;CLIC3;ANXA9;ALDH3B1;TFAP2C;DNAJC12;SLC2A8;SLC24A3;BATF;ASCL1;TPD52L1;PCP4;COX6C;IL17RB;TPBG;SERPINA3;CXCL14;ISG20;SORD;TFPI2;PRKAR2B;GALE;SEMA3B;SOX3;PRLR;PDLIM3;S100A9;MICB;ITPK1;DUSP2;PGR;SIAH2;ABCA3;PLXNB1;TST;STIL;FOXC1;JAK2;WFS1;DHRS2;DLG5;AMFR;PTPN6;TH;OLFM1;CPE;GFUS;BAG1;SCUBE2;SLC29A1;LSR;CA12;DYNLT3;KLK10;XBP1;CKB,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_INFLAMMATORY_RESPONSE,core_rest,-0.44208618859932547,-1.6927537541394078,0.001,0.002688229168880294,0.022,NDP;CD82;F3;DCBLD2;PDPN;LPAR1;PTAFR;CMKLR1;CCL5;MARCO;ROS1;TIMP1;RASGRP1;IL6;IL10;CXCL9;LTA;MSR1;IL18;SPHK1;GNA15;OSM;RTP4;CYBB;CXCR6;IL1A;CD14;IL12B;PCDH7;SLC31A1;PLAUR;BDKRB1;TNFRSF9;NOD2;RIPK2;TPBG;IL10RA;GPC3;ADGRE1;TNFSF10;TLR2;LIF;SLAMF1;RHOG;CCL17;KCNA3;MET;CCL24;SELENOS;IL1R1;EBI3;GCH1;MEP1A;KCNMB2;PTGER4;LCK;BST2;PVR;PIK3R5;HRH1;GPR132;CD48;AQP9;RGS1;C3AR1;ITGB8;CSF1;LAMP3;ITGB3;TLR1;MMP14;TAPBP;IRF7;LYN;LY6E;TNFRSF1B;CSF3R;CXCL10;ADRM1;PTGER2;TNFSF9;EIF2AK2;GPR183;STAB1;IL2RB;CXCL11;LCP2;IRF1;CD55;ACVR1B;AXL;CCRL2;FPR1;RGS16;SLC31A2;IL1B;CXCL8;ATP2B1;HAS2;CLEC5A;MXD1;PROK2;EMP3;CCL22;CDKN1A;OSMR;CD69;P2RY2;INHBA;IL15;ABI1,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_XENOBIOTIC_METABOLISM,core_rest,-0.4447412257100002,-1.6883371855806917,0.001,0.002389537039004706,0.022,PTGES;ITIH1;CYP2C18;IGF1;VNN1;FETUB;APOE;ANGPTL3;GCKR;CYP1A1;IGFBP1;ADH1C;CASP6;CRP;MPP2;GAD1;PGD;REG1A;ACP2;CCL25;CBR1;CYP4F2;CES1;HPRT1;NMT1;HRG;NINJ1;FBLN1;PTGDS;GSS;HES6;CYP2S1;HGFAC;BCAT1;GSTM4;KYNU;HACL1;SLC46A3;FABP1;GSTO1;IDH1;MBL2;PSMB10;ACOX3;XDH;IL1R1;PTS;SLC6A6;GCH1;ALAS1;PEMT;CYP17A1;ITIH4;ACSM1;CFB;POR;MAN1A1;ALDH2;AQP9;HMOX1;SLC35D1;CYP2E1;F10;CYP26A1;PC;NPC1;GABARAPL1;CROT;LPIN2;NQO1;DDAH2;ABCD2,39,64
WO_AGENT_SUBTYPE01,HALLMARK,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,core_rest,-0.5040872699967386,-1.6304237597305526,0.001,0.004488173916739274,0.045,FTL;MPO;LSP1;PRDX1;ATOX1;PRDX6;PTPA;G6PD;IPCEF1;GPX3;SELENOS;SOD1;NDUFB4;MBP;NDUFA6;LAMTOR5;PRDX2;GPX4;PRNP;ABCC1;TXN;NQO1;SOD2;MGST1;GSR;NDUFS2,39,64
