feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
HALLMARK_ADIPOGENESIS,core,4,103,0.011386741224380522,0.0814507925495903,0.0521274152099926
HALLMARK_ALLOGRAFT_REJECTION,core,4,103,0.00037551014399118303,0.1548775161949416,0.01877550719955915
HALLMARK_ANDROGEN_RESPONSE,core,4,103,0.06835660078108012,0.04155389682203159,0.13671320156216024
HALLMARK_ANGIOGENESIS,core,4,103,0.03177251760123121,0.05879476330041329,0.07943129400307802
HALLMARK_APICAL_JUNCTION,core,4,103,0.15557371296607844,0.022545826226955612,0.24308392650949756
HALLMARK_APICAL_SURFACE,core,4,103,0.5347581942439164,0.0,0.6684477428048954
HALLMARK_APOPTOSIS,core,4,103,0.05659447974189993,0.045836620129544585,0.12303147769978245
HALLMARK_BILE_ACID_METABOLISM,core,4,103,0.024623447245638034,0.06446189303400987,0.07409610093614748
HALLMARK_CHOLESTEROL_HOMEOSTASIS,core,4,103,0.5700653043420834,0.0,0.6786491718358135
HALLMARK_COAGULATION,core,4,103,0.13958517813006102,0.025093183375122292,0.24092151686272256
HALLMARK_COMPLEMENT,core,4,103,0.007963953136382231,0.08925976407546687,0.0521274152099926
HALLMARK_DNA_REPAIR,core,4,103,0.19813745992707454,0.016805984989391065,0.2835299541347656
HALLMARK_E2F_TARGETS,core,4,103,0.8566879786658125,0.0,0.8741714068018495
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,core,4,103,0.14937134045488798,0.023503260346474535,0.24092151686272256
HALLMARK_ESTROGEN_RESPONSE_EARLY,core,4,103,0.19847096789433594,0.016765752095439856,0.2835299541347656
HALLMARK_ESTROGEN_RESPONSE_LATE,core,4,103,0.12126284520673837,0.02837735707535011,0.22456082445692288
HALLMARK_FATTY_ACID_METABOLISM,core,4,103,0.02959123869236707,0.060379012177416584,0.07787168076938702
HALLMARK_G2M_CHECKPOINT,core,4,103,0.366853844892071,0.001668364372837822,0.5095192290167653
HALLMARK_GLYCOLYSIS,core,4,103,0.6718790915833857,0.0,0.7812547576550997
HALLMARK_HEDGEHOG_SIGNALING,core,4,103,0.0023416091924334296,0.11575572408885662,0.02927011490541787
HALLMARK_HEME_METABOLISM,core,4,103,0.00580700513371251,0.09612962864065022,0.04839170944760426
HALLMARK_HYPOXIA,core,4,103,0.8054665968653867,0.0,0.8500568695103435
HALLMARK_IL2_STAT5_SIGNALING,core,4,103,0.14509789284847652,0.024185047221015502,0.24092151686272256
HALLMARK_IL6_JAK_STAT3_SIGNALING,core,4,103,0.0019437597553789397,0.11975951078133705,0.02927011490541787
HALLMARK_INFLAMMATORY_RESPONSE,core,4,103,0.013427186158299454,0.07783752132989646,0.0521274152099926
HALLMARK_INTERFERON_ALPHA_RESPONSE,core,4,103,0.0226265498939601,0.06633589895773988,0.07409610093614748
HALLMARK_INTERFERON_GAMMA_RESPONSE,core,4,103,0.021622289933227946,0.06734062765766761,0.07409610093614748
HALLMARK_KRAS_SIGNALING_DN,core,4,103,0.5265808045194751,0.0,0.6684477428048954
HALLMARK_KRAS_SIGNALING_UP,core,4,103,0.028198677729433755,0.06145137629695193,0.07787168076938702
HALLMARK_MITOTIC_SPINDLE,core,4,103,0.16719978162763893,0.02084431123735858,0.25333300246611956
HALLMARK_MTORC1_SIGNALING,core,4,103,0.7677728178574645,0.0,0.8500568695103435
HALLMARK_MYC_TARGETS_V1,core,4,103,0.7083499371249091,0.0,0.804943110369215
HALLMARK_MYC_TARGETS_V2,core,4,103,0.5619133559162155,0.0,0.6786491718358135
HALLMARK_MYOGENESIS,core,4,103,0.025192674318290146,0.06395497345170904,0.07409610093614748
HALLMARK_NOTCH_SIGNALING,core,4,103,0.00422888185827895,0.10300256403330466,0.042288818582789496
HALLMARK_OXIDATIVE_PHOSPHORYLATION,core,4,103,0.06700581661029299,0.042007761097596755,0.13671320156216024
HALLMARK_P53_PATHWAY,core,4,103,0.4064662864301304,0.0,0.5348240610922769
HALLMARK_PANCREAS_BETA_CELLS,core,4,103,0.0013316284782670786,0.127873368865081,0.02927011490541787
HALLMARK_PEROXISOME,core,4,103,0.012263903456888516,0.07982510013696045,0.0521274152099926
HALLMARK_PI3K_AKT_MTOR_SIGNALING,core,4,103,0.8160545947299298,0.0,0.8500568695103435
HALLMARK_PROTEIN_SECRETION,core,4,103,0.034479667158326885,0.05697038245401275,0.08209444561506402
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,core,4,103,0.010832709254033677,0.0825425114928599,0.0521274152099926
HALLMARK_SPERMATOGENESIS,core,4,103,0.14416799603267863,0.024335917414526818,0.24092151686272256
HALLMARK_TGF_BETA_SIGNALING,core,4,103,0.009454249486004101,0.08551767112862303,0.0521274152099926
HALLMARK_TNFA_SIGNALING_VIA_NFKB,core,4,103,0.10898954857345404,0.030853329418098867,0.20959528571818084
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,core,4,103,0.8839565496076023,0.0,0.8839565496076023
HALLMARK_UV_RESPONSE_DN,core,4,103,0.03938020267084578,0.053998076507050796,0.08950046061555858
HALLMARK_UV_RESPONSE_UP,core,4,103,0.4035897079976468,0.0,0.5348240610922769
HALLMARK_WNT_BETA_CATENIN_SIGNALING,core,4,103,0.013553127954598078,0.07763260607041479,0.0521274152099926
HALLMARK_XENOBIOTIC_METABOLISM,core,4,103,0.8001398971570018,0.0,0.8500568695103435
