subtype_id,gene,direction,padj,log2_fold_change
WO_AGENT_SUBTYPE01,SST,up,9.810728342984727e-09,4.118672928570949
WO_AGENT_SUBTYPE01,GRIK3,up,2.464592749907004e-07,1.4168738631090212
WO_AGENT_SUBTYPE01,AGTR1,up,4.3539647302374007e-07,1.7604663262023705
WO_AGENT_SUBTYPE01,CACNG5,up,9.948941826783727e-07,2.388705956876028
WO_AGENT_SUBTYPE01,MDGA2,up,1.240547889364158e-06,1.7566501662051526
WO_AGENT_SUBTYPE01,SCGN,up,5.543434474294266e-06,2.1500015921813693
WO_AGENT_SUBTYPE01,FAM9C,up,6.192744166430967e-06,1.2554011546260295
WO_AGENT_SUBTYPE01,ALPL,up,6.64382140734975e-06,1.670226346333828
WO_AGENT_SUBTYPE01,COL25A1,up,6.9050913013130116e-06,1.5350568069399326
WO_AGENT_SUBTYPE01,KIF26A,up,7.819905169213096e-06,1.2186040404397758
WO_AGENT_SUBTYPE01,CHRDL1,down,2.6503781142511656e-27,-5.801854077685656
WO_AGENT_SUBTYPE01,EEF1A2,down,2.5286639731041237e-23,-4.2280649172848
WO_AGENT_SUBTYPE01,ARX,down,3.8503716137722855e-23,-6.361201082391769
WO_AGENT_SUBTYPE01,PVALB,down,1.6397410912143387e-19,-6.21858782742447
WO_AGENT_SUBTYPE01,CCNO,down,9.683885516417132e-17,-3.2940584627827048
WO_AGENT_SUBTYPE01,COL17A1,down,1.2882761918318793e-16,-3.399641777373938
WO_AGENT_SUBTYPE01,BCAS1,down,1.2568678178252501e-14,-3.7721466239912607
WO_AGENT_SUBTYPE01,KCNS1,down,4.851008324828144e-14,-3.9244376156390275
WO_AGENT_SUBTYPE01,TSPAN8,down,5.299783782891796e-14,-3.126655241606214
WO_AGENT_SUBTYPE01,KCNJ13,down,1.0112734912066736e-13,-3.9132639223526478
WO_AGENT_SUBTYPE02,NMRK2,up,3.4041516061983427e-17,6.3048281777629445
WO_AGENT_SUBTYPE02,SMOC1,up,3.4041516061983427e-17,4.8499795205184935
WO_AGENT_SUBTYPE02,INSYN1,up,4.105500368496445e-17,3.6492929631685795
WO_AGENT_SUBTYPE02,ASB5,up,3.9609131105775633e-16,4.652605241975604
WO_AGENT_SUBTYPE02,HHATL,up,4.027664559677856e-16,6.132963742669863
WO_AGENT_SUBTYPE02,THRSP,up,4.613243290545429e-15,4.957719121308867
WO_AGENT_SUBTYPE02,SCEL,up,7.741584316238252e-14,4.566068440613411
WO_AGENT_SUBTYPE02,CDH12,up,1.9887551647605358e-13,4.5645958245145115
WO_AGENT_SUBTYPE02,PNLIPRP3,up,3.1290297117888077e-13,7.596840017091267
WO_AGENT_SUBTYPE02,SLC2A12,up,5.773597124296558e-13,3.062703142204307
WO_AGENT_SUBTYPE02,SLC18A3,down,7.17026731514351e-08,-5.010608836389824
WO_AGENT_SUBTYPE02,CACNG5,down,1.4316557418867766e-07,-2.818091512300419
WO_AGENT_SUBTYPE02,TUBA3E,down,8.492947897955305e-07,-3.4056932654514416
WO_AGENT_SUBTYPE02,ZNF114,down,3.268189021819419e-06,-2.3398983168805523
WO_AGENT_SUBTYPE02,SRRM4,down,3.419179591322525e-05,-1.9087545317311976
WO_AGENT_SUBTYPE02,CCL21,down,5.232148095598418e-05,-2.6742073171918355
WO_AGENT_SUBTYPE02,CHRND,down,8.17066046945028e-05,-1.9415028353207864
WO_AGENT_SUBTYPE02,PYGM,down,0.00013903081462007292,-0.9449385962496155
WO_AGENT_SUBTYPE02,FDCSP,down,0.0001453354807048753,-4.391415431230496
WO_AGENT_SUBTYPE02,TWIST2,down,0.00024773254448318317,-1.4445648561337114
WO_AGENT_SUBTYPE03,FDCSP,up,3.9749654024435596e-16,7.62932778958435
WO_AGENT_SUBTYPE03,S100G,up,3.882335592849523e-12,6.159658854033016
WO_AGENT_SUBTYPE03,COLGALT2,up,7.302668330118106e-12,2.9323572899799117
WO_AGENT_SUBTYPE03,PI16,up,1.2775360305679211e-09,3.6049624934962567
WO_AGENT_SUBTYPE03,SPIB,up,1.6359323207540057e-09,2.6235017878398073
WO_AGENT_SUBTYPE03,LEFTY2,up,2.0535751343830682e-09,3.2745953085148796
WO_AGENT_SUBTYPE03,WNT4,up,1.3159347904418624e-08,2.65075057407686
WO_AGENT_SUBTYPE03,LGALS9,up,4.1578433062462485e-08,1.1670773434981425
WO_AGENT_SUBTYPE03,KIRREL3,up,5.41260151115997e-08,2.3073342089521542
WO_AGENT_SUBTYPE03,C2CD2L,up,1.547604115809717e-07,0.6108840596604274
WO_AGENT_SUBTYPE03,SULT1C4,down,1.3159347904418624e-08,-2.2255431783041772
WO_AGENT_SUBTYPE03,LIN7A,down,4.2828812985949865e-07,-1.9971706739066362
WO_AGENT_SUBTYPE03,PABPC4L,down,7.04737117626608e-07,-1.3987536052583258
WO_AGENT_SUBTYPE03,SLC22A24,down,3.2169864801480397e-06,-2.963514139505311
WO_AGENT_SUBTYPE03,THRA,down,4.1175510834083765e-06,-0.7050247472330934
WO_AGENT_SUBTYPE03,ZNRF3,down,4.28871477649608e-06,-1.0101188988613101
WO_AGENT_SUBTYPE03,UBE3D,down,5.356810332416695e-06,-0.5737640676111576
WO_AGENT_SUBTYPE03,UNC119B,down,5.954374957159324e-06,-0.8741412732808568
WO_AGENT_SUBTYPE03,PDK4,down,9.611893477012702e-06,-2.150467029567798
WO_AGENT_SUBTYPE03,TMEM38B,down,1.0328738332953641e-05,-1.1825946551459865
WO_AGENT_SUBTYPE04,OPN4,up,0.0003759347570607981,2.809310398531825
WO_AGENT_SUBTYPE04,FLG,up,0.003620059961802558,2.0442137114554595
WO_AGENT_SUBTYPE04,AFF2,up,0.004920004337953475,1.547237705990106
WO_AGENT_SUBTYPE04,MEGF10,up,0.005462995870570219,2.1770837927533666
WO_AGENT_SUBTYPE04,APCDD1L,up,0.006560993994619262,2.6457894039775334
WO_AGENT_SUBTYPE04,ENPP6,up,0.010450187033515732,1.5405434081145086
WO_AGENT_SUBTYPE04,HTR1D,up,0.013479869764708859,1.926104945377182
WO_AGENT_SUBTYPE04,PTPRN2,up,0.014821719614562974,0.9019357619842961
WO_AGENT_SUBTYPE04,DIO2,up,0.01589869936498171,1.973839979301304
WO_AGENT_SUBTYPE04,C1QTNF3,up,0.01862006701037759,1.7510636502144539
WO_AGENT_SUBTYPE04,PVALB,down,2.1494986148420644e-07,-6.922003832816452
WO_AGENT_SUBTYPE04,LGALS4,down,1.3774995026420089e-06,-4.621066703928732
WO_AGENT_SUBTYPE04,CTXN3,down,1.7766807086311986e-05,-5.524580783926
WO_AGENT_SUBTYPE04,SCNN1G,down,3.9560029556309976e-05,-4.464201246956205
WO_AGENT_SUBTYPE04,SLCO1A2,down,4.752901023250861e-05,-4.481663055773258
WO_AGENT_SUBTYPE04,UMOD,down,6.815334464565327e-05,-5.441420149379939
WO_AGENT_SUBTYPE04,GC,down,6.815334464565327e-05,-4.56159338948546
WO_AGENT_SUBTYPE04,MSLN,down,7.074831804756098e-05,-4.134787500730905
WO_AGENT_SUBTYPE04,RHCG,down,8.567881062399882e-05,-5.178549425942774
WO_AGENT_SUBTYPE04,AQP6,down,0.00014027010922285508,-4.537408255789304
