pathway,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04
HALLMARK_ADIPOGENESIS,-1.3266538846529228,1.9719221999100474,-1.2862391349817877,-1.2476079909984858
HALLMARK_ALLOGRAFT_REJECTION,-1.9353134426060432,-1.2857600447541244,2.795494201957457,-1.1861736957956197
HALLMARK_ANDROGEN_RESPONSE,-0.5723874396424191,1.7150515079643724,-1.8695012203387105,-0.730885625234909
HALLMARK_APOPTOSIS,-1.4184582165925714,1.1647492265623078,1.316416660261402,-0.8495098937614922
HALLMARK_BILE_ACID_METABOLISM,-1.3612852880711852,1.6854365298337988,-1.6188429823428447,-1.0596230198809915
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.148618855124952,1.5383265687272225,-1.0275389874571357,-1.1320606838497982
HALLMARK_COAGULATION,-1.5909599702284647,1.1121209864148938,1.4541924881761996,-1.0055036299160371
HALLMARK_COMPLEMENT,-1.9422025202061797,1.2344846669861091,1.8496682950488927,-1.132141135355237
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.5763868055773231,-0.9162876349340444,1.3984673166835386,1.4771743658666558
HALLMARK_ESTROGEN_RESPONSE_EARLY,-1.2750657950098752,1.498929415670927,-1.4212252316054155,0.9527066569714835
HALLMARK_ESTROGEN_RESPONSE_LATE,-1.7185715113008748,1.8633291714651885,-1.1777418851439259,-1.0008868613956927
HALLMARK_FATTY_ACID_METABOLISM,-1.3913111281370378,2.200851548581776,-1.6552039511775232,-1.360407868118196
HALLMARK_GLYCOLYSIS,-1.4495720158941587,1.4892177676935032,0.930681905506072,-0.9074445127084863
HALLMARK_HEDGEHOG_SIGNALING,-0.9006840759435727,-1.1125367186199753,-1.0222499610062912,1.885847543620962
HALLMARK_HEME_METABOLISM,-0.699983906809687,1.2780054335488795,-1.5842298350793431,1.1501214546430527
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.8225447171846896,-1.1238414945836666,2.339110431586487,-1.0020421785244513
HALLMARK_INFLAMMATORY_RESPONSE,-1.693770433384009,0.8085223201162421,1.9819178611740662,-0.8917203636566706
HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.934177770958596,0.6354625276870323,2.371048744187856,-1.2029234966687155
HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.8711620516497305,-0.6372887542952801,2.4172286742805547,-1.0076598568805952
HALLMARK_KRAS_SIGNALING_UP,-1.4051189776764714,1.4200431421213804,1.0122896531916477,-0.7823210590900773
HALLMARK_MITOTIC_SPINDLE,0.9870905151942694,-0.9228114997406838,-1.1771167552973762,1.774125171125332
HALLMARK_MTORC1_SIGNALING,-1.2711927912028393,1.96223341280855,-1.211892129595792,-1.0602318214335829
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-2.0337080575449717,2.76214688660561,-0.992123163920921,-1.8333486452974976
HALLMARK_PEROXISOME,-1.3549512894027704,1.937161490221526,-1.2987277766471348,-1.0135599009555345
HALLMARK_PROTEIN_SECRETION,-1.4953588904482915,2.235808452347132,-1.9749766785395,1.1903915305107664
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.6349345500773698,1.617958732609594,1.290887450990612,-1.476088425446469
HALLMARK_TGF_BETA_SIGNALING,1.3999905104023271,-1.0727269382336373,-1.2621568547883226,1.4544140996798947
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.2129000840274797,1.4267260342963968,-0.8790054625887772,-0.7931188487560376
HALLMARK_UV_RESPONSE_DN,1.2625409753054053,0.8959671176847644,-2.0714964212099325,2.0744396912945473
HALLMARK_UV_RESPONSE_UP,-1.3903704319630457,1.3744743091783957,1.2147560273675677,-1.1082235128972242
HALLMARK_XENOBIOTIC_METABOLISM,-1.6818801918890778,1.6766768824593221,-1.2330385029802144,-1.3031875202096923
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.6330780162916536,1.228769054067234,2.0016308585347007,-1.968755832262488
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.3970105233613728,1.1004657284848882,1.7526083912291435,-1.9030928655408677
KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY,-0.717661253519716,-1.3529699595411755,1.8696212441908082,-0.5708288613296217
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY,-1.52199443219097,-1.492743346472857,2.2506495154117943,-1.0892469684272195
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.6947401447807078,1.820291064279419,1.7033526452598666,-2.0368257867637287
