feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value,analysis_role
prob_adipose_tissue,core,4,103,0.18762015702459672,0.018108239995059432,0.31270026170766124,auxiliary_segmentation_classifier_characterization
prob_blank_space,core,4,103,0.14030409795700705,0.02497284503114616,0.2806081959140141,auxiliary_segmentation_classifier_characterization
prob_clear_cell_renal_cell_carcinoma,core,4,103,0.7143504545293689,0.0,0.7653787754527112,auxiliary_segmentation_classifier_characterization
prob_cyst_content,core,4,103,0.7653787754527112,0.0,0.7653787754527112,auxiliary_segmentation_classifier_characterization
prob_fibrocollagenous_tissue,core,4,103,0.49099967798530486,0.0,0.7014281114075784,auxiliary_segmentation_classifier_characterization
prob_hemorrhage,core,4,103,0.03225833798570331,0.058456435047655575,0.08064584496425826,auxiliary_segmentation_classifier_characterization
prob_inflammation,core,4,103,0.6179423165817519,0.0,0.7653787754527112,auxiliary_segmentation_classifier_characterization
prob_marker,core,4,103,0.017187658931323378,0.07240800400838011,0.08064584496425826,auxiliary_segmentation_classifier_characterization
prob_necrosis,core,4,103,0.0264049156329046,0.06291183741375266,0.08064584496425826,auxiliary_segmentation_classifier_characterization
prob_renal_parenchyma,core,4,103,0.016250353928159104,0.07364300499102568,0.08064584496425826,auxiliary_segmentation_classifier_characterization
