feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
mutation::ATM,4,103,0,6,103,estimable,10.455194290245837,0.0108,0.0351,9999
mutation::BAP1,4,103,0,13,103,estimable,33.09233526330299,0.0001,0.00043333333333333337,9999
mutation::DST,4,103,0,6,103,estimable,2.606677083955102,0.495,0.7456222222222222,9999
mutation::FLG,4,103,0,6,103,estimable,4.906727607093419,0.1651,0.3588,9999
mutation::KDM5C,4,103,0,6,103,estimable,4.906727607093419,0.1656,0.3588,9999
mutation::LYST,4,103,0,6,103,estimable,1.4962298795687556,0.7555,0.7554999999999998,9999
mutation::MTOR,4,103,0,6,103,estimable,1.4962298795687556,0.7532,0.7554999999999998,9999
mutation::MUC16,4,103,0,8,103,estimable,1.8038059400983846,0.6596,0.7554999999999998,9999
mutation::PBRM1,4,103,0,39,103,estimable,42.148606604313805,0.0001,0.00043333333333333337,9999
mutation::SETD2,4,103,0,6,103,estimable,2.0691693740247117,0.5966,0.7554999999999998,9999
mutation::SPTA1,4,103,0,6,103,estimable,4.65116643785583,0.1993,0.3701285714285714,9999
mutation::TTN,4,103,0,10,103,estimable,2.5783802929640602,0.5162,0.7456222222222222,9999
mutation::VHL,4,103,0,56,103,estimable,43.42537775510922,0.0001,0.00043333333333333337,9999
