feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::ATM,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0,0,0.15384615384615385,0.0,0.15384615384615385,12.223880597014926,0.6610380414502671,226.04335526931973,0.030498981493370166,0.182993888960221
mutation::ATM,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0,0,0.15384615384615385,0.0,0.15384615384615385,7.955223880597015,0.42541049208274023,148.76357816325867,0.08669014601217992,0.4334507300608996
mutation::ATM,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0,0,0.15384615384615385,0.0,0.15384615384615385,5.2388059701492535,0.27555196259208437,99.60040833931576,0.31721858956348503,1.0
mutation::ATM,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,31,20,0,0,0.0,0.0,0.0,0.6507936507936508,0.012415320559914591,34.113688315128144,1.0,1.0
mutation::ATM,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,31,13,0,0,0.0,0.0,0.0,0.42857142857142855,0.008076382321054218,22.742047377937887,1.0,1.0
mutation::ATM,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,20,13,0,0,0.0,0.0,0.0,0.6585365853658537,0.012308334180095483,35.233885261795365,1.0,1.0
mutation::BAP1,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0,0,0.0,0.0967741935483871,-0.0967741935483871,0.10307414104882459,0.005120785588856567,2.0747360670739003,0.08211545487760319,0.24634636463280957
mutation::BAP1,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0,0,0.0,0.5,-0.5,0.012658227848101266,0.0006843689040416426,0.23412918282549064,2.9406467217302765e-06,1.7643880330381658e-05
mutation::BAP1,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0,0,0.0,0.0,0.0,0.34177215189873417,0.006460726418252881,18.07973225479479,1.0,1.0
mutation::BAP1,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,31,20,0,0,0.0967741935483871,0.5,-0.4032258064516129,0.10714285714285714,0.024425612031042918,0.46998174793512204,0.0023491682827576164,0.010768137436658018
mutation::BAP1,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,31,13,0,0,0.0967741935483871,0.0,0.0967741935483871,3.3157894736842106,0.15969650047371486,68.84596594904495,0.543566898218061,1.0
mutation::BAP1,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,20,13,0,0,0.5,0.0,0.5,27.0,1.4138917550763044,515.59816894233,0.0021536274873316034,0.010768137436658018
mutation::DST,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0,0,0.10256410256410256,0.03225806451612903,0.07030603804797353,3.4285714285714284,0.3631972599711265,32.36561322558115,0.3736741938826147,1.0
mutation::DST,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0,0,0.10256410256410256,0.05,0.05256410256410256,2.1714285714285713,0.22627164426613838,20.838236519245296,0.653160982792777,1.0
mutation::DST,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0,0,0.10256410256410256,0.0,0.10256410256410256,3.4225352112676055,0.17241117587247112,67.94076551644775,0.5611524609843939,1.0
