feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
original_shape_Elongation,core,5,79,0.15266404039095818,0.03647565718768233,0.1956679954306647
original_shape_Flatness,core,5,79,0.21593491530371303,0.024097247060063404,0.26130421931699316
original_shape_LeastAxisLength,core,5,79,0.16257153590776235,0.034262592569555286,0.20604470428421134
original_shape_MajorAxisLength,core,5,79,0.20385059125696056,0.026184930255342,0.24933338446751896
original_shape_Maximum2DDiameterColumn,core,5,79,0.547881553913306,0.0,0.585178655001301
original_shape_Maximum2DDiameterRow,core,5,79,0.27407068699384823,0.015290301449320432,0.32139732624278594
original_shape_Maximum2DDiameterSlice,core,5,79,0.16987029899914807,0.032709179738684105,0.2132006950566471
original_shape_MinorAxisLength,core,5,79,0.31826496124256537,0.00960702323439631,0.35960845935038205
original_shape_Sphericity,core,5,79,0.004044401073701574,0.15325212115164666,0.009534727919866405
original_shape_SurfaceVolumeRatio,core,5,79,0.1513316607805171,0.036783180980174204,0.1945082080653539
original_firstorder_Kurtosis,core,5,79,0.45865059741685643,0.0,0.5004460955028049
original_firstorder_Minimum,core,5,79,9.025239856111174e-05,0.2666922701614152,0.00044155743382049296
original_firstorder_Range,core,5,79,1.1594173757841184e-06,0.3927458859895571,2.0289804076222073e-05
original_firstorder_Skewness,core,5,79,0.2463676525936345,0.019261781560040953,0.2934483820159783
original_glcm_Autocorrelation,core,5,79,2.350358591541512e-05,0.3059463735887783,0.000157443610123858
original_glcm_Idmn,core,5,79,0.08057690148848427,0.05836094005397823,0.11713255647687011
original_glcm_Idn,core,5,79,0.012138329947237328,0.11932095177743879,0.023908831714255344
original_glcm_Imc1,core,5,79,0.036916120301312465,0.08402282748801711,0.06107939904398972
original_glcm_Imc2,core,5,79,0.14212995366859738,0.038977095622665214,0.18690499687633472
original_glcm_InverseVariance,core,5,79,0.030570427571444056,0.09009700688893738,0.0520956724532099
original_glcm_JointEntropy,core,5,79,1.9603118244688346e-06,0.3776782536276196,2.702854182222181e-05
original_glcm_MaximumProbability,core,5,79,1.4939117491667867e-06,0.3854772494013002,2.4276065923960283e-05
original_glcm_SumSquares,core,5,79,0.0002743686660737211,0.23397133864301545,0.0010950679216100274
original_glrlm_LongRunHighGrayLevelEmphasis,core,5,79,0.05554077333039832,0.07071117111069643,0.08624932377246156
original_glrlm_LongRunLowGrayLevelEmphasis,core,5,79,8.638414493992898e-08,0.46685920637265566,6.550797657944614e-06
original_glrlm_RunEntropy,core,5,79,0.22942647031987504,0.021884631682890995,0.2747080105145872
original_glszm_GrayLevelNonUniformityNormalized,core,5,79,0.002565703547001247,0.16710436234565906,0.006494941169204942
original_glszm_GrayLevelVariance,core,5,79,4.881118104039266e-05,0.2846664040334926,0.00026610756163930865
original_glszm_HighGrayLevelZoneEmphasis,core,5,79,4.4052855901642466e-08,0.4859869618611706,6.550797657944614e-06
original_glszm_LowGrayLevelZoneEmphasis,core,5,79,3.248752527271757e-07,0.42913004920916287,1.1273065739862676e-05
original_glszm_SmallAreaEmphasis,core,5,79,2.6455082420009318e-05,0.30250802262273707,0.00017195803573006056
original_glszm_SmallAreaHighGrayLevelEmphasis,core,5,79,2.7791854828349122e-08,0.49905253894573476,6.550797657944614e-06
original_glszm_SmallAreaLowGrayLevelEmphasis,core,5,79,3.241223546570162e-05,0.2965996314928278,0.00019663422849192316
original_glszm_ZoneEntropy,core,5,79,0.644785578522487,0.0,0.671344252237372
original_glszm_ZonePercentage,core,5,79,3.671214854445293e-05,0.2929719762196028,0.00021693542321722187
original_gldm_DependenceNonUniformityNormalized,core,5,79,1.3372348560939253e-06,0.38865515076353685,2.253488368602726e-05
original_gldm_DependenceVariance,core,5,79,5.523685529070811e-07,0.4139695405992871,1.570798072329512e-05
original_gldm_LargeDependenceHighGrayLevelEmphasis,core,5,79,0.3770903903365813,0.002968713823143979,0.4195015344820159
original_gldm_SmallDependenceHighGrayLevelEmphasis,core,5,79,6.902885124425618e-08,0.47323340853799706,6.550797657944614e-06
original_ngtdm_Complexity,core,5,79,8.42320271952042e-08,0.4675764227979417,6.550797657944614e-06
original_ngtdm_Contrast,core,5,79,0.016543267399016067,0.10961073811152898,0.0312331396952378
log-sigma-1-0-mm-3D_firstorder_10Percentile,core,5,79,0.0008531566440098681,0.20025036544023803,0.0027530941349254608
log-sigma-1-0-mm-3D_firstorder_90Percentile,core,5,79,1.0739951783461684e-05,0.32865444558482493,8.57373374469926e-05
