feature,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
original_shape_Elongation,SUBTYPE01,SUBTYPE02,10,15,0.14388262564007306,0.18165168486884878,0.013333333333333334,-0.427,0.49333333333333335,0.9778735006449261,1.0
original_shape_Elongation,SUBTYPE01,SUBTYPE03,10,11,0.14388262564007306,0.8705959854118663,-0.4,-0.8545454545454545,0.07272727272727272,0.1300297963838358,0.7801787783030147
original_shape_Elongation,SUBTYPE01,SUBTYPE04,10,16,0.14388262564007306,0.31923645814535007,-0.1625,-0.65,0.3875,0.5100191684333342,1.0
original_shape_Elongation,SUBTYPE01,SUBTYPE05,10,27,0.14388262564007306,0.06324940920238636,0.05925925925925926,-0.4222222222222222,0.5185185185185185,0.797568958837549,1.0
original_shape_Elongation,SUBTYPE02,SUBTYPE03,15,11,0.18165168486884878,0.8705959854118663,-0.40606060606060607,-0.806060606060606,0.05454545454545454,0.08676817270387562,0.6941453816310049
original_shape_Elongation,SUBTYPE02,SUBTYPE04,15,16,0.18165168486884878,0.31923645814535007,-0.09166666666666666,-0.5085416666666667,0.3416666666666667,0.6781060747462503,1.0
original_shape_Elongation,SUBTYPE02,SUBTYPE05,15,27,0.18165168486884878,0.06324940920238636,0.08641975308641975,-0.33345679012345675,0.48641975308641977,0.655416983949336,1.0
original_shape_Elongation,SUBTYPE03,SUBTYPE04,11,16,0.8705959854118663,0.31923645814535007,0.375,-0.11363636363636363,0.8181818181818182,0.10876756967904058,0.7613729877532841
original_shape_Elongation,SUBTYPE03,SUBTYPE05,11,27,0.8705959854118663,0.06324940920238636,0.4478114478114478,0.003367003367003367,0.8518518518518519,0.03364172171182354,0.33641721711823536
original_shape_Elongation,SUBTYPE04,SUBTYPE05,16,27,0.31923645814535007,0.06324940920238636,0.3287037037037037,-0.009259259259259259,0.6296296296296297,0.07649767349386227,0.6884790614447605
original_shape_Flatness,SUBTYPE01,SUBTYPE02,10,15,0.18780282385216485,0.20086575010672475,0.013333333333333334,-0.4266666666666667,0.49333333333333335,0.9778735006449261,1.0
original_shape_Flatness,SUBTYPE01,SUBTYPE03,10,11,0.18780282385216485,0.7865600884988495,-0.2727272727272727,-0.7636363636363637,0.2727272727272727,0.3072263700681952,1.0
original_shape_Flatness,SUBTYPE01,SUBTYPE04,10,16,0.18780282385216485,0.37953524971354324,-0.0625,-0.6125,0.5,0.8125242693153686,1.0
original_shape_Flatness,SUBTYPE01,SUBTYPE05,10,27,0.18780282385216485,-0.11597387178096413,0.2,-0.2814814814814815,0.6446296296296287,0.3647872042084698,1.0
original_shape_Flatness,SUBTYPE02,SUBTYPE03,15,11,0.20086575010672475,0.7865600884988495,-0.2,-0.6363636363636364,0.2727272727272727,0.40631330215979156,1.0
original_shape_Flatness,SUBTYPE02,SUBTYPE04,15,16,0.20086575010672475,0.37953524971354324,-0.13333333333333333,-0.5666666666666667,0.31666666666666665,0.5400804783898523,1.0
original_shape_Flatness,SUBTYPE02,SUBTYPE05,15,27,0.20086575010672475,-0.11597387178096413,0.1259259259259259,-0.2741975308641975,0.5211111111111105,0.5116636949750099,1.0
original_shape_Flatness,SUBTYPE03,SUBTYPE04,11,16,0.7865600884988495,0.37953524971354324,0.26136363636363635,-0.26136363636363635,0.7502840909090893,0.266872579502037,1.0
original_shape_Flatness,SUBTYPE03,SUBTYPE05,11,27,0.7865600884988495,-0.11597387178096413,0.4074074074074074,-0.050505050505050504,0.8047138047138047,0.053456074410622174,0.48110466969559956
original_shape_Flatness,SUBTYPE04,SUBTYPE05,16,27,0.37953524971354324,-0.11597387178096413,0.38425925925925924,0.05555555555555555,0.6853009259259253,0.038182471913683506,0.3818247191368351
original_shape_LeastAxisLength,SUBTYPE01,SUBTYPE02,10,15,-0.24088682211197793,-0.2702196287717264,0.08,-0.41333333333333333,0.5333333333333333,0.7603013330253436,1.0
original_shape_LeastAxisLength,SUBTYPE01,SUBTYPE03,10,11,-0.24088682211197793,-0.7469557482632265,0.45454545454545453,-0.01818181818181818,0.8545454545454545,0.08448458362150606,0.6901195550914431
original_shape_LeastAxisLength,SUBTYPE01,SUBTYPE04,10,16,-0.24088682211197793,-0.07657772570967926,-0.1375,-0.575,0.325,0.5799905038550084,1.0
original_shape_LeastAxisLength,SUBTYPE01,SUBTYPE05,10,27,-0.24088682211197793,-0.2344914940975664,0.0,-0.4148148148148148,0.4,1.0,1.0
original_shape_LeastAxisLength,SUBTYPE02,SUBTYPE03,15,11,-0.2702196287717264,-0.7469557482632265,0.3696969696969697,-0.09090909090909091,0.7457575757575742,0.11947098677170075,0.8362969074019052
original_shape_LeastAxisLength,SUBTYPE02,SUBTYPE04,15,16,-0.2702196287717264,-0.07657772570967926,-0.24166666666666667,-0.625,0.18333333333333332,0.2599279599779344,1.0
original_shape_LeastAxisLength,SUBTYPE02,SUBTYPE05,15,27,-0.2702196287717264,-0.2344914940975664,-0.07654320987654321,-0.4271604938271605,0.2938271604938272,0.6937659064448405,1.0
original_shape_LeastAxisLength,SUBTYPE03,SUBTYPE04,11,16,-0.7469557482632265,-0.07657772570967926,-0.5795454545454546,-0.8639204545454545,-0.19318181818181818,0.012702888256326851,0.1270288825632685
original_shape_LeastAxisLength,SUBTYPE03,SUBTYPE05,11,27,-0.7469557482632265,-0.2344914940975664,-0.37373737373737376,-0.696969696969697,-0.003367003367003367,0.0766799505657159,0.6901195550914431
original_shape_LeastAxisLength,SUBTYPE04,SUBTYPE05,16,27,-0.07657772570967926,-0.2344914940975664,0.14351851851851852,-0.21296296296296297,0.49537037037037035,0.4434732299474724,1.0
original_shape_MajorAxisLength,SUBTYPE01,SUBTYPE02,10,15,-0.5175404279596327,-0.3162158780259572,0.013333333333333334,-0.4803333333333333,0.4669999999999982,0.9778735006449261,1.0
original_shape_MajorAxisLength,SUBTYPE01,SUBTYPE03,10,11,-0.5175404279596327,-0.6663278691982591,0.32727272727272727,-0.1277272727272727,0.7636363636363637,0.2178322292372723,1.0
original_shape_MajorAxisLength,SUBTYPE01,SUBTYPE04,10,16,-0.5175404279596327,-0.4123159124657688,-0.025,-0.5375,0.4875,0.9369873319714807,1.0
original_shape_MajorAxisLength,SUBTYPE01,SUBTYPE05,10,27,-0.5175404279596327,-0.34927949596079344,-0.1111111111111111,-0.5925925925925926,0.362962962962963,0.6199723486696509,1.0
original_shape_MajorAxisLength,SUBTYPE02,SUBTYPE03,15,11,-0.3162158780259572,-0.6663278691982591,0.40606060606060607,-0.04242424242424243,0.806060606060606,0.08676817270387562,0.6941453816310049
original_shape_MajorAxisLength,SUBTYPE02,SUBTYPE04,15,16,-0.3162158780259572,-0.4123159124657688,0.03333333333333333,-0.3752083333333333,0.44166666666666665,0.8899640895977055,1.0
original_shape_MajorAxisLength,SUBTYPE02,SUBTYPE05,15,27,-0.3162158780259572,-0.34927949596079344,-0.012345679012345678,-0.3925925925925926,0.38765432098765434,0.95813033618712,1.0
original_shape_MajorAxisLength,SUBTYPE03,SUBTYPE04,11,16,-0.6663278691982591,-0.4123159124657688,-0.5227272727272727,-0.8863636363636364,-0.10227272727272728,0.024751436094503518,0.24253607369484448
original_shape_MajorAxisLength,SUBTYPE03,SUBTYPE05,11,27,-0.6663278691982591,-0.34927949596079344,-0.47474747474747475,-0.8249158249158249,-0.06380471380471472,0.024253607369484446,0.24253607369484448
original_shape_MajorAxisLength,SUBTYPE04,SUBTYPE05,16,27,-0.4123159124657688,-0.34927949596079344,-0.10648148148148148,-0.46296296296296297,0.24074074074074073,0.5718467625452939,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE01,SUBTYPE02,10,15,-0.507969153839881,-0.27866392745191315,0.06666666666666667,-0.4666666666666667,0.52,0.8028850291124622,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE01,SUBTYPE03,10,11,-0.507969153839881,-0.6172591495759525,0.2909090909090909,-0.21818181818181817,0.7454545454545455,0.2750629920777592,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE01,SUBTYPE04,10,16,-0.507969153839881,-0.45974106434381246,0.0625,-0.475,0.6,0.8125242693153686,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE01,SUBTYPE05,10,27,-0.507969153839881,-0.38098496644814556,-0.007407407407407408,-0.4888888888888889,0.45925925925925926,0.986357126746499,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE02,SUBTYPE03,15,11,-0.27866392745191315,-0.6172591495759525,0.21212121212121213,-0.23636363636363636,0.6363636363636364,0.3776152433844582,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE02,SUBTYPE04,15,16,-0.27866392745191315,-0.45974106434381246,0.09166666666666666,-0.3333333333333333,0.5252083333333322,0.6781060747462503,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE02,SUBTYPE05,15,27,-0.27866392745191315,-0.38098496644814556,-0.08641975308641975,-0.4667901234567901,0.29395061728394994,0.655416983949336,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE03,SUBTYPE04,11,16,-0.6172591495759525,-0.45974106434381246,-0.26704545454545453,-0.7272727272727273,0.22741477272727195,0.25631669018181436,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE03,SUBTYPE05,11,27,-0.6172591495759525,-0.38098496644814556,-0.3434343434343434,-0.7373737373737373,0.07760942760942668,0.10404948107410006,1.0
original_shape_Maximum2DDiameterColumn,SUBTYPE04,SUBTYPE05,16,27,-0.45974106434381246,-0.38098496644814556,-0.17592592592592593,-0.5092592592592593,0.18055555555555555,0.3460785054467893,1.0
original_shape_Maximum2DDiameterRow,SUBTYPE01,SUBTYPE02,10,15,-0.38860698955154227,-0.3315893285095864,0.08,-0.4,0.56,0.7603013330253436,1.0
original_shape_Maximum2DDiameterRow,SUBTYPE01,SUBTYPE03,10,11,-0.38860698955154227,-0.6549617088647076,0.2545454545454545,-0.23636363636363636,0.7454545454545455,0.34178646181502725,1.0
original_shape_Maximum2DDiameterRow,SUBTYPE01,SUBTYPE04,10,16,-0.38860698955154227,-0.12674177902918188,-0.1375,-0.6125,0.4,0.5799905038550084,1.0
