subtype_id,feature,reference_population,target_n,rest_n,n_subtype,n_rest,median_subtype,median_rest,cliffs_delta,ci_low,ci_high,p_value,q_value
SUBTYPE01,original_shape_Elongation,candidate_rest,10,93,10,93,0.14388262564007306,0.2194597917652234,-0.07956989247311828,-0.45381720430107525,0.31618279569892443,0.68433070225692,0.9270504005631065
SUBTYPE01,original_shape_Flatness,candidate_rest,10,93,10,93,0.18780282385216485,0.22718637100069144,0.043010752688172046,-0.35698924731182796,0.43231182795698897,0.8280496514524379,0.9466396769117067
SUBTYPE01,original_shape_LeastAxisLength,candidate_rest,10,93,10,93,-0.24088682211197793,-0.22514545787721577,-0.03870967741935484,-0.410752688172043,0.3118279569892473,0.845450613582702,0.9569154954729587
SUBTYPE01,original_shape_MajorAxisLength,candidate_rest,10,93,10,93,-0.5175404279596327,-0.3271364066070113,-0.04946236559139785,-0.4667204301075269,0.38290322580645103,0.8021082423886685,0.9466396769117067
SUBTYPE01,original_shape_Maximum2DDiameterColumn,candidate_rest,10,93,10,93,-0.507969153839881,-0.29669252719787875,0.017204301075268817,-0.43870967741935485,0.48607526881720403,0.9334213726413443,0.9696510033490162
SUBTYPE01,original_shape_Maximum2DDiameterRow,candidate_rest,10,93,10,93,-0.38860698955154227,-0.22728635917371037,-0.06451612903225806,-0.4667204301075269,0.3398387096774191,0.7424655202462693,0.9334972189672123
SUBTYPE01,original_shape_Maximum2DDiameterSlice,candidate_rest,10,93,10,93,-0.6591134801311037,-0.37606848707907614,-0.1817204301075269,-0.5828225806451612,0.25172043010752626,0.34945261407435746,0.8302800932646021
SUBTYPE01,original_shape_MinorAxisLength,candidate_rest,10,93,10,93,-0.4989127753099314,-0.25867205603877697,-0.13763440860215054,-0.5053763440860215,0.26021505376344084,0.4793774890022101,0.843848777082177
SUBTYPE01,original_shape_Sphericity,candidate_rest,10,93,10,93,0.5228646195416017,0.3056728090547207,0.24946236559139784,-0.10327956989247311,0.5958064516129027,0.1982637910947318,0.8302800932646021
SUBTYPE01,original_shape_SurfaceVolumeRatio,candidate_rest,10,93,10,93,-0.1753180963836648,-0.1705205227365726,-0.05161290322580645,-0.36134408602150536,0.24516129032258063,0.7935078459376199,0.9466396769117067
SUBTYPE01,original_firstorder_Kurtosis,candidate_rest,10,93,10,93,-0.1600345175493063,-0.19150143515348445,-0.043010752688172046,-0.421505376344086,0.33123655913978467,0.8280496514524379,0.9466396769117067
SUBTYPE01,original_firstorder_Minimum,candidate_rest,10,93,10,93,0.15184691711945592,0.06951392153397527,0.2086021505376344,-0.11182795698924732,0.5096774193548387,0.28242866755742735,0.8302800932646021
SUBTYPE01,original_firstorder_Range,candidate_rest,10,93,10,93,0.12969938229737463,0.1882169363287772,-0.09247311827956989,-0.34844086021505377,0.16994623655913949,0.6359331516310812,0.9099043521765471
SUBTYPE01,original_firstorder_Skewness,candidate_rest,10,93,10,93,-0.26558603309380496,-0.036422400785247895,-0.010752688172043012,-0.36134408602150536,0.36774193548387096,0.9600236415352014,0.9793963159159566
SUBTYPE01,original_glcm_Autocorrelation,candidate_rest,10,93,10,93,0.10707139201274413,0.04992539309678215,-0.01935483870967742,-0.33983870967741936,0.2946236559139785,0.9245701895196393,0.9693074567544605
SUBTYPE01,original_glcm_Idmn,candidate_rest,10,93,10,93,0.358193306177387,0.1873780378918301,0.221505376344086,-0.08172043010752689,0.5053763440860215,0.25357399301546835,0.8302800932646021
