subtype_id,taxonomy,reference_label,subtype_positive_n,subtype_available_n,rest_positive_n,rest_available_n,odds_ratio,ci_low,ci_high,p_value,q_value
SUBTYPE01,clearcode34,ccA,5,7,27,55,2.5925925925925926,0.4628720473225292,14.521370193008034,0.4267413462803995,0.5334266828504993
SUBTYPE01,clearcode34,ccB,2,7,28,55,0.38571428571428573,0.06886402499961708,2.1604242593271143,0.4267413462803995,0.5334266828504993
SUBTYPE02,clearcode34,ccA,14,14,18,48,inf,2.689753303168306,849.8450871663855,2.121319876842708e-05,0.0001060659938421354
SUBTYPE02,clearcode34,ccB,0,14,30,48,0.0,0.0011766850395455856,0.3717813075355584,2.1213198768427077e-05,0.0001060659938421354
SUBTYPE03,clearcode34,ccA,5,9,27,53,1.2037037037037037,0.2907109293847084,4.983997709947217,1.0,1.0
SUBTYPE03,clearcode34,ccB,4,9,26,53,0.8307692307692308,0.2006421467658721,3.439843153184872,1.0,1.0
SUBTYPE04,clearcode34,ccA,0,10,32,52,0.0,0.0016685815992491264,0.5406982459613491,0.0002794392946192079,0.0006985982365480197
SUBTYPE04,clearcode34,ccB,10,10,20,52,inf,1.8494604106251964,599.3114154261363,0.00027943929461920786,0.0006985982365480197
SUBTYPE05,clearcode34,ccA,8,22,24,40,0.38095238095238093,0.13007011899161336,1.1157421679812969,0.11116556745720604,0.1852759457620101
SUBTYPE05,clearcode34,ccB,14,22,16,40,2.625,0.8962644136765858,7.688160876246125,0.11116556745720604,0.1852759457620101
SUBTYPE01,tcga_m1_m4,m1,3,7,20,58,1.425,0.2900458122073744,7.001049194767074,0.6908619329742132,0.8635774162177664
SUBTYPE01,tcga_m1_m4,m2,3,7,13,58,2.5961538461538463,0.5141864512345519,13.108114336184395,0.34993784460392563,0.636250626552592
SUBTYPE01,tcga_m1_m4,m3,0,7,15,58,0.0,0.01008188911592006,3.4720876723743954,0.1875546258484171,0.4688865646210427
SUBTYPE01,tcga_m1_m4,m4,1,7,10,58,0.8,0.08654268902657114,7.395194293113556,1.0,1.0
SUBTYPE02,tcga_m1_m4,m1,10,14,13,51,7.3076923076923075,1.9530580876743997,27.34294857942198,0.0032405657838025766,0.06481131567605153
SUBTYPE02,tcga_m1_m4,m2,3,14,13,51,0.7972027972027972,0.1920204958804777,3.309710752249846,1.0,1.0
SUBTYPE02,tcga_m1_m4,m3,1,14,14,51,0.2032967032967033,0.024281987175671222,1.7020661971486835,0.15910411604173677,0.45458318869067654
SUBTYPE02,tcga_m1_m4,m4,0,14,11,51,0.0,0.006720092777345528,2.1945379778129075,0.10240325790980911,0.3413441930326971
SUBTYPE03,tcga_m1_m4,m1,5,10,18,55,2.0555555555555554,0.5267496651699639,8.021473806940051,0.3068037704979847,0.6136075409959694
SUBTYPE03,tcga_m1_m4,m2,1,10,15,55,0.2962962962962963,0.03452915115061891,2.5425326795885925,0.428973099594947,0.7149551659915784
SUBTYPE03,tcga_m1_m4,m3,2,10,13,55,0.8076923076923077,0.15208785384743428,4.289408045429728,1.0,1.0
SUBTYPE03,tcga_m1_m4,m4,2,10,9,55,1.2777777777777777,0.23196991481293952,7.038481911326034,0.6732246392200321,0.8635774162177664
SUBTYPE04,tcga_m1_m4,m1,1,14,22,51,0.10139860139860139,0.012316420735482525,0.834794181394911,0.012863556379151757,0.12863556379151755
SUBTYPE04,tcga_m1_m4,m2,2,14,14,51,0.44047619047619047,0.08731081806977121,2.222167638165684,0.487272697629328,0.7490540349633323
SUBTYPE04,tcga_m1_m4,m3,6,14,9,51,3.5,0.9729869661223928,12.59009670892042,0.07183268676818119,0.3413441930326971
SUBTYPE04,tcga_m1_m4,m4,5,14,6,51,4.166666666666667,1.0420470173337688,16.660583277261402,0.04919393309933826,0.3279595539955884
SUBTYPE05,tcga_m1_m4,m1,4,20,19,45,0.34210526315789475,0.09848955363784262,1.1883088790379464,0.09964108532315906,0.3413441930326971
SUBTYPE05,tcga_m1_m4,m2,7,20,9,45,2.1538461538461537,0.665931114609204,6.966265958544766,0.2229009501456628,0.49533544476813957
SUBTYPE05,tcga_m1_m4,m3,6,20,9,45,1.7142857142857142,0.5145695522414161,5.711133698842176,0.5243378244743326,0.7490540349633323
SUBTYPE05,tcga_m1_m4,m4,3,20,8,45,0.8161764705882353,0.1922432909280435,3.465109382627067,1.0,1.0
