subtype_id,reference,reference_label,n,fraction
SUBTYPE01,tcga_m1_m4,m1,3,0.42857142857142855
SUBTYPE01,tcga_m1_m4,m2,3,0.42857142857142855
SUBTYPE01,tcga_m1_m4,m3,0,0.0
SUBTYPE01,tcga_m1_m4,m4,1,0.14285714285714285
SUBTYPE02,tcga_m1_m4,m1,10,0.7142857142857143
SUBTYPE02,tcga_m1_m4,m2,3,0.21428571428571427
SUBTYPE02,tcga_m1_m4,m3,1,0.07142857142857142
SUBTYPE02,tcga_m1_m4,m4,0,0.0
SUBTYPE03,tcga_m1_m4,m1,5,0.5
SUBTYPE03,tcga_m1_m4,m2,1,0.1
SUBTYPE03,tcga_m1_m4,m3,2,0.2
SUBTYPE03,tcga_m1_m4,m4,2,0.2
SUBTYPE04,tcga_m1_m4,m1,1,0.07142857142857142
SUBTYPE04,tcga_m1_m4,m2,2,0.14285714285714285
SUBTYPE04,tcga_m1_m4,m3,6,0.42857142857142855
SUBTYPE04,tcga_m1_m4,m4,5,0.35714285714285715
SUBTYPE05,tcga_m1_m4,m1,4,0.2
SUBTYPE05,tcga_m1_m4,m2,7,0.35
SUBTYPE05,tcga_m1_m4,m3,6,0.3
SUBTYPE05,tcga_m1_m4,m4,3,0.15
SUBTYPE01,clearcode34,ccA,5,0.7142857142857143
SUBTYPE01,clearcode34,ccB,2,0.2857142857142857
SUBTYPE02,clearcode34,ccA,14,1.0
SUBTYPE02,clearcode34,ccB,0,0.0
SUBTYPE03,clearcode34,ccA,5,0.5555555555555556
SUBTYPE03,clearcode34,ccB,4,0.4444444444444444
SUBTYPE04,clearcode34,ccA,0,0.0
SUBTYPE04,clearcode34,ccB,10,1.0
SUBTYPE05,clearcode34,ccA,8,0.36363636363636365
SUBTYPE05,clearcode34,ccB,14,0.6363636363636364
