modality,subtype_a,subtype_b,permanova_p_value,permanova_q_value
ct,SUBTYPE01,SUBTYPE02,0.018,0.09
ct,SUBTYPE01,SUBTYPE03,0.862,0.862
ct,SUBTYPE01,SUBTYPE04,0.003,0.021
ct,SUBTYPE01,SUBTYPE05,0.109,0.436
ct,SUBTYPE02,SUBTYPE03,0.012,0.07200000000000001
ct,SUBTYPE02,SUBTYPE04,0.183,0.5489999999999999
ct,SUBTYPE02,SUBTYPE05,0.001,0.01
ct,SUBTYPE03,SUBTYPE04,0.001,0.01
ct,SUBTYPE03,SUBTYPE05,0.185,0.5489999999999999
ct,SUBTYPE04,SUBTYPE05,0.001,0.01
wsi,SUBTYPE01,SUBTYPE02,0.794,0.794
wsi,SUBTYPE01,SUBTYPE03,0.071,0.21299999999999997
wsi,SUBTYPE01,SUBTYPE04,0.04,0.20400000000000001
wsi,SUBTYPE01,SUBTYPE05,0.034,0.20400000000000001
wsi,SUBTYPE02,SUBTYPE03,0.036,0.20400000000000001
wsi,SUBTYPE02,SUBTYPE04,0.001,0.01
wsi,SUBTYPE02,SUBTYPE05,0.002,0.018000000000000002
wsi,SUBTYPE03,SUBTYPE04,0.014,0.112
wsi,SUBTYPE03,SUBTYPE05,0.168,0.336
wsi,SUBTYPE04,SUBTYPE05,0.016,0.112
rna,SUBTYPE01,SUBTYPE02,0.114,0.318
rna,SUBTYPE01,SUBTYPE03,0.106,0.318
rna,SUBTYPE01,SUBTYPE04,0.001,0.01
rna,SUBTYPE01,SUBTYPE05,0.052,0.208
rna,SUBTYPE02,SUBTYPE03,0.002,0.014
rna,SUBTYPE02,SUBTYPE04,0.001,0.01
rna,SUBTYPE02,SUBTYPE05,0.001,0.01
rna,SUBTYPE03,SUBTYPE04,0.002,0.014
rna,SUBTYPE03,SUBTYPE05,0.503,0.503
rna,SUBTYPE04,SUBTYPE05,0.002,0.014
wxs,SUBTYPE01,SUBTYPE02,0.004,0.01
wxs,SUBTYPE01,SUBTYPE03,0.001,0.01
wxs,SUBTYPE01,SUBTYPE04,0.001,0.01
wxs,SUBTYPE01,SUBTYPE05,0.001,0.01
wxs,SUBTYPE02,SUBTYPE03,0.001,0.01
wxs,SUBTYPE02,SUBTYPE04,0.006,0.01
wxs,SUBTYPE02,SUBTYPE05,0.002,0.01
wxs,SUBTYPE03,SUBTYPE04,0.001,0.01
wxs,SUBTYPE03,SUBTYPE05,0.001,0.01
wxs,SUBTYPE04,SUBTYPE05,0.001,0.01
