feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
HALLMARK_ADIPOGENESIS,core,5,79,0.024816446097474746,0.09676579017164423,0.1128020277157943
HALLMARK_ALLOGRAFT_REJECTION,core,5,79,0.00019685060882686155,0.24377309379287232,0.009842530441343077
HALLMARK_ANDROGEN_RESPONSE,core,5,79,0.10363607868937258,0.04985863272651274,0.2369170950855899
HALLMARK_ANGIOGENESIS,core,5,79,0.07257296836190158,0.061857931003500524,0.19893520937615605
HALLMARK_APICAL_JUNCTION,core,5,79,0.45251676462620505,0.0,0.5100605247955283
HALLMARK_APICAL_SURFACE,core,5,79,0.9208808839107548,0.0,0.9208808839107548
HALLMARK_APOPTOSIS,core,5,79,0.22163196264557836,0.023148544113733786,0.3462999416337162
HALLMARK_BILE_ACID_METABOLISM,core,5,79,0.1661774249440455,0.03348742838062435,0.31957197104624135
HALLMARK_CHOLESTEROL_HOMEOSTASIS,core,5,79,0.40515657251975407,8.486874388785743e-05,0.47357738288606144
HALLMARK_COAGULATION,core,5,79,0.18753025509425764,0.02918604126278172,0.33487545552546005
HALLMARK_COMPLEMENT,core,5,79,0.03201153622833722,0.0886174318017671,0.12312129318591238
HALLMARK_DNA_REPAIR,core,5,79,0.06556230717509069,0.06523470788106873,0.19893520937615605
HALLMARK_E2F_TARGETS,core,5,79,0.2163778800042333,0.02402269789928023,0.3462999416337162
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,core,5,79,0.35682655430834814,0.005155856374210467,0.45746994142095915
HALLMARK_ESTROGEN_RESPONSE_EARLY,core,5,79,0.40727654928201285,0.0,0.47357738288606144
HALLMARK_ESTROGEN_RESPONSE_LATE,core,5,79,0.07086143301254161,0.06265285099541369,0.19893520937615605
HALLMARK_FATTY_ACID_METABOLISM,core,5,79,0.08940990279889018,0.05486296962958346,0.22352475699722543
HALLMARK_G2M_CHECKPOINT,core,5,79,0.3687368797708686,0.0038589074546349377,0.46092109971358575
HALLMARK_GLYCOLYSIS,core,5,79,0.23859948214193605,0.0204443479008351,0.3615143668817213
HALLMARK_HEDGEHOG_SIGNALING,core,5,79,0.04012721644771722,0.08132298869640606,0.14331148731327575
HALLMARK_HEME_METABOLISM,core,5,79,0.005808327532013391,0.14215869350363047,0.048402729433444924
HALLMARK_HYPOXIA,core,5,79,0.8399026168632443,0.0,0.8570434865951473
HALLMARK_IL2_STAT5_SIGNALING,core,5,79,0.3911325190730696,0.0015061105409205926,0.47357738288606144
HALLMARK_IL6_JAK_STAT3_SIGNALING,core,5,79,0.0007862992255641234,0.20268921251516145,0.017818833660006764
HALLMARK_INFLAMMATORY_RESPONSE,core,5,79,0.012683170258770984,0.11794852929742129,0.07926981411731865
HALLMARK_INTERFERON_ALPHA_RESPONSE,core,5,79,0.0010691300196004059,0.19349458167891645,0.017818833660006764
HALLMARK_INTERFERON_GAMMA_RESPONSE,core,5,79,0.00211957179606438,0.172889825599477,0.02649464745080475
HALLMARK_KRAS_SIGNALING_DN,core,5,79,0.2581965613102134,0.017521451255628474,0.368852230443162
HALLMARK_KRAS_SIGNALING_UP,core,5,79,0.10606740870962715,0.04906826129927355,0.2369170950855899
HALLMARK_MITOTIC_SPINDLE,core,5,79,0.3425010897079268,0.0067620439772334475,0.45746994142095915
HALLMARK_MTORC1_SIGNALING,core,5,79,0.27220224996863357,0.015547110689515255,0.3780586805119911
HALLMARK_MYC_TARGETS_V1,core,5,79,0.6550843661409992,0.0,0.7120482240663034
HALLMARK_MYC_TARGETS_V2,core,5,79,0.21413445622139715,0.02440164992380174,0.3462999416337162
HALLMARK_MYOGENESIS,core,5,79,0.10898186373937135,0.048142774175210824,0.2369170950855899
HALLMARK_NOTCH_SIGNALING,core,5,79,0.014367849069607074,0.11404204549774137,0.0798213837200393
HALLMARK_OXIDATIVE_PHOSPHORYLATION,core,5,79,0.18696121865706153,0.029294826688022888,0.33487545552546005
HALLMARK_P53_PATHWAY,core,5,79,0.6709942547866719,0.0,0.71382367530497
HALLMARK_PANCREAS_BETA_CELLS,core,5,79,0.00547775614035786,0.1439595493076505,0.048402729433444924
HALLMARK_PEROXISOME,core,5,79,0.13370338010954888,0.04110341354012227,0.26740676021909776
HALLMARK_PI3K_AKT_MTOR_SIGNALING,core,5,79,0.35276316020197035,0.005606152398082652,0.45746994142095915
HALLMARK_PROTEIN_SECRETION,core,5,79,0.131513461071299,0.041676143922978706,0.26740676021909776
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,core,5,79,0.018499513117633138,0.10608578515224104,0.09249756558816569
HALLMARK_SPERMATOGENESIS,core,5,79,0.0755953795629393,0.06049650304792727,0.19893520937615605
HALLMARK_TGF_BETA_SIGNALING,core,5,79,0.010015346228495377,0.12531317818105756,0.07153818734639554
HALLMARK_TNFA_SIGNALING_VIA_NFKB,core,5,79,0.21115351561766665,0.024910632367119982,0.3462999416337162
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,core,5,79,0.4590544723159755,0.0,0.5100605247955283
HALLMARK_UV_RESPONSE_DN,core,5,79,0.06029830671229198,0.0680034403649906,0.19893520937615605
HALLMARK_UV_RESPONSE_UP,core,5,79,0.2512860087186461,0.018529612754296498,0.368852230443162
HALLMARK_WNT_BETA_CATENIN_SIGNALING,core,5,79,0.027790029390303832,0.09315233782401482,0.11579178912626598
HALLMARK_XENOBIOTIC_METABOLISM,core,5,79,0.7846407174659376,0.0,0.817334080693685
