subtype_id,pathway,NES,fdr_q,cliffs_delta,q_value,consistency_fraction,direction_concordant,strong_concordant_signal
SUBTYPE01,HALLMARK_ALLOGRAFT_REJECTION,-1.0760713299715627,0.4340758075974759,-0.005797101449275362,1.0,0.5,True,False
SUBTYPE01,HALLMARK_COMPLEMENT,-1.600028172050697,0.006517386662816893,-0.0782608695652174,0.9666713037821678,0.5,True,False
SUBTYPE01,HALLMARK_IL2_STAT5_SIGNALING,-1.3051978617182673,0.08936854862300973,-0.008695652173913044,1.0,0.4,True,False
SUBTYPE01,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.4926706827282048,0.015385794085280066,-0.06376811594202898,0.9884782186139239,0.6,True,False
SUBTYPE01,HALLMARK_INFLAMMATORY_RESPONSE,-1.4811308639054486,0.01628171938475886,-0.08115942028985507,0.9666713037821678,0.7,True,False
SUBTYPE01,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.7524370884719834,0.9326481238882419,0.17391304347826086,0.9666713037821678,0.6,False,False
SUBTYPE01,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.9687624226602984,0.6418199572108136,0.09565217391304348,0.9666713037821678,0.5,False,False
SUBTYPE01,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.0441172655376023,0.48035909651522507,0.07246376811594203,0.9701694998672098,0.6,False,False
SUBTYPE02,HALLMARK_ALLOGRAFT_REJECTION,-2.1894806526693764,0.001,-0.49375,0.058468289443738504,0.9333333333333333,True,False
SUBTYPE02,HALLMARK_COMPLEMENT,-1.7824619940008533,0.001,-0.34375,0.1359787821107759,0.8,True,False
SUBTYPE02,HALLMARK_IL2_STAT5_SIGNALING,-1.3366960694377485,0.07134541153032002,-0.16458333333333333,0.4620415819225513,0.6666666666666666,True,False
SUBTYPE02,HALLMARK_IL6_JAK_STAT3_SIGNALING,-2.114129105724432,0.001,-0.46041666666666664,0.058468289443738504,0.9333333333333333,True,False
SUBTYPE02,HALLMARK_INFLAMMATORY_RESPONSE,-1.700081500130126,0.002167197348370303,-0.39375,0.1060609059598462,0.8666666666666667,True,False
SUBTYPE02,HALLMARK_INTERFERON_ALPHA_RESPONSE,-2.0815368023773604,0.001,-0.5270833333333333,0.058468289443738504,0.8666666666666667,True,False
SUBTYPE02,HALLMARK_INTERFERON_GAMMA_RESPONSE,-2.053926911294144,0.001,-0.475,0.058468289443738504,0.9333333333333333,True,False
SUBTYPE02,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.019137545450238,0.4898248453907774,-0.20833333333333334,0.35598597938768484,0.8,True,False
SUBTYPE03,HALLMARK_ALLOGRAFT_REJECTION,-1.1557826205110218,0.551902101622772,-0.0427807486631016,0.9389360539967766,0.45454545454545453,True,False
SUBTYPE03,HALLMARK_COMPLEMENT,-0.9325150291559673,1.0,0.013368983957219251,0.9887390522355815,0.45454545454545453,False,False
SUBTYPE03,HALLMARK_IL2_STAT5_SIGNALING,-0.8981281341309376,1.0,0.029411764705882353,0.9499826203519535,0.5454545454545454,False,False
SUBTYPE03,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.7797839926791854,1.0,0.05614973262032086,0.9389360539967766,0.45454545454545453,False,False
SUBTYPE03,HALLMARK_INFLAMMATORY_RESPONSE,-0.7286681344692778,1.0,0.08021390374331551,0.9375153554974508,0.45454545454545453,False,False
SUBTYPE03,HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.1499927953701201,0.5397668804745155,0.08021390374331551,0.9375153554974508,0.6363636363636364,False,False
SUBTYPE03,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.9012416663507654,1.0,0.08288770053475936,0.9375153554974508,0.5454545454545454,False,False
SUBTYPE03,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.2000105463077557,0.4858642288809886,-0.09893048128342247,0.9375153554974508,0.6363636363636364,True,False
SUBTYPE04,HALLMARK_ALLOGRAFT_REJECTION,2.876211431665564,0.001,0.6884920634920635,0.0011848371734019432,0.9375,True,True
SUBTYPE04,HALLMARK_COMPLEMENT,1.737035288845527,0.001912424162490108,0.4742063492063492,0.0226325493792316,0.8125,True,True
SUBTYPE04,HALLMARK_IL2_STAT5_SIGNALING,1.3414422003716642,0.0801032520631571,0.3055555555555556,0.1580254067337248,0.6875,True,False
SUBTYPE04,HALLMARK_IL6_JAK_STAT3_SIGNALING,2.262971307211016,0.001,0.6309523809523809,0.0026864550801553155,0.875,True,True
SUBTYPE04,HALLMARK_INFLAMMATORY_RESPONSE,2.0309855654973727,0.001,0.501984126984127,0.017239360660727916,0.8125,True,True
SUBTYPE04,HALLMARK_INTERFERON_ALPHA_RESPONSE,2.67465970292373,0.001,0.5337301587301587,0.010552567822788305,0.8125,True,True
SUBTYPE04,HALLMARK_INTERFERON_GAMMA_RESPONSE,2.698537266349521,0.001,0.5456349206349206,0.010552567822788305,0.8125,True,True
SUBTYPE04,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.1242130075571846,0.3161510344047933,0.35912698412698413,0.09883632824876876,0.6875,True,False
SUBTYPE05,HALLMARK_ALLOGRAFT_REJECTION,-1.898106391898859,0.002976190476190476,-0.13105413105413105,0.5935664428462986,0.5185185185185185,True,False
SUBTYPE05,HALLMARK_COMPLEMENT,1.0386790478073136,0.45364798307377474,-0.07407407407407407,0.724881772848976,0.48148148148148145,False,False
SUBTYPE05,HALLMARK_IL2_STAT5_SIGNALING,0.9404911355947002,0.6451994876546575,-0.11823361823361823,0.6351680144966823,0.5925925925925926,False,False
SUBTYPE05,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.4410554363782826,0.09523809523809523,-0.13675213675213677,0.5935664428462986,0.5185185185185185,True,False
SUBTYPE05,HALLMARK_INFLAMMATORY_RESPONSE,-1.0835938632109394,0.38374255952380953,-0.09401709401709402,0.724881772848976,0.48148148148148145,True,False
SUBTYPE05,HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.1982946294021632,0.21577380952380953,-0.150997150997151,0.5935664428462986,0.5925925925925926,True,False
SUBTYPE05,HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.3330115879576505,0.11383928571428571,-0.1581196581196581,0.5935664428462986,0.5185185185185185,True,False
SUBTYPE05,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.1479848728989936,0.27549862516280965,-0.09829059829059829,0.724881772848976,0.4444444444444444,False,False
