,TCGA-B0-5115,TCGA-B0-5812,TCGA-BP-4989,TCGA-BP-5009,TCGA-BP-5180,TCGA-BP-5181,TCGA-BP-5183,TCGA-BP-5184,TCGA-BP-5186,TCGA-BP-5187,TCGA-B0-5085,TCGA-B0-5703,TCGA-BP-4965,TCGA-BP-4976,TCGA-BP-4982,TCGA-BP-4995,TCGA-BP-4999,TCGA-BP-5001,TCGA-BP-5004,TCGA-BP-5006,TCGA-BP-5007,TCGA-BP-5194,TCGA-BP-5195,TCGA-BP-5200,TCGA-CZ-4859,TCGA-B8-5159,TCGA-B8-5162,TCGA-B8-5165,TCGA-B8-5549,TCGA-BP-4967,TCGA-BP-4970,TCGA-BP-4977,TCGA-BP-4986,TCGA-BP-5174,TCGA-BP-5196,TCGA-CZ-5984,TCGA-B0-5702,TCGA-B0-5709,TCGA-B8-5551,TCGA-BP-4167,TCGA-BP-4962,TCGA-BP-4971,TCGA-BP-4992,TCGA-BP-5175,TCGA-CJ-4637,TCGA-CJ-4641,TCGA-CJ-4923,TCGA-CJ-6027,TCGA-CJ-6028,TCGA-CJ-6030,TCGA-CZ-5985,TCGA-G6-A5PC,TCGA-B0-4821,TCGA-B0-5106,TCGA-B0-5117,TCGA-B0-5697,TCGA-B0-5698,TCGA-B0-5706,TCGA-B0-5712,TCGA-B8-4151,TCGA-B8-4153,TCGA-B8-4619,TCGA-B8-5158,TCGA-B8-5164,TCGA-B8-5546,TCGA-B8-5550,TCGA-B8-5553,TCGA-B8-A54E,TCGA-B8-A54F,TCGA-BP-4770,TCGA-BP-4782,TCGA-BP-4994,TCGA-BP-5000,TCGA-BP-5190,TCGA-BP-5191,TCGA-CZ-4863,TCGA-CZ-4865,TCGA-CZ-5468,TCGA-CZ-5988
NUDCD2,1.2201000859582298,1.4915863595239316,-0.24605660709381053,-0.4228954616560344,0.12121868718985485,1.4359352001893049,1.1680943171262503,1.005449474955063,0.5263806844866581,1.261892023206177,-1.5061805390756242,-0.12248374417722294,0.7319616161400558,1.2020238856395344,1.2140763169136701,0.2184557116889642,0.8607783781234092,-1.6812073048971445,0.6715552387427467,0.36366855352088523,0.4505280590020099,0.4004677873281108,-0.17887087964747683,0.34220690039427143,0.33729797651175414,0.559562092701238,-0.8091869371545857,0.5358594922184539,0.18763578988152788,0.5287721667770563,-0.0027905260028990996,0.1964634373894188,1.1191582103946067,-1.2794060566441554,-0.05313308348959315,1.2618365312093158,-2.387648126794008,0.21661863168311368,-0.1312425461429705,-0.8244571703029647,-0.8010467964198212,-1.4696694171565148,-2.5221190162306097,-2.0504077154502833,0.16258996459670788,0.20892195656705256,-0.1343711340186089,0.15982984292856292,0.5634547746197172,0.5621659803774968,0.8009836280443485,-2.2897213775251437,-0.5224392301177592,-0.3958953177425774,-2.3806374472132057,0.4929127236404769,0.3624327394213741,-1.1876707749088566,0.8768500247463296,0.7124048842905933,-0.7691934968885205,-1.1529354652729327,0.7453092563306705,-0.028159578824779267,0.14068323973865265,1.1968302642114823,0.8481523768557605,-0.3711742662098499,1.0100056710326744,0.004632180567765353,0.2459647156386196,-0.04358910050580993,-1.9311979827208268,-0.6703480473093933,-2.2608548642071105,0.9199884615822004,0.5810678487405749,0.3496715975206407,0.052554271453790526
CYB5RL,2.0601336901259097,0.697727132728282,1.0076461102409935,0.02073929769520767,1.5561068216944014,1.3064944447823255,1.7852313553918342,0.2650236592246505,1.1286779510060914,0.18670629125697166,-0.6124192103586402,-0.6637785177475791,0.9326918237640615,-0.6036399276664158,1.991217513163228,0.45396274420289623,1.665271743608879,0.18256707631235009,0.4073736052208379,0.28036130141192317,0.9874033368715123,0.8854269295601903,1.0225692486506075,0.4722674465953466,-0.2024752871009404,1.4131378020810952,-1.4262773829130801,0.9643168081067245,-0.11389132136167338,-0.35733994684410914,0.3467040412251135,1.1563765928212941,0.44945240203906905,-0.5102210145187633,0.5835588396279284,-0.0185117935789989,-1.541987268606981,0.385066088629283,-0.47164549702118036,-2.006259305437918,-0.9707411774053469,0.22011695380370952,-0.8992125839810056,-2.0164617744578273,-0.022800522463190583,-0.20179825347190433,0.6477575316847961,-0.36199010935976456,-1.1553304555902022,0.08460006349398341,0.5744161049625834,-2.480495434143374,-0.8271130294217888,0.2422963653106995,-1.987069249663319,-1.0186530410746024,-0.9004009768604846,-1.6423359693751833,0.4410860737770088,-0.5392126403372403,-1.2639334344298192,0.1522275687762864,1.3855493862472,0.5117605796649914,0.5947221667201315,0.7639678416721861,0.10078239695127753,-0.546077165468752,-0.14873021340922393,-1.3805328777731423,-0.37769552301380604,0.29980878696280666,-0.8390392354579606,-0.47844262449459357,-2.0616932080814827,0.9274532850732029,-0.8529277882132771,-0.2404759746731202,0.2008525326368682
EPHX3,0.31497050226054324,1.0531666379629476,-0.9324033982205645,0.4384266078653869,3.4624488638013515,1.8274427194092164,0.22370734301862555,1.1906897871257498,-0.581431357250999,1.9027762521911586,-1.1446103938923378,-1.3171402695808205,-0.4793360367966588,-0.4534179762789873,0.6294361901175055,-0.45148882318653266,-0.24642570138295228,-0.6887479306964266,-1.1226571530574099,1.1432099344908084,1.1781868581947408,1.2162632602288201,1.0777783922065514,-0.23518753341377163,-0.8881864467509137,-0.8006291484746022,-0.9797250612642818,0.17110875049175048,-0.9487362941717685,-0.5137048292223403,0.8040312282588812,0.6226819549287838,0.948637706626453,-0.4259586615910768,2.8139016016638627,0.8627562783220192,1.4824923785745914,0.03214241095943679,-0.22655289610969667,-0.7022658333324531,0.2329493284656895,-0.0261246320208396,-1.1553207363206497,-1.2783448684730294,0.836078112970145,0.526148543981961,1.6042163794943067,-0.7500454770619573,-1.2318779222039615,-0.5325050624284958,-0.7731707088448061,-1.3873001898649568,0.14754998213272102,-0.4001506444577362,-0.49509221821054294,0.5676844239035348,-0.0024238119195853594,-1.0068969920186872,-1.2230553376713027,-0.12683555961400034,-0.23629357199987558,-0.601561329153298,-0.8959727629879516,-1.4541592545862767,0.3953559583127148,0.3905360080003464,-0.15749216024113818,-1.5808599362204654,1.173372850553048,0.45761120090746,0.5964021424862861,-0.2592507305543448,1.1368595291451127,-0.7735056952391186,-0.18121002165668518,-0.13175688464748012,0.5367129269387955,-1.2545489043036209,-0.9433718886158915
ANO5,-0.8940660331043621,-0.5199705974317133,-0.9076956131371917,-0.8886793929614005,-0.9169062826093864,-0.9008618035039895,-0.8510694828028851,-0.8809277842072082,-0.8594145206073353,-0.7480873139474608,-0.9145678902503955,-0.8701800841296357,0.6186636017036486,0.9492860954870947,-0.7532962220161529,2.9586180974767053,-0.9131670016544714,-0.8626566226036657,-0.858521660688287,-0.9231247705815118,-0.1276174357357033,-0.798758450206342,-0.4525381798446994,-0.8956751690823196,0.6615848505606153,1.5712638762621642,-0.417678474901663,0.5867424000643543,0.8620653023902205,0.6361054313620714,-0.5375129304272174,0.8647335835411974,0.9836665055910395,-0.4301827376062788,0.05119975320973558,0.48549470473304696,-0.01613122849857975,1.0565286238855924,-0.23268304526443864,-0.8477473738757908,-0.18472495733958869,-0.8077151226308941,0.1349016888826002,-0.5055978107745951,0.24323549324526111,-0.22581987802587355,0.04323022486235356,-0.9194836978361663,0.07428133275703233,-0.6468189404210303,0.5742817640782564,-0.8591912444038242,-0.01506845559704737,-0.3324002306495947,1.6644949184982996,0.7251097951617759,-0.8960202600378545,-0.4810297768668657,0.5515762399000049,-0.893491855283783,-0.9367276378358158,2.0709831706453494,-0.8373962536864831,1.6525277633993263,2.0633751236796014,0.9038100344288821,0.40576834921572374,2.543384558479092,0.7599788293162237,-0.7718603041309293,0.4208451936176497,3.357928629160155,-0.2992827139521509,-0.9625729361520706,-0.6703071228499942,-0.77051006658583,0.9709182053286456,-0.8260452936042773,0.6151985194210283
NKAIN4,-1.1487656627836254,-1.2289339472104195,-1.0332207221016771,-0.9240265200907547,-1.023131045782602,-0.7852088649689013,-1.010966564338657,-0.5632441447021861,-0.8405783456572481,-1.3168371292017507,-0.961664217274179,-0.22095497079083196,-0.3288010529007557,-0.2763981076307723,0.025206550109062042,0.13581815366063607,-1.0842331963926541,1.0865796249449293,-1.38207680986877,-0.6081059646222813,0.8849357652345043,-0.20268322064626987,-0.34487154043150187,-0.8146835679114123,-1.4010384923933836,0.6738623400116586,-1.0597463873496014,0.1848070709340231,-0.35887686273992764,2.0800621980754372,-0.3548193211145305,0.925138499401056,0.43010111716888755,0.9881945892030808,1.5463639351299754,0.3555888994039399,-0.28407094306648006,1.0160526747737022,-0.5106400631959599,-0.3454986269126139,-0.09322384843375468,1.827894394126596,1.6801060419319362,2.049028034607172,-1.1656370889747714,1.4019480831660323,0.12975385747309084,-1.2806978092399912,-0.18012277121788672,-0.6807297152773537,0.741226791108215,1.7047089838420606,-0.45773770107881734,2.207956297511954,-0.9816649576214288,-0.09431326042603545,0.9711132506115376,-0.8634298403362033,0.38120490909580174,-0.7084400326739226,-1.0416579174571419,-1.3584524931896247,0.6465564994567912,-1.2790457654651683,2.3839964753479097,1.4617428228117764,-1.1143996914254168,1.5099267426101994,-0.44831386382261557,1.1918497893470268,0.3056095142217974,0.33065043665502286,0.765549144176715,0.39251483861699143,0.3810761464576249,-0.0694418394400634,0.17323358406901995,-0.6532491392909786,-0.08572402784521864
IGFBP1,-0.8683796962815811,-0.7099640017469543,-0.8589773696425205,-0.7484978404082228,-0.6055950827381792,-0.5504338958723008,-0.7232075269241255,-0.8295049726069251,-0.938452286511427,1.1420858208262459,-0.8796278028977771,-0.8246432644465783,-0.25049471963329806,-0.8150036168454046,-0.7331382195840283,-0.5233426159727232,-0.13641714977545533,-0.729459086393552,-0.4067262070864047,-0.7579707723439865,-0.1865649105771962,-0.41118739406597143,-0.15009489597788037,0.6601754140881448,-0.7748292053740987,-0.8732758721035463,-0.37111224879999427,-0.5672917469520685,-0.29806990599623306,-0.4595025902057695,-0.5400929025365504,-0.8488220361091776,1.8497555931095062,-0.648030381412214,1.439908433074592,2.474386808638749,-0.9964163304743104,1.5903092407824688,2.592316078387118,1.1370669025052476,-0.7120593868964369,-0.7928735673408019,1.000492452468423,0.28094411024930466,2.5797149649895146,1.2135837967411278,-0.6524891935620465,3.201535646290365,1.1611327613442388,0.8641480676536446,0.4954748851555196,-0.818184853911613,1.1619211211046285,0.3156149956300686,-0.8376178228258939,-0.4506525289992305,-0.4548565989831589,-0.4242599010501357,-0.7054617928331606,-0.36719529251209115,-0.5862658440045924,2.312251538038304,0.8497064781330702,-0.9964163304743104,0.7239852491942947,0.32660383914684593,-0.026391579996161964,-0.9586728856308655,0.4018816914398809,-0.46060519073760603,0.22512733870113108,-0.3347263046674179,0.5844817915685308,-0.7690658738545312,1.074371348265935,-0.8314279968384714,-0.8497730979132758,0.5505126776488413,-0.16536645384749155
FGG,-0.7316961599579579,-0.7480963314643497,-0.74608789380787,-0.5263981155373445,-0.29027030831568845,-0.36397292234663625,-0.32856200346662473,-0.6996600408143581,-0.65411954518672,-0.11983173001380357,-0.7450391018652367,-0.6888736361712403,2.061591433903167,-0.26321375239334666,-0.7247457928749537,-0.17444930079845694,-0.7529114200873512,-0.71349377173356,-0.5133809520419883,-0.6707198582355374,-0.4178842892658757,-0.5868720863699813,-0.6135887397166939,-0.6240663340410982,-0.6650567469755672,-0.7567487737854127,-0.742142669697079,-0.33785865472529464,-0.7552880414284923,-0.7322991287547568,2.374084099767736,1.058729252326186,2.0979616126584624,-0.5079854147904096,-0.6603397204926487,0.1672752487260628,-0.6254852586398023,-0.6156739039035023,1.4984995060780695,-0.6810714660600552,-0.555418987597667,-0.512755376851915,-0.32088889907466495,1.5366284013194844,-0.35465252494909366,1.8505766443232796,0.1396860762260972,1.0524297248093704,1.409821283813025,-0.4069002121921064,2.3432878817122273,-0.42959577144750455,-0.691174433716289,2.3234948682633516,-0.763623170118729,-0.20800366696820763,-0.7265315839705959,1.3398779223238166,-0.730030227492433,-0.7096662684887721,-0.7567487737854127,-0.7291071290385571,1.7832167358155147,-0.7564075500520052,-0.7213749960161079,0.3242593819456966,1.9266293400941266,-0.7481921751442793,-0.043816374818107726,-0.7436599936133699,-0.048357709825622486,-0.06890143397849702,1.7065241490313294,-0.5124577618536388,-0.03052719201051758,2.3467678965114254,1.7382155282598561,0.9173707332380377,-0.650251642382534
CHRDL1,-0.783601568109637,-0.13511773132184482,-0.7826908041428651,-0.7889494832998397,-0.7722654355050187,-0.7944090577700742,-0.4496757723774768,-0.5743504521114277,-0.5273473894252022,-0.6546854613080909,-0.7819910086456169,-0.7847943283108499,-0.37533347284069757,-0.7030862565173935,-0.6497311142237224,-0.6230540175552611,-0.29217624896840366,-0.7028984647895775,-0.7717136820332683,-0.7507230459378176,-0.7774590320972208,-0.6013994896004418,-0.7447238930912996,-0.26021786842744915,-0.785989090677744,-0.6768434955970022,-0.540776326888213,0.6966935840466276,-0.4762579783950448,-0.2592775835819649,0.16900666658807398,-0.4553994858015663,2.8326708526190227,-0.7493187141249635,2.2645314159345644,2.863573255841238,-0.4782637133900974,1.1403622712763268,1.442103111310217,1.0233791983931797,0.28165050105752515,-0.09287498453821103,-0.7884552286695521,1.050719908434918,0.7141299520294287,1.1449689486643675,0.08985995978831947,-0.7783631218428835,1.3844277488672894,1.0770029172739208,1.1926332955138308,-0.7494523406986996,0.6416555952163681,-0.5399295544709346,-0.7030862565173935,0.7442975943981746,-0.785989090677744,-0.7294236561101122,-0.7944090577700742,-0.24453101986574538,-0.7586659985468308,-0.7268945007202403,0.4134052910783341,-0.7479838263688803,-0.025556205780300763,1.282172106827569,-0.5709624682483033,2.934835970621135,0.5351256724307292,0.6708610379136428,-0.5385370628025267,-0.5860979647036664,0.7072669970183632,-0.6106858477517478,-0.6464858172154204,-0.7358189196729213,2.2668083324291057,-0.34173227067458617,2.4363144749415944
ANGPTL3,-0.9086385669895342,-0.5845595931125286,-1.109331818753904,-0.7507109453612362,-0.9420515077474627,-1.075203687718917,-0.6287577028716083,-0.3315884474892771,-0.7792144450021992,-0.5380554784077914,-0.33995850706286296,-0.9718919777177882,0.1711202046515061,1.4668256309158234,-0.11243652897551375,0.6779384976240294,-0.8639863022639024,0.37711774058532654,-0.6442441756671661,-0.23460463843496918,1.7946634803707768,-0.014351428804029892,-1.217049370393614,-0.6805831635273424,-0.2116001970432623,-0.04859511598972353,-1.2047322385373744,1.6939167822115653,1.1434526581224704,0.12779453646557745,0.7914803638422137,1.2576670572133044,-0.7411378736091322,2.3945017634637247,-0.5737966654942873,0.8358592889210952,0.35159576933070563,1.5129369318224286,1.1816214561075173,0.22936893584942694,1.1312366444471236,0.8951688663793712,-1.0264130784109506,-0.4257540791649006,-0.6516998050862339,1.9177709397247542,-1.0542121798802542,-1.172068342164721,-1.0071047551045031,-0.970537986306752,2.644215171640304,1.4818995747861308,-0.9402501843683007,-0.03993606560526687,-1.093053321464716,0.12205602613398284,-0.16290725826134156,-0.27579922701660614,-1.0247337330026463,1.878275926008062,-1.0510786160363963,-1.1921244049269326,-0.8181729840705899,0.5213542946497673,-0.8745369350310637,-0.029138859266145813,0.5687617397195828,1.0814209859958688,-0.827450672023636,-1.2370970616331312,1.255537200435034,0.9245486945610313,1.0187764812270808,0.3453040040273524,0.37117661325151,-1.0134676040922768,0.18055370381518743,-1.1444259612543723,1.1931255268475176
FGB,-0.8169988571914395,-0.8794142389123061,-0.8976832411683887,-0.6814396443255766,-0.41990092966576364,-0.48885463859711425,-0.5367769659936136,-0.7586495517606269,-0.49649162935302754,0.09555563521269742,-0.8554275599791965,-0.8730423370477037,1.77270975610181,0.2671963086384826,-0.8241396986584762,-0.9158486755349813,-0.9175931688209781,-0.8034991057197156,0.05007836266216613,1.7848657149722706,-0.2651042787993462,-0.6976640979063828,-0.7883606141033833,-0.7761452420995757,-0.8373446612584714,-0.9171334773726211,-0.9257565476322771,-0.14886460929893705,-0.050700132153038945,-0.8486063356629927,2.159682288779389,0.5599721893845928,2.276679217694554,-0.4358205487678291,-0.8094114283139957,1.2386439419549442,-0.6495189044245424,-0.24045056854174296,0.4564169716292523,-0.801291575786897,0.01901645518199678,-0.6205278694895385,0.22140008745980436,1.6001929496585592,-0.12151773884334943,1.6635583777067597,-0.10137420198682223,0.7817910040627093,1.0633988689845308,-0.21675389492721547,1.9105686212446014,-0.601715288473229,-0.6307238266930517,2.202145219640975,-0.935061506590393,0.2091193646555339,-0.8372668301048412,0.6684924461393946,-0.8296998776627806,-0.8616096136210148,-0.9224002070441966,-0.9109702967082294,1.3015262282696074,-0.7900506637486396,-0.8577771286853323,0.17140613791290527,1.5204910634155546,-0.938748008471904,-0.14443510213539423,-0.9333476003248941,0.2119122078203826,-0.9239356208382586,1.6487869330493392,-0.6106894210074094,0.9942589816734905,2.2200257363917983,0.9111845610882479,1.330043663557914,1.835418667263179
