pathway,SUBTYPE01,SUBTYPE02,SUBTYPE03,SUBTYPE04,SUBTYPE05
HALLMARK_ADIPOGENESIS,-1.6411676404523803,-0.9166425686350625,-1.1683304021308358,-1.1580851616483465,1.9737838729244648
HALLMARK_ALLOGRAFT_REJECTION,-1.0760713299715627,-2.1894806526693764,-1.1557826205110218,2.876211431665564,-1.898106391898859
HALLMARK_ANDROGEN_RESPONSE,-1.141513122424934,0.9404490835695589,-0.6178369203743465,-1.6572078735052125,1.6175677954461058
HALLMARK_APICAL_JUNCTION,-1.440851268847746,-1.2524855629442868,0.9816979151291605,1.03400278678365,0.7829025943373029
HALLMARK_APICAL_SURFACE,-1.5434246662011504,-1.240465079568141,-1.143570000515254,-1.1604898232775962,1.3689125103440403
HALLMARK_APOPTOSIS,-1.3816395875047,-1.3361999656181371,-0.8947368255919278,1.3033707428942418,1.1890909374067238
HALLMARK_BILE_ACID_METABOLISM,-1.4933754472336425,-1.1502226278173437,-0.8489944627146925,-1.4267792664816277,1.5953051052743985
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.3147696724285247,-1.1754255613650277,-1.3020599336326253,-1.1217244332732732,1.7051527231524897
HALLMARK_COAGULATION,-1.3481559578634315,-1.6088620240107714,-1.0220889726937739,1.1904427324913631,1.038378773465906
HALLMARK_COMPLEMENT,-1.600028172050697,-1.7824619940008533,-0.9325150291559673,1.737035288845527,1.0386790478073136
HALLMARK_DNA_REPAIR,-1.1378286781395073,-1.401009990665314,-1.4676258071073514,1.5494188161554225,1.3564752717898187
HALLMARK_E2F_TARGETS,-0.9314588371628285,-1.613185797815417,-0.7578696990735129,1.5024864096201425,1.1187107061109043
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.1926471269057184,-1.7935787228743405,1.4324147823715243,1.1300925370854373,1.1598757269893274
HALLMARK_ESTROGEN_RESPONSE_EARLY,-1.6324082089729923,-1.185154398265303,-0.6424485623736896,-1.3436789189885832,1.3832728559035057
HALLMARK_ESTROGEN_RESPONSE_LATE,-1.863406512121492,-1.580896592242139,-1.0657768680525241,-1.1003162265736344,1.839267721687304
HALLMARK_FATTY_ACID_METABOLISM,-1.6803117152391043,-0.9026551190595187,-1.3585260437836402,-1.4634022376046052,2.1409882351657465
HALLMARK_G2M_CHECKPOINT,-1.2036365411834062,-1.4949842452634794,-0.6302062650523992,1.4393208117899847,1.1149725475485983
HALLMARK_GLYCOLYSIS,-1.5943629416652545,-1.5687081585289078,-0.9080090041129824,1.2752702632425552,1.5986582410187484
HALLMARK_HEDGEHOG_SIGNALING,-1.0724581729863045,0.9146316438211899,1.5713135290689906,-1.0535004346515389,-0.8238132988328332
HALLMARK_HEME_METABOLISM,-1.4587557005983833,-0.664875107310553,1.5284225282572421,-1.4536366550844952,1.260931394142383
HALLMARK_HYPOXIA,-1.1911248434947501,-1.3203381308881648,-0.9691293554706951,-1.0108487350663327,1.407347829283657
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.4926706827282048,-2.114129105724432,-0.7797839926791854,2.262971307211016,-1.4410554363782826
HALLMARK_INFLAMMATORY_RESPONSE,-1.4811308639054486,-1.700081500130126,-0.7286681344692778,2.0309855654973727,-1.0835938632109394
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.7524370884719834,-2.0815368023773604,-1.1499927953701201,2.67465970292373,-1.1982946294021632
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.9687624226602984,-2.053926911294144,-0.9012416663507654,2.698537266349521,-1.3330115879576505
HALLMARK_KRAS_SIGNALING_DN,-1.220497975013775,-1.4935257929687218,-1.3759320938698962,1.1496560045215891,-1.1571971669075432
HALLMARK_KRAS_SIGNALING_UP,-1.3001777015984017,-1.6251698986298084,-0.8210528043646281,1.070443069452522,1.3638443786914594
HALLMARK_MITOTIC_SPINDLE,-0.8635092220286301,1.0451907102632882,1.9849230427901388,0.8545249594443444,-0.9158412312974975
HALLMARK_MTORC1_SIGNALING,-1.704080661572004,-1.5187489634919622,-0.987997171233199,0.8402790339470667,2.190684365523641
HALLMARK_MYC_TARGETS_V1,-1.061382473446021,-1.2494896580248462,-0.8704688705039085,0.93438341137552,1.7466583618855178
HALLMARK_MYC_TARGETS_V2,-1.5922135979948304,-1.2555950116347603,-1.2612775927511364,1.6779760942107387,1.407845058311776
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-2.136881678288634,-1.5214826695047368,-1.8480497361828097,1.1455746267965816,2.7516695107607867
HALLMARK_P53_PATHWAY,-1.3981611441994735,-1.134805720454695,-0.9732403646074194,1.0919136321272513,1.291063796893511
HALLMARK_PANCREAS_BETA_CELLS,-0.9943265601501685,-1.0985857416965448,-1.4378480239691935,-1.2093229040553104,1.4062267499671244
HALLMARK_PEROXISOME,-1.552234466770154,-1.3158039445986789,-0.9756162249353462,-1.0330609693082615,1.9715902674903523
HALLMARK_PROTEIN_SECRETION,-1.5887748747271797,-1.0316507450044226,1.3389555652165315,-1.5692085951022026,2.0948350967729943
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.7451194740020637,-1.3833459268284691,-1.3201604477641045,1.5107008285915513,1.6237070241376244
HALLMARK_TGF_BETA_SIGNALING,0.9681376050577807,1.870475624230326,0.8508080441353629,-1.397047531773652,-1.0711139127598377
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.6640790630680016,-1.1179625775761097,-0.8056322880792027,0.8782089074824803,1.6558357129215622
HALLMARK_UV_RESPONSE_DN,-0.7420826160356881,1.4972449649923325,1.6623444300632986,-2.0560507722320693,0.8811366050361122
HALLMARK_UV_RESPONSE_UP,-1.696452490462361,-1.096667909985159,-1.4294970136131513,1.346705883236345,1.5636621185478985
HALLMARK_XENOBIOTIC_METABOLISM,-1.7602738382584784,-1.378040399465952,-1.1375424910899055,-1.0084665177186396,1.716343117072793
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.8315143348820957,-1.5173308335036524,-1.9412327201249289,1.83461732510728,1.6372105950590796
KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT,-1.616856469958036,-1.0822265930636357,-1.8904520577025712,1.2281749136342657,0.9835507508997108
KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT,-1.7201782810464885,-0.9724620286170562,-1.8654309001701403,1.2336132926973291,0.8734478589119153
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY,-1.7989069015091705,-1.2831713521017536,-1.7872140587401315,1.4820076722817102,0.9111035653566225
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,-1.7491591085891856,-0.9332301125320108,-1.6444010713013693,1.3926266877554763,1.0023767122973246
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.7664361341205281,-1.849172611701554,-1.8286609755458847,1.8443193400551103,1.7496328745276932
KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT,-1.7400888782614643,-0.8985234598075323,-1.6758120331941946,1.3281552701221553,1.0120246663118444
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,-1.745738906576291,-1.0847701968258412,-1.7464014137727628,1.6027431763453885,1.0627670502441375
KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR,-1.4755631475089235,-0.8397440913831,-0.5292807083234736,-0.992322391428636,1.8680867179698735
KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY,-0.5522677211837428,-1.0819141727966557,-0.8559258411337662,1.8321088140690103,-1.6387154362429237
KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY,0.9995590656618477,-1.0369428131709821,0.4907388187133994,1.9273293494169497,-1.2604253458071804
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,-1.5487561949195663,-1.6152578077889903,0.8487110807343227,0.800281531607772,1.8302174434820782
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY,-1.235943184521808,-1.6844952722215045,-0.8274279673413146,2.263529363874861,-1.9165776058974078
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING,-0.9770424453795037,-1.8902830484247672,1.6079837912223847,1.242596951250428,0.903801437433751
