feature,group_count,available_n,kruskal_p,epsilon_squared,q_value
prob_adipose_tissue,5,79,0.46292035009033605,0.0,0.57865043761292
prob_blank_space,5,79,0.08956644798252683,0.05480395491867022,0.17913289596505366
prob_clear_cell_renal_cell_carcinoma,5,79,0.8123919824415345,0.0,0.8123919824415345
prob_cyst_content,5,79,0.6621756375377077,0.0,0.7357507083752307
prob_fibrocollagenous_tissue,5,79,0.3443710966805427,0.006549367261392355,0.542248253272544
prob_hemorrhage,5,79,0.05139151891105734,0.07325966321615,0.12847879727764333
prob_inflammation,5,79,0.3795737772907808,0.0027070277268064513,0.542248253272544
prob_marker,5,79,0.006611127595839123,0.13817281284448998,0.06611127595839122
prob_necrosis,5,79,0.03341668860715377,0.08723535820054797,0.1113889620238459
prob_renal_parenchyma,5,79,0.019998655587017633,0.10362163371657042,0.09999327793508817
