feature,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
prob_adipose_tissue,SUBTYPE01,SUBTYPE02,10,15,6.650602329610847e-05,2.8548426390133022e-05,0.09333333333333334,-0.4,0.5466666666666666,0.7184320389103389,1.0
prob_adipose_tissue,SUBTYPE01,SUBTYPE03,10,11,6.650602329610847e-05,9.41094135266277e-06,0.2,-0.2913636363636363,0.6909090909090909,0.4596715909585638,1.0
prob_adipose_tissue,SUBTYPE01,SUBTYPE04,10,16,6.650602329610847e-05,2.9656897313294606e-05,0.075,-0.3875,0.5375,0.7719115220329524,1.0
prob_adipose_tissue,SUBTYPE01,SUBTYPE05,10,27,6.650602329610847e-05,2.5464889725952726e-06,0.2222222222222222,-0.2222222222222222,0.6148148148148148,0.31303280535964073,1.0
prob_adipose_tissue,SUBTYPE02,SUBTYPE03,15,11,2.8548426390133022e-05,9.41094135266277e-06,0.1393939393939394,-0.3696969696969697,0.6121212121212121,0.5680679558441464,1.0
prob_adipose_tissue,SUBTYPE02,SUBTYPE04,15,16,2.8548426390133022e-05,2.9656897313294606e-05,-0.05,-0.4585416666666666,0.375,0.8278914966146259,1.0
prob_adipose_tissue,SUBTYPE02,SUBTYPE05,15,27,2.8548426390133022e-05,2.5464889725952726e-06,0.29876543209876544,-0.08148148148148149,0.6346913580246907,0.11525679957791299,1.0
prob_adipose_tissue,SUBTYPE03,SUBTYPE04,11,16,9.41094135266277e-06,2.9656897313294606e-05,-0.11363636363636363,-0.5454545454545454,0.31846590909090755,0.6392193319866875,1.0
prob_adipose_tissue,SUBTYPE03,SUBTYPE05,11,27,9.41094135266277e-06,2.5464889725952726e-06,0.11784511784511785,-0.28619528619528617,0.5151515151515151,0.5842561127201433,1.0
prob_adipose_tissue,SUBTYPE04,SUBTYPE05,16,27,2.9656897313294606e-05,2.5464889725952726e-06,0.2777777777777778,-0.08333333333333333,0.625,0.13491607323569885,1.0
prob_blank_space,SUBTYPE01,SUBTYPE02,10,15,1.919643224059265e-14,8.556569644257948e-14,0.2,-0.2803333333333333,0.6133333333333333,0.4212149126290856,1.0
prob_blank_space,SUBTYPE01,SUBTYPE03,10,11,1.919643224059265e-14,2.2918333067686035e-14,0.21818181818181817,-0.3090909090909091,0.7090909090909091,0.4180519085356006,1.0
prob_blank_space,SUBTYPE01,SUBTYPE04,10,16,1.919643224059265e-14,1.3007749555314344e-16,0.625,0.25,0.925,0.009083933817374308,0.09083933817374308
prob_blank_space,SUBTYPE01,SUBTYPE05,10,27,1.919643224059265e-14,1.860332369566048e-14,0.3037037037037037,-0.08888888888888889,0.6592592592592592,0.1660308270627835,0.996184962376701
prob_blank_space,SUBTYPE02,SUBTYPE03,15,11,8.556569644257948e-14,2.2918333067686035e-14,0.07878787878787878,-0.3696969696969697,0.5393939393939394,0.7554968749288828,1.0
prob_blank_space,SUBTYPE02,SUBTYPE04,15,16,8.556569644257948e-14,1.3007749555314344e-16,0.43333333333333335,0.03333333333333333,0.7916666666666666,0.041778857011062445,0.376009713099562
prob_blank_space,SUBTYPE02,SUBTYPE05,15,27,8.556569644257948e-14,1.860332369566048e-14,0.1259259259259259,-0.23962962962962964,0.47160493827160493,0.5116636949750099,1.0
prob_blank_space,SUBTYPE03,SUBTYPE04,11,16,2.2918333067686035e-14,1.3007749555314344e-16,0.3522727272727273,-0.10227272727272728,0.7616477272727257,0.13230749424864777,0.9261524597405344
prob_blank_space,SUBTYPE03,SUBTYPE05,11,27,2.2918333067686035e-14,1.860332369566048e-14,0.07744107744107744,-0.3400673400673401,0.468013468013468,0.7232964139885516,1.0
prob_blank_space,SUBTYPE04,SUBTYPE05,16,27,1.3007749555314344e-16,1.860332369566048e-14,-0.3055555555555556,-0.625,0.041666666666666664,0.09981535919544395,0.7985228735635516
prob_clear_cell_renal_cell_carcinoma,SUBTYPE01,SUBTYPE02,10,15,0.9854968234398263,0.9841662866334444,-0.12,-0.56,0.33366666666666484,0.6372871703235983,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE01,SUBTYPE03,10,11,0.9854968234398263,0.9857952777154512,-0.10909090909090909,-0.6363636363636364,0.4,0.6985353583033387,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE01,SUBTYPE04,10,16,0.9854968234398263,0.9833343359723272,-0.025,-0.4875,0.4875,0.9369873319714807,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE01,SUBTYPE05,10,27,0.9854968234398263,0.9861158896494444,-0.22962962962962963,-0.6075925925925926,0.17777777777777778,0.29691217298168193,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE02,SUBTYPE03,15,11,0.9841662866334444,0.9857952777154512,-0.030303030303030304,-0.4909090909090909,0.4303030303030303,0.9173281781919101,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE02,SUBTYPE04,15,16,0.9841662866334444,0.9833343359723272,0.075,-0.39166666666666666,0.5002083333333321,0.7368768981757916,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE02,SUBTYPE05,15,27,0.9841662866334444,0.9861158896494444,-0.1259259259259259,-0.4765432098765432,0.24444444444444444,0.5116636949750099,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE03,SUBTYPE04,11,16,0.9857952777154512,0.9833343359723272,0.125,-0.36363636363636365,0.5909090909090909,0.6043627146664909,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE03,SUBTYPE05,11,27,0.9857952777154512,0.9861158896494444,-0.08417508417508418,-0.494949494949495,0.3400673400673401,0.6993162368043635,1.0
prob_clear_cell_renal_cell_carcinoma,SUBTYPE04,SUBTYPE05,16,27,0.9833343359723272,0.9861158896494444,-0.16666666666666666,-0.49548611111111107,0.19004629629629505,0.37240844384157723,1.0
