feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
mutation::ATM,5,79,0,2,79,estimable,4.702380952380952,0.197,0.357825,9999
mutation::BAP1,5,79,0,11,79,estimable,30.69606295801149,0.0001,0.00043333333333333337,9999
mutation::DST,5,79,0,4,79,estimable,3.404924382716049,0.5291,0.6709181818181817,9999
mutation::FLG,5,79,0,4,79,estimable,8.114567901234567,0.0856,0.22256,9999
mutation::KDM5C,5,79,0,5,79,estimable,5.782262262262262,0.2202,0.357825,9999
mutation::LYST,5,79,0,4,79,estimable,1.555739197530864,0.9115,0.9115,9999
mutation::MTOR,5,79,0,5,79,estimable,2.502457457457457,0.7407,0.802425,9999
mutation::MUC16,5,79,0,8,79,estimable,7.168067781690141,0.1243,0.26931666666666665,9999
mutation::PBRM1,5,79,0,24,79,estimable,31.192171366442196,0.0001,0.00043333333333333337,9999
mutation::SETD2,5,79,0,4,79,estimable,3.144882716049383,0.5677,0.6709181818181817,9999
mutation::SPTA1,5,79,0,4,79,estimable,8.875430555555555,0.0621,0.201825,9999
mutation::TTN,5,79,0,9,79,estimable,4.661104497354498,0.3398,0.4908222222222222,9999
mutation::VHL,5,79,0,41,79,estimable,41.388353717967,0.0001,0.00043333333333333337,9999
