rank,recurrent_set_id,member_count,occurrence_count,total_accept_set_count,accept_set_frequency,supporting_k_count,supporting_ks,supporting_run_count,usable_run_count,run_support_frequency,member_ids
1,RS001,10,12,27,0.4444444444444444,6,"[2, 3, 4, 5, 6, 7]",12,19,0.631578947368421,"[""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4989"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187""]"
2,RS002,10,12,27,0.4444444444444444,6,"[2, 3, 4, 5, 6, 8]",12,19,0.631578947368421,"[""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4989"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5195""]"
3,RS003,25,11,27,0.4074074074074074,5,"[2, 3, 4, 5, 6]",11,19,0.5789473684210527,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CZ-4859""]"
4,RS004,26,10,27,0.37037037037037035,5,"[2, 3, 4, 5, 6]",10,19,0.5263157894736842,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CZ-4859""]"
5,RS005,10,10,27,0.37037037037037035,6,"[2, 4, 5, 6, 7, 8]",10,19,0.5263157894736842,"[""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4960"", ""TCGA-BP-4989"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187""]"
6,RS006,26,9,27,0.3333333333333333,4,"[2, 3, 4, 6]",9,19,0.47368421052631576,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CZ-4859""]"
7,RS007,13,9,27,0.3333333333333333,5,"[2, 4, 5, 6, 7]",9,19,0.47368421052631576,"[""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4960"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-CJ-4904""]"
8,RS008,11,9,27,0.3333333333333333,5,"[2, 4, 5, 6, 8]",9,19,0.47368421052631576,"[""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4960"", ""TCGA-BP-4989"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5195""]"
9,RS009,30,8,27,0.2962962962962963,4,"[2, 4, 5, 6]",8,19,0.42105263157894735,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859""]"
10,RS010,27,8,27,0.2962962962962963,4,"[2, 3, 4, 6]",8,19,0.42105263157894735,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CZ-4859""]"
