gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,25,37,14,66,7.738095238095238,False,estimated,5.455124591227735e-06,0.019545711410368972,8.182686886841602e-05,3.1251192957709413,19.160266296029757
ATM,False,6,37,0,66,27.444444444444443,True,estimated,0.0016259046154268688,1.0,,1.4986997168924674,502.56734045826227
BAP1,True,0,37,13,66,0.05283950617283951,True,estimated,0.003582608022485103,1.0,0.02686956016863827,0.0030460271355396006,0.9166081877648609
VHL,True,27,37,29,66,3.4448275862068964,False,estimated,0.006998399762253658,1.0,0.03499199881126829,1.4383914335741315,8.250074925158017
ADAMTS9,False,3,37,0,66,13.492753623188406,True,estimated,0.043935290159512815,1.0,,0.677403091854394,268.75342395867915
AHNAK2,False,3,37,0,66,13.492753623188406,True,estimated,0.043935290159512815,1.0,,0.677403091854394,268.75342395867915
ANK3,False,3,37,0,66,13.492753623188406,True,estimated,0.043935290159512815,1.0,,0.677403091854394,268.75342395867915
CACNA1S,False,3,37,0,66,13.492753623188406,True,estimated,0.043935290159512815,1.0,,0.677403091854394,268.75342395867915
FAT3,False,3,37,0,66,13.492753623188406,True,estimated,0.043935290159512815,1.0,,0.677403091854394,268.75342395867915
ACIN1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
ARHGAP45,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
ATP13A4,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
ATP8A2,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
CDC42BPA,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
CHAF1B,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
CLPTM1L,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
CTNND1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
FBH1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
FHOD1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
FN1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
GAS2,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
GCC1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
GCKR,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
GCN1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
HLA-DPA1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
JADE3,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
KCND3,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
KCNH7,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
KIF5C,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
KNTC1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
MYO6,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
NAT8,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
NSD3,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
OR52J3,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
PCDHA12,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
PDS5B,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
PPFIA1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
RGS3,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
SAMD9,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
SBNO1,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
SIPA1L3,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
SLC7A2,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
SMS,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
TLE3,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
TLR2,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
VAC14,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
VEZT,False,2,37,0,66,9.366197183098592,True,estimated,0.12678469446030838,1.0,,0.4375685880130949,200.48434022887108
