gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
VHL,True,11,11,45,92,24.01098901098901,True,estimated,0.0008338752404836182,1.0,0.012508128607254273,1.374368546646146,419.4854391078204
PAIP1,False,3,11,0,92,76.17647058823529,True,estimated,0.0009329887871711214,1.0,,3.6243746295109096,1601.0637046268407
PBRM1,True,0,11,39,92,0.05888827738029719,True,estimated,0.006082522241934546,1.0,0.045618916814509095,0.0033685035688090143,1.0294865782329945
LRRIQ1,False,2,11,0,92,48.68421052631579,True,estimated,0.010470207500475918,1.0,,2.1735806247149716,1090.436824666415
MYO1E,False,2,11,0,92,48.68421052631579,True,estimated,0.010470207500475918,1.0,,2.1735806247149716,1090.436824666415
PPP3CC,False,2,11,0,92,48.68421052631579,True,estimated,0.010470207500475918,1.0,,2.1735806247149716,1090.436824666415
PRKCE,False,2,11,0,92,48.68421052631579,True,estimated,0.010470207500475918,1.0,,2.1735806247149716,1090.436824666415
TRAT1,False,2,11,0,92,48.68421052631579,True,estimated,0.010470207500475918,1.0,,2.1735806247149716,1090.436824666415
ATF7IP,False,2,11,1,92,20.22222222222222,False,estimated,0.029544644927085518,1.0,,1.66611221583251,245.44461514592714
FBN2,False,2,11,1,92,20.22222222222222,False,estimated,0.029544644927085518,1.0,,1.66611221583251,245.44461514592714
MYH7,False,2,11,1,92,20.22222222222222,False,estimated,0.029544644927085518,1.0,,1.66611221583251,245.44461514592714
NIPBL,False,2,11,1,92,20.22222222222222,False,estimated,0.029544644927085518,1.0,,1.66611221583251,245.44461514592714
ABCB11,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ACAP1,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ACOT8,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ACSF2,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ACSM2A,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ADAMTS19,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ADCY1,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ADCY7,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ADCY9,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ADIG,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
AGO3,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
AKR1B10,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
ALDH3B2,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
AMY1C,False,1,11,0,92,26.428571428571427,True,estimated,0.10679611650485436,1.0,,1.0108150072182471,690.9962582345139
