gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,17,28,22,75,3.7231404958677685,False,estimated,0.005682203389369537,1.0,0.08523305084054306,1.503434572580861,9.220072096768911
BAP1,True,0,28,13,75,0.08122157244964262,True,estimated,0.01771182061020793,1.0,0.13283865457655947,0.0046641503578552426,1.414393474704807
CACNA1S,False,3,28,0,75,20.725490196078432,True,estimated,0.018524068283470266,1.0,,1.0349056705135353,415.0580638471102
FAT3,False,3,28,0,75,20.725490196078432,True,estimated,0.018524068283470266,1.0,,1.0349056705135353,415.0580638471102
VHL,True,20,28,36,75,2.7083333333333335,False,estimated,0.04531844788181684,1.0,0.22659223940908418,1.0613982214172768,6.910761009802695
CHD4,False,3,28,1,75,8.88,False,estimated,0.06020322192127836,1.0,,0.8830425471887048,89.2985284243036
ARHGAP45,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
CDC42BPA,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
CHAF1B,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
CLPTM1L,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
FN1,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
HLA-DPA1,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
KCNH7,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
MYO6,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
NAT8,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
NSD3,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
PCDHA12,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
PPFIA1,False,2,28,0,75,14.245283018867925,True,estimated,0.07195888063963449,1.0,,0.6622755987584014,306.41033531672554
