gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
BAP1,True,8,33,5,70,4.16,False,estimated,0.023956223348043017,1.0,0.2720606962188449,1.2419449195757077,13.934273354016545
FBN2,False,3,33,0,70,16.18032786885246,True,estimated,0.030850829229125087,1.0,,0.810796914999773,322.89591277445425
NYNRIN,False,3,33,0,70,16.18032786885246,True,estimated,0.030850829229125087,1.0,,0.810796914999773,322.89591277445425
RYR3,False,3,33,0,70,16.18032786885246,True,estimated,0.030850829229125087,1.0,,0.810796914999773,322.89591277445425
SOX5,False,3,33,0,70,16.18032786885246,True,estimated,0.030850829229125087,1.0,,0.810796914999773,322.89591277445425
VHL,True,23,33,33,70,2.5787878787878786,False,estimated,0.036274759495845986,1.0,0.2720606962188449,1.071448324691084,6.206689366657634
COL24A1,False,3,33,1,70,6.9,False,estimated,0.09563757061028777,1.0,,0.68940644617182,69.0594064856397
COL6A6,False,3,33,1,70,6.9,False,estimated,0.09563757061028777,1.0,,0.68940644617182,69.0594064856397
ZNF407,False,3,33,1,70,6.9,False,estimated,0.09563757061028777,1.0,,0.68940644617182,69.0594064856397
ACAN,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ACE,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
BNC1,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
BOD1L1,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
C20orf194,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
CAMSAP2,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
CCDC150,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
CCDC80,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
