gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,0,13,39,90,0.048288795124238164,True,estimated,0.0015670957429722988,1.0,0.02186145445616168,0.0027848635479525035,0.8373148969058275
PAIP1,False,3,13,0,90,60.333333333333336,True,estimated,0.0016171805644299435,1.0,,2.9110952590907213,1250.4266563396816
VHL,True,12,13,44,90,12.545454545454545,False,estimated,0.0029148605941548907,1.0,0.02186145445616168,1.5649897251243559,100.56834701554338
ANKRD17,False,2,13,0,90,39.34782608695652,True,estimated,0.014848657909765849,1.0,,1.7764990631557533,871.5182855312512
LRRIQ1,False,2,13,0,90,39.34782608695652,True,estimated,0.014848657909765849,1.0,,1.7764990631557533,871.5182855312512
MYO1E,False,2,13,0,90,39.34782608695652,True,estimated,0.014848657909765849,1.0,,1.7764990631557533,871.5182855312512
PPP3CC,False,2,13,0,90,39.34782608695652,True,estimated,0.014848657909765849,1.0,,1.7764990631557533,871.5182855312512
PRKCE,False,2,13,0,90,39.34782608695652,True,estimated,0.014848657909765849,1.0,,1.7764990631557533,871.5182855312512
TRAT1,False,2,13,0,90,39.34782608695652,True,estimated,0.014848657909765849,1.0,,1.7764990631557533,871.5182855312512
ZNF609,False,2,13,0,90,39.34782608695652,True,estimated,0.014848657909765849,1.0,,1.7764990631557533,871.5182855312512
ARID1A,True,2,13,1,90,16.181818181818183,False,estimated,0.04131161260043765,1.0,0.20655806300218824,1.3539161662794579,193.4028459007066
ATF7IP,False,2,13,1,90,16.181818181818183,False,estimated,0.04131161260043765,1.0,,1.3539161662794579,193.4028459007066
FBN2,False,2,13,1,90,16.181818181818183,False,estimated,0.04131161260043765,1.0,,1.3539161662794579,193.4028459007066
MYH7,False,2,13,1,90,16.181818181818183,False,estimated,0.04131161260043765,1.0,,1.3539161662794579,193.4028459007066
NIPBL,False,2,13,1,90,16.181818181818183,False,estimated,0.04131161260043765,1.0,,1.3539161662794579,193.4028459007066
FAT4,False,2,13,2,90,8.0,False,estimated,0.07663965711248451,1.0,,1.0218898159883691,62.62906137106312
ABCB11,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
ACAP1,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
ACOT8,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
ACSF2,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
ACSM2A,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
ADAMTS19,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
ADCY1,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
ADCY7,False,1,13,0,90,21.72,True,estimated,0.1262135922330097,1.0,,0.8381018048019903,562.8891350633205
