gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
BAP1,True,9,17,4,86,23.0625,False,estimated,5.013048602887835e-06,0.017961753144147115,7.519572904331754e-05,5.781297065297514,91.99992670202437
ARHGEF11,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
CLUH,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
COBLL1,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
DYNC2H1,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
HIP1R,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
IGF1R,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
KIAA0586,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
MAST2,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
PPIP5K2,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
PSD3,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
SHOC1,False,2,17,0,86,27.903225806451612,True,estimated,0.025889967637540454,1.0,,1.2770766232776976,609.6658541971642
SPTA1,False,3,17,3,86,5.928571428571429,False,estimated,0.05513527774414057,1.0,,1.085685068430185,32.37399150611387
ADAMTS12,False,2,17,1,86,11.333333333333334,False,estimated,0.06997981351533211,1.0,,0.9658852084540469,132.9810657831969
ANO3,False,2,17,1,86,11.333333333333334,False,estimated,0.06997981351533211,1.0,,0.9658852084540469,132.9810657831969
BRPF3,False,2,17,1,86,11.333333333333334,False,estimated,0.06997981351533211,1.0,,0.9658852084540469,132.9810657831969
KHK,False,2,17,1,86,11.333333333333334,False,estimated,0.06997981351533211,1.0,,0.9658852084540469,132.9810657831969
