gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,18,18,21,85,111.0,True,estimated,1.1357471041791388e-09,4.069381874273854e-06,1.703620656268708e-08,6.413298992331816,1921.1641332692946
ACIN1,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
CHSY3,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
DLD,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
FN1,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
LILRB4,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
NNT,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
NOS1AP,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
NOS2,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
RGS3,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
SIPA1L3,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
SLC17A6,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
TSC2,True,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,0.18530799444260299,1.1886010588833578,564.7656013079596
XIRP2,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
VHL,True,14,18,42,85,3.5833333333333335,False,estimated,0.0370615988885206,1.0,0.18530799444260299,1.0903524170026302,11.776263873542463
ATM,False,3,18,3,85,5.466666666666667,False,estimated,0.0645298371723441,1.0,,1.0063469053318927,29.695966953451865
ADAMTS9,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
CLCC1,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
LRP2,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
MACF1,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
NCKAP5,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
NYNRIN,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
PRKAG1,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
PRKDC,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
TGM5,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
BAP1,True,0,18,13,85,0.14514514514514515,True,estimated,0.11754628972680947,1.0,0.4197635297510334,0.008241766144286134,2.5561406123869084
COL24A1,False,2,18,2,85,5.1875,False,estimated,0.1399211765836778,1.0,,0.6801157492346749,39.56702411358895
MYLK,False,2,18,2,85,5.1875,False,estimated,0.1399211765836778,1.0,,0.6801157492346749,39.56702411358895
PCDH10,False,2,18,2,85,5.1875,False,estimated,0.1399211765836778,1.0,,0.6801157492346749,39.56702411358895
PIK3CA,True,2,18,2,85,5.1875,False,estimated,0.1399211765836778,1.0,0.4197635297510334,0.6801157492346749,39.56702411358895
A2M,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
AAMDC,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ABCA7,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ABCB4,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ABI2,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ACACA,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ACADM,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ACKR3,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ACSS3,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ACTL7B,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ACTN2,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ADA2,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ADAMTSL5,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ADD1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ADGRA1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ADGRE3,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ADH4,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ADHFE1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
AFF3,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
AGA,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
AGT,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
AK8,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
AKT3,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ALG8,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
ALPK1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
