gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
FLG,False,6,21,0,82,69.19354838709677,True,estimated,3.7951090532076786e-05,0.13597875737643111,,3.705010826207154,1292.2356675806943
AKNAD1,False,3,21,0,82,31.216216216216218,True,estimated,0.007520455072349039,0.977931142043904,,1.5451282134531097,630.6610327694543
NAV3,False,3,21,0,82,31.216216216216218,True,estimated,0.007520455072349039,0.977931142043904,,1.5451282134531097,630.6610327694543
CPEB4,False,3,21,1,82,13.5,False,estimated,0.026020774550327676,0.977931142043904,,1.3265268073662981,137.38885560996786
GLG1,False,3,21,1,82,13.5,False,estimated,0.026020774550327676,0.977931142043904,,1.3265268073662981,137.38885560996786
BICD1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
C6orf62,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
CASP8AP2,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
CHID1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
COX19,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
CYP2A13,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
F2,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
GABPB1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
GCC1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
GCKR,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
HELLS,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
IPO5,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
MYBL2,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
NOX1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
NUTM1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
PCDH7,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
POTEE,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
ROCK1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
RTTN,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
SUPT20HL1,False,2,21,0,82,21.153846153846153,True,estimated,0.03997715591090806,0.977931142043904,,0.9758524822565977,458.558250593174
