gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
DST,False,4,18,2,85,11.857142857142858,False,estimated,0.008162480603122725,1.0,,1.9808963929175512,70.97384660669915
CHAF1B,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
CLPTM1L,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
HLA-DPA1,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
JADE3,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
KCNH7,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
MYO6,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
NAT8,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
PDS5B,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
PPFIA1,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
SAMD9,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
TLR2,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
VEZT,False,2,18,0,85,25.90909090909091,True,estimated,0.02912621359223301,1.0,,1.1886010588833578,564.7656013079596
MUC16,False,4,18,4,85,5.785714285714286,False,estimated,0.029908585465121002,1.0,,1.294146565109358,25.86607320870933
ADGRG4,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
AHNAK2,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
ANK3,False,2,18,1,85,10.5,False,estimated,0.07815053349995192,1.0,,0.8976811273336164,122.81643964987398
