gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,14,14,25,89,73.3529411764706,True,estimated,2.1921499280541456e-07,0.0007854473192218004,3.2882248920812184e-06,4.216478484858602,1276.1013719293746
VHL,True,14,14,42,89,32.411764705882355,True,estimated,8.932197425543297e-05,0.16002031687860815,0.0006699148069157473,1.8758551221134172,560.0232549760661
FN1,False,2,14,0,89,35.8,True,estimated,0.017323434228060156,1.0,,1.6231870656624323,789.5824376082954
RGS3,False,2,14,0,89,35.8,True,estimated,0.017323434228060156,1.0,,1.6231870656624323,789.5824376082954
SIPA1L3,False,2,14,0,89,35.8,True,estimated,0.017323434228060156,1.0,,1.6231870656624323,789.5824376082954
SLC17A6,False,2,14,0,89,35.8,True,estimated,0.017323434228060156,1.0,,1.6231870656624323,789.5824376082954
TSC2,True,2,14,0,89,35.8,True,estimated,0.017323434228060156,1.0,0.08661717114030078,1.6231870656624323,789.5824376082954
ATM,False,3,14,3,89,7.818181818181818,False,estimated,0.031778648208298024,1.0,,1.4013675648772908,43.61736954251614
ADAMTS9,False,2,14,1,89,14.666666666666666,False,estimated,0.04785384306563153,1.0,,1.2342501688688652,174.28485451069508
LRP2,False,2,14,1,89,14.666666666666666,False,estimated,0.04785384306563153,1.0,,1.2342501688688652,174.28485451069508
TGM5,False,2,14,1,89,14.666666666666666,False,estimated,0.04785384306563153,1.0,,1.2342501688688652,174.28485451069508
PCDH10,False,2,14,2,89,7.25,False,estimated,0.08815398273122571,1.0,,0.9325569008425871,56.363852921477005
A2M,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
AAMDC,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ABCA7,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ABCB4,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ABI2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ACACA,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ACKR3,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ACTL7B,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ACTN2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ADA2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ADAMTSL5,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ADD1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ADGRA1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ADGRE3,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ADH4,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ADHFE1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
AGA,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
AK8,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
AKT3,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ALG8,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ALPK1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ALPK2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ALPL,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ANKRA2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ANKRD20A2P,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ANO8,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
AP001781.2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
AP3S2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
APMAP,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ARF1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ARGFX,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ARHGAP11A,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ARHGEF5,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ARHGEF7,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ARID2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ARL6IP6,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ATAD1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ATG4D,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ATG7,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ATP2C1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
ATRNL1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
AXIN1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
BACH1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
BAHD1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
BRWD1,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
BSND,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
BTBD7,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
C11orf24,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
C16orf78,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
C8orf37,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
CACNA1F,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
CALCOCO2,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
CASP10,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
CCDC102A,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
CCDC116,False,1,14,0,89,19.88888888888889,True,estimated,0.13592233009708737,1.0,,0.7700791888420562,513.6717196959587
