gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
FLG,False,6,20,0,83,74.86206896551724,True,estimated,2.7107921808626277e-05,0.09712768384030794,,3.997235055919252,1402.0514909421622
CPEB4,False,3,20,1,83,14.470588235294118,False,estimated,0.02249690417356984,0.98405679680312,,1.4182350519308762,147.6468400568331
GLG1,False,3,20,1,83,14.470588235294118,False,estimated,0.02249690417356984,0.98405679680312,,1.4182350519308762,147.6468400568331
VHL,True,6,20,50,83,0.28285714285714286,False,estimated,0.023134972842156633,0.98405679680312,0.34702459263234947,0.09872799687756738,0.8103898164218228
BICD1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
C6orf62,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
CASP8AP2,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
CHID1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
COX19,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
CYP2A13,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
GABPB1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
GCC1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
GCKR,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
HELLS,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
IPO5,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
MYBL2,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
NOX1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
NUTM1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
PCDH7,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
POTEE,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
ROCK1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
RTTN,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
SUPT20HL1,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
TBC1D9B,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
TUBGCP6,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
VCAN,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
ZAN,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
ZMYM5,False,2,20,0,83,22.56756756756757,True,estimated,0.03616980772891681,0.98405679680312,,1.0393634714370161,490.0067396178356
MTOR,True,3,20,3,83,4.705882352941177,False,estimated,0.08571409268574033,0.98405679680312,0.6428556951430525,0.8737584780917004,25.344908547369823
ABCA13,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
ADAR,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
AKNAD1,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
APPL2,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
ARHGAP26,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
COL5A3,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
DNAH2,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
KIF1A,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
KIF1B,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
NAV3,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
NCL,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
POLR2A,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
PTPRC,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
PYGM,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
TENM1,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
UPF2,False,2,20,1,83,9.11111111111111,False,estimated,0.09561721449129491,0.98405679680312,,0.7830032684742462,106.01787887906207
EP300,False,2,20,2,83,4.5,False,estimated,0.16873752480902007,0.98405679680312,,0.5937048206889259,34.10785847502841
