gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
VHL,True,6,36,50,67,0.068,False,estimated,2.0381250070338598e-08,7.30260190020232e-05,3.05718751055079e-07,0.024156520382541628,0.1914182972868001
FLG,False,6,36,0,67,28.770491803278688,True,estimated,0.001362244407519809,1.0,,1.570264383125389,527.134925492626
CPEB4,False,4,36,0,67,18.692307692307693,True,estimated,0.013323079880803614,1.0,,0.9767755212840264,357.70999502997
KDM5C,True,5,36,1,67,10.64516129032258,False,estimated,0.019027478337292812,1.0,0.1427060875296961,1.1924745634866436,95.02882691740662
ADAR,False,3,36,0,67,14.104477611940299,True,estimated,0.04037296933576853,1.0,,0.7078226540070314,281.05385943715356
AKAP9,False,3,36,0,67,14.104477611940299,True,estimated,0.04037296933576853,1.0,,0.7078226540070314,281.05385943715356
DNAH8,False,3,36,0,67,14.104477611940299,True,estimated,0.04037296933576853,1.0,,0.7078226540070314,281.05385943715356
GLB1,False,3,36,0,67,14.104477611940299,True,estimated,0.04037296933576853,1.0,,0.7078226540070314,281.05385943715356
PYGM,False,3,36,0,67,14.104477611940299,True,estimated,0.04037296933576853,1.0,,0.7078226540070314,281.05385943715356
TP53,True,3,36,0,67,14.104477611940299,True,estimated,0.04037296933576853,1.0,0.20186484667884266,0.7078226540070314,281.05385943715356
UPF2,False,3,36,0,67,14.104477611940299,True,estimated,0.04037296933576853,1.0,,0.7078226540070314,281.05385943715356
PCLO,False,4,36,1,67,8.25,False,estimated,0.04938959915409018,1.0,,0.8856481482626136,76.85049659226299
ADAMTS14,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
ALDH16A1,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
ANKRD34B,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
ANPEP,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
BICD1,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
C6orf62,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CADPS,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CARD11,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CASP8AP2,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CDK12,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CFAP57,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CHD9,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CHID1,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
COX19,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
CYP2A13,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
FREM2,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
GABPB1,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
GCC1,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
GCKR,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
GPR15,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
GRIN2B,False,2,36,0,67,9.782608695652174,True,estimated,0.11993146773272416,1.0,,0.45685235815066827,209.47562420305633
