gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,4,4,35,99,16.35211267605634,True,estimated,0.01860345714754228,1.0,0.2790518572131342,0.855551126183596,312.53724153600336
ACADM,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
ACSS3,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
AFF3,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
AGT,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
ALYREF,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
AP4B1,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
APOL5,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
ARSG,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
AZU1,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
BPI,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
C2CD2L,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
C3orf70,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
CCDC142,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
CCDC59,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
CEACAM3,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
CNTNAP2,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
COL13A1,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
CREBRF,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
CRYGA,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
CUX1,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
DCC,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
DDHD1,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
DHPS,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
DNAJC25,False,1,4,0,99,85.28571428571429,True,estimated,0.03883495145631068,1.0,,2.92270891739682,2488.668309707332
