gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
PBRM1,True,7,7,32,96,29.76923076923077,True,estimated,0.0007762856443500704,1.0,0.011644284665251057,1.6484430706834214,537.6024907091924
DST,False,3,7,3,96,23.25,False,estimated,0.0036104891389848776,1.0,,3.5211015780722197,153.52084795462068
CENPF,False,2,7,0,96,87.72727272727273,True,estimated,0.003997715591090805,1.0,,3.738122948390861,2058.807183824223
NYNRIN,False,2,7,1,96,38.0,False,estimated,0.01159733334841194,1.0,,2.927530331140701,493.24851894441366
PKHD1L1,False,2,7,1,96,38.0,False,estimated,0.01159733334841194,1.0,,2.927530331140701,493.24851894441366
DNAH9,False,2,7,3,96,12.4,False,estimated,0.03613680614206481,1.0,,1.6735684316760409,91.8755379760676
ABCA10,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
ACADM,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
ACSS3,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
AFF3,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
AGT,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
AKAP6,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
ALYREF,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
AMBRA1,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
AMN,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
AP4B1,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
APOL5,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
ARSG,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
AZU1,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
BPI,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
C1QTNF9,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
C2CD2L,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
C3orf70,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
CACNA2D1,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
CAMTA2,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
CCDC142,False,1,7,0,96,44.53846153846154,True,estimated,0.06796116504854367,1.0,,1.6464357105110656,1204.82964718815
