gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
VHL,True,0,15,56,88,0.01855552383671139,True,estimated,1.840927361377599e-06,0.006596042735815938,2.7613910420663986e-05,0.0010743225520833915,0.3204879802504959
TP53,True,3,15,0,88,49.56,True,estimated,0.0025727872615930922,1.0,0.01929590446194819,2.414134711914919,1017.4219308796235
CHD9,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
GPR15,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
GRIN2B,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
NR2F2,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
OPTC,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
RELN,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
TRPM6,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
ULK3,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
KDM5C,True,3,15,3,88,7.083333333333333,False,estimated,0.038762627996502846,1.0,0.16397500256995792,1.2802733370745005,39.18976491829529
LYST,False,3,15,3,88,7.083333333333333,False,estimated,0.038762627996502846,1.0,,1.2802733370745005,39.18976491829529
PBRM1,True,2,15,37,88,0.21205821205821207,False,estimated,0.04372666735198878,1.0,0.16397500256995792,0.04511132791710135,0.9968379867682495
AKAP9,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
CHD6,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
DIP2C,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
DNAH8,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
GLB1,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
LIPI,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
PCDHA10,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
MAN2C1,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
MYH4,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
PKHD1,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
TLN2,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
USP34,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
AAAS,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AAGAB,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AASDHPPT,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ABCA12,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ABCC3,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ABHD12,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ABHD18,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AC098582.1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ACAD10,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ACTR8,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ACVR1B,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ADAM15,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ADAM33,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ADGRB1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ADTRP,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AGO2,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AGPAT5,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AHSG,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AKAP12,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ALG13,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AMPD1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ANGPTL1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ANKRD2,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ANKRD44,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ANKRD55,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ARFGEF3,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ARMH4,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ARMT1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ASB15,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ASXL1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ATAD2B,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ATF2,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ATG2A,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ATP1A2,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ATP6V0B,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
BCAR3,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
BCHE,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
BCL6,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
BCORL1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
C10orf71,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
C2CD3,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
C5,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
C7orf57,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
C8orf34,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CAND2,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CAPN1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CARNMT1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CAST,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CBL,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CCDC146,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CCDC173,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
CCDC54,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
