gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
FLG,False,6,16,0,87,108.33333333333333,True,estimated,5.600625331359112e-06,0.0200670405622597,,5.6879649011289235,2063.3234056669003
CPEB4,False,3,16,1,87,19.846153846153847,False,estimated,0.011431091709970538,1.0,,1.9171726576257901,205.4430626884551
BICD1,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
C6orf62,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
CHID1,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
COX19,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
CYP2A13,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
GABPB1,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
HELLS,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
NOX1,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
NUTM1,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
RTTN,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
SLC44A3,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
SUPT20HL1,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
TBC1D9B,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
VCAN,False,2,16,0,87,30.17241379310345,True,estimated,0.02284408909194746,1.0,,1.37722656010016,661.0201839529233
MTOR,True,3,16,3,87,6.461538461538462,False,estimated,0.04654634672898636,1.0,0.427233303529896,1.1761558635626466,35.498253746296086
VHL,True,5,16,51,87,0.32085561497326204,False,estimated,0.0569644404706528,1.0,0.427233303529896,0.10261604555200678,1.0032380911394112
DNAH2,False,2,16,1,87,12.285714285714286,False,estimated,0.062199252478074764,1.0,,1.0432841031756894,144.67657951535563
KIF1A,False,2,16,1,87,12.285714285714286,False,estimated,0.062199252478074764,1.0,,1.0432841031756894,144.67657951535563
NAV3,False,2,16,1,87,12.285714285714286,False,estimated,0.062199252478074764,1.0,,1.0432841031756894,144.67657951535563
NCL,False,2,16,1,87,12.285714285714286,False,estimated,0.062199252478074764,1.0,,1.0432841031756894,144.67657951535563
POLR2A,False,2,16,1,87,12.285714285714286,False,estimated,0.062199252478074764,1.0,,1.0432841031756894,144.67657951535563
TENM1,False,2,16,1,87,12.285714285714286,False,estimated,0.062199252478074764,1.0,,1.0432841031756894,144.67657951535563
EP300,False,2,16,2,87,6.071428571428571,False,estimated,0.11296741324617898,1.0,,0.7895383447287522,46.688352939493136
GLG1,False,2,16,2,87,6.071428571428571,False,estimated,0.11296741324617898,1.0,,0.7895383447287522,46.688352939493136
SPEN,False,2,16,2,87,6.071428571428571,False,estimated,0.11296741324617898,1.0,,0.7895383447287522,46.688352939493136
AADACL3,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ABCA6,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ABCC6,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ABCD4,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ABCG1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ABL1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
AC245033.1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ACSL6,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ACTRT3,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ACVR2A,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ADAMTS16,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ADGRF1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ADGRG6,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ADRB2,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
AFAP1L1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
AFTPH,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
AGK,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
AKAP8L,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ALDH1A1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ALK,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ALKBH6,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ALPI,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
AMDHD2,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
AMN1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ANKHD1-EIF4EBP3,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ANKRD12,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ANKRD27,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ANKRD39,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ANKS3,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ANTXR1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ARHGAP12,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ARHGAP28,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ARHGEF1,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ARHGEF15,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
ARHGEF28,False,1,16,0,87,16.93548387096774,True,estimated,0.15533980582524273,1.0,,0.6593426688060268,434.9947720859328
