gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
ATM,False,6,15,0,88,121.10526315789474,True,estimated,3.5003908320994457e-06,0.012541900351412312,,6.3177080748464896,2321.488202808313
PBRM1,True,12,15,27,88,9.037037037037036,False,estimated,0.0008323275720877268,1.0,0.012484913581315902,2.357222917687254,34.64586984794218
ACIN1,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
CENPF,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
CLPTM1L,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
DLD,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
DNAH3,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
GCC1,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
GCKR,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
KNTC1,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
NNT,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
PDS5B,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
PDZD2,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
TLE3,False,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,,1.4915227287826818,720.3260770462742
TSC1,True,2,15,0,88,32.77777777777778,True,estimated,0.019988577955454025,1.0,0.1499143346659052,1.4915227287826818,720.3260770462742
DST,False,3,15,3,88,7.083333333333333,False,estimated,0.038762627996502846,1.0,,1.2802733370745005,39.18976491829529
AHNAK2,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
NYNRIN,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
PKHD1L1,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
PRKDC,False,2,15,1,88,13.384615384615385,False,estimated,0.054820159343175884,1.0,,1.1318690836386258,158.27619252411685
MUC16,False,3,15,5,88,4.15,False,estimated,0.08982623021728513,1.0,,0.8772126126671242,19.633210639363465
COL11A1,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
MKI67,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
PLXNA4,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
RP1,False,2,15,2,88,6.615384615384615,False,estimated,0.1002753730541529,1.0,,0.8559515225117866,51.12826189156621
A2M,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AADAC,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ABCA10,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ABCC12,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ACADM,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ACSS3,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ACTL7B,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ADD1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ADGRA2,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
ADH4,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AFF3,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AGA,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AGT,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AGTR1,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AK8,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
AKAP6,False,1,15,0,88,18.310344827586206,True,estimated,0.14563106796116507,1.0,,0.7110501623279653,471.51206126927696
