patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,4097,1024,Cyst Content,0.0003362504648976028,False,3.138049109452368e-08,0.0010604014387354255,0.0003362504648976028,0.5724173188209534,0.40459969639778137,0.02031465247273445,2.3404207240673713e-05,0.0007641829433850944,0.0004690579080488533,1.497275115980301e-05
1,4353,1024,Fibrocollagenous Tissue,0.001310765277594328,False,1.35899938413786e-07,3.835685618014395e-07,0.001310765277594328,0.2713712751865387,0.7089431881904602,0.00649996055290103,0.00029512474429793656,1.92870957107516e-05,0.00023039458028506488,0.011329415254294872
2,4609,1024,Fibrocollagenous Tissue,0.0030134287662804127,False,3.7121324680811085e-07,4.25742297319176e-12,0.0030134287662804127,0.003697738517075777,0.9440732002258301,0.0007438947213813663,0.00017297948943451047,2.4069247928082405e-08,6.085934273869498e-06,0.048292286694049835
3,4865,1024,Fibrocollagenous Tissue,0.005550752393901348,False,5.091713433102996e-07,3.1948155232441877e-10,0.005550752393901348,0.051009949296712875,0.9323452711105347,0.009255926124751568,5.255010546534322e-05,8.873697652234114e-07,1.91039071069099e-05,0.0017650342779234052
4,3584,1280,Cyst Content,0.0008458803058601916,False,1.3438251400543777e-08,6.446533370763063e-05,0.0008458803058601916,0.5884472131729126,0.27682220935821533,0.1315566450357437,6.173875590320677e-05,0.002121001249179244,7.892192661529407e-05,1.945709982464905e-06
5,3840,1280,Fibrocollagenous Tissue,0.030695943161845207,False,7.302998739078248e-08,3.0054531086065595e-10,0.030695943161845207,0.06776697933673859,0.8565633893013,0.040689919143915176,0.0005901108961552382,5.293501999403816e-06,0.00013520197535399348,0.0035530084278434515
6,4097,1280,Renal Parenchyma,0.037258610129356384,False,9.367983011543402e-07,2.2735760214602496e-14,0.037258610129356384,0.0026033881586045027,0.2874644994735718,5.523116124095395e-05,0.005451536271721125,5.995370866429539e-09,0.0003054736880585551,0.6668602824211121
7,4353,1280,Renal Parenchyma,0.0003585156227927655,False,2.9379553012631732e-08,1.4633541581268684e-18,0.0003585156227927655,9.703633168101078e-07,0.0020275432616472244,2.1932626736997918e-07,0.0005043345154263079,9.325695597695027e-12,3.538529824709258e-07,0.9971080422401428
8,4609,1280,Renal Parenchyma,0.0023929812014102936,False,1.0529824834293322e-07,1.406064435402543e-17,0.0023929812014102936,1.1419894690334331e-05,0.051767751574516296,1.6125659385579638e-05,0.0004866509698331356,1.8744222840538782e-10,9.71398890214914e-08,0.9453248977661133
9,4865,1280,Fibrocollagenous Tissue,0.01603701151907444,False,7.146460347939865e-07,7.026058358740024e-16,0.01603701151907444,0.0007476278697140515,0.843669056892395,0.0011087984312325716,0.0003392228973098099,7.896021614328674e-09,2.3193085496586718e-07,0.1380973905324936
10,5121,1280,Fibrocollagenous Tissue,0.0019737679976969957,False,1.1986277570485981e-07,4.234671280300972e-08,0.0019737679976969957,0.07238585501909256,0.8680530786514282,0.0573640801012516,2.2380783775588498e-05,8.870823876350187e-06,4.6084056521067396e-05,0.00014573297812603414
11,3328,1536,Cyst Content,0.0014337264001369476,False,1.6237960380749428e-06,4.091034355724332e-08,0.0014337264001369476,0.8102262616157532,0.17324616014957428,0.013287664391100407,4.126100611756556e-05,6.764965746697271e-06,0.00034630464506335557,0.0014101550914347172
12,3584,1536,Renal Parenchyma,0.020821738988161087,False,1.496154254709836e-06,2.0983206695085986e-14,0.020821738988161087,0.007473199162632227,0.05503926798701286,0.0040348004549741745,0.00022444628120865673,6.053313938991778e-08,4.601404725690372e-06,0.9124003648757935
13,3840,1536,Renal Parenchyma,0.004662881605327129,False,1.072701394377873e-08,1.3823028141070717e-19,0.004662881605327129,8.802113370620646e-06,0.0004745817568618804,3.130223922198638e-05,8.928899660531897e-06,2.1674504205315692e-11,2.422386735645432e-08,0.9948135614395142
