patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,64537,512,Fibrocollagenous Tissue,2.0668903744081035e-05,False,1.0429943575473999e-09,7.830559117794067e-12,2.0668903744081035e-05,4.105581581370643e-07,0.9827491044998169,0.017162002623081207,3.600872267028876e-09,1.2414638206337258e-07,6.552841659868136e-05,2.184065806432045e-06
1,64793,512,Fibrocollagenous Tissue,2.286151357111521e-05,False,1.621421574782289e-08,9.771836118055433e-13,2.286151357111521e-05,8.773852044896557e-08,0.9957408905029297,0.004108904395252466,2.4251156638399607e-09,6.059112678258316e-08,0.00011556877143448219,1.1576064935070463e-05
2,65049,512,Fibrocollagenous Tissue,1.07816676973016e-05,False,1.8601346241098327e-08,1.4903991235604153e-11,1.07816676973016e-05,1.6666356827954587e-07,0.9943110942840576,0.0055616553872823715,2.5805948489221464e-09,1.5248514273480396e-07,0.00011126497702207416,4.896770860796096e-06
3,65305,512,Fibrocollagenous Tissue,1.1451793398009613e-05,False,2.8019500053488855e-09,6.568698363018655e-11,1.1451793398009613e-05,1.061854959516495e-06,0.9821266531944275,0.01778247207403183,5.698690852540267e-09,1.905231215459935e-06,7.46893128962256e-05,1.7611606608625152e-06
4,65561,512,Fibrocollagenous Tissue,6.19490965618752e-05,False,5.280222925563294e-09,6.71661004592039e-10,6.19490965618752e-05,8.943016837292816e-06,0.9614577293395996,0.03828372061252594,2.526521569734541e-08,3.1167703127721325e-05,0.00015475870168302208,1.7677098185231443e-06
5,65817,512,Fibrocollagenous Tissue,0.00012763992708642036,False,1.9668085826651804e-08,8.880247332854196e-05,0.00012763992708642036,0.0014583717565983534,0.9277656078338623,0.06871046870946884,4.4800438558922906e-07,0.001062897965312004,0.0007856011507101357,1.9341317170074035e-07
6,22281,768,Fibrocollagenous Tissue,1.6726655303500593e-05,False,5.933117552814338e-09,3.32016476534136e-08,1.6726655303500593e-05,1.6133726603584364e-05,0.9943991303443909,0.00549789983779192,2.829150247407597e-08,5.210797462495975e-05,1.7141141142928973e-05,7.209418981801718e-07
7,22537,768,Fibrocollagenous Tissue,8.996391443361063e-06,False,1.1998155802217525e-09,3.771467946972473e-12,8.996391443361063e-06,1.9810519802376803e-07,0.9970115423202515,0.002968612825497985,2.655841990772956e-09,9.086397199098428e-07,8.15624571259832e-06,1.4498256177830626e-06
8,22793,768,Fibrocollagenous Tissue,2.560089524195064e-05,False,5.25721410848945e-10,9.685753142184197e-15,2.560089524195064e-05,4.024212429953877e-08,0.9972565770149231,0.0025266248267143965,8.234240511661994e-10,1.308415598089141e-08,0.00018912964151240885,2.069690481221187e-06
9,23049,768,Fibrocollagenous Tissue,2.1507630663109012e-05,False,6.113563877363504e-09,1.0348002463863182e-15,2.1507630663109012e-05,1.1579443182085924e-08,0.9984581470489502,0.0012145324144512415,9.144551227358022e-10,1.5372948469760672e-09,0.0002976013347506523,8.165291546902154e-06
10,23305,768,Fibrocollagenous Tissue,2.8667958758887835e-05,False,5.7087383709131245e-08,2.0084391235634241e-13,2.8667958758887835e-05,1.8391182265986572e-07,0.9972454309463501,0.002513410057872534,4.795597696727327e-09,7.84766740480336e-08,0.00020089923054911196,1.1312900824123062e-05
11,23561,768,Fibrocollagenous Tissue,1.650384729146026e-05,False,3.1255746879566004e-09,1.879854258368674e-11,1.650384729146026e-05,1.5307857665902702e-06,0.9969006776809692,0.003028602572157979,3.295502093436653e-09,2.871214519473142e-06,4.849016113439575e-05,1.2971429441677174e-06
12,23817,768,Fibrocollagenous Tissue,2.5908564566634595e-05,False,2.878947302775714e-09,1.042460423539282e-10,2.5908564566634595e-05,3.7690788303734735e-06,0.9922812581062317,0.007508110720664263,8.697291775661142e-09,5.564624188991729e-06,0.00017450923041906208,9.49141281125776e-07
13,24073,768,Fibrocollagenous Tissue,8.983482257463038e-05,False,1.2505416258079549e-08,2.361864062550012e-05,8.983482257463038e-05,0.00081865512765944,0.9413119554519653,0.05548954755067825,2.2372661589997733e-07,0.0006314166239462793,0.0016343321185559034,2.7293833682051627e-07
14,62744,768,Fibrocollagenous Tissue,4.4177035306347534e-05,False,7.606647756119855e-09,0.000116418392281048,4.4177035306347534e-05,0.0006494006374850869,0.9525856375694275,0.045332662761211395,4.42834107161616e-07,0.0002049807080766186,0.0010656701633706689,5.607127491202846e-07
