patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,79903,1024,Hemorrhage,0.0021151965484023094,False,4.226535565976519e-09,3.087793913891801e-07,0.0021151965484023094,0.00015046259795781225,0.34121936559677124,0.6496111750602722,1.585711470397655e-05,0.0005914423963986337,0.006291331723332405,4.867856659984682e-06
1,80159,1024,Hemorrhage,0.010973095893859863,False,3.7676759490068434e-09,5.1439442982914585e-12,0.010973095893859863,8.532726383236877e-07,0.15700578689575195,0.8195434808731079,3.216808909201063e-05,2.0013480934721883e-06,0.012048915959894657,0.00039375710184685886
2,80415,1024,Hemorrhage,0.09088148176670074,False,1.9316612309694392e-08,8.342785792444293e-15,0.09088148176670074,6.190908408143514e-08,0.1176869124174118,0.7712721228599548,9.339069220004603e-05,7.36033243242673e-08,0.01709039695560932,0.0029755597934126854
3,80671,1024,Hemorrhage,0.13736793398857117,False,2.0114139687166244e-08,1.4032315734151203e-16,0.13736793398857117,2.325689779647533e-10,0.08574290573596954,0.7580967545509338,1.833418536989484e-05,1.1112595288409466e-08,0.01801352947950363,0.0007605533464811742
4,80927,1024,Hemorrhage,0.04736163839697838,False,3.5427183409098006e-10,9.86846571264647e-18,0.04736163839697838,8.911771494368725e-12,0.014703215099871159,0.9312541484832764,7.538396857853513e-07,2.2126436238778524e-09,0.006669382564723492,1.088384487957228e-05
5,81183,1024,Hemorrhage,0.058553166687488556,False,1.1399571564485456e-10,1.5289189543401437e-16,0.058553166687488556,4.068833048265219e-10,0.012163541279733181,0.9264033436775208,2.8743456823576707e-06,2.4148803845491784e-08,0.0028738181572407484,3.2925288451224333e-06
6,79391,1280,Hemorrhage,0.002085868502035737,False,1.1726045023863207e-08,1.0656520316842943e-05,0.002085868502035737,0.0012484485050663352,0.41829416155815125,0.5717915892601013,3.3429845643695444e-05,0.004932777024805546,0.0016026528319343925,4.396432871089928e-07
7,79647,1280,Hemorrhage,0.23755697906017303,False,4.430807942767956e-10,2.6972236157876348e-14,0.23755697906017303,2.309799924660183e-07,0.031084710732102394,0.7294618487358093,0.00015824154252186418,1.4675633792649023e-06,0.0016385233029723167,9.794744255486876e-05
8,79903,1280,Clear Cell Renal Cell Carcinoma,0.7967883944511414,False,7.309891580931094e-11,3.1040298322673212e-22,0.7967883944511414,2.5633594097178303e-13,0.0011786132818087935,0.1947154402732849,7.420186011586338e-05,4.275934328834552e-10,0.0050997319631278515,0.0021436107344925404
9,80159,1280,Clear Cell Renal Cell Carcinoma,0.8460738062858582,False,6.791724127541698e-11,1.0278446216393663e-26,0.8460738062858582,1.6672253725563575e-17,0.0002854771737474948,0.13914555311203003,2.4228054826380685e-05,1.5997971176962e-12,0.0028113399166613817,0.011659606359899044
10,80415,1280,Clear Cell Renal Cell Carcinoma,0.9231442213058472,True,6.208115688188798e-10,2.0277601775972066e-26,0.9231442213058472,1.5183866910751744e-18,6.482958269771188e-05,0.0734441950917244,2.340667742828373e-05,1.2158986924942772e-12,0.0013758500572293997,0.0019475005101412535
11,80671,1280,Clear Cell Renal Cell Carcinoma,0.9176644086837769,True,3.383109070664858e-10,5.622738605942935e-26,0.9176644086837769,5.217112909384732e-18,2.1382440536399372e-05,0.0816233903169632,4.867525603913236e-06,1.995440488192224e-12,0.00032849222770892084,0.00035753686097450554
12,80927,1280,Clear Cell Renal Cell Carcinoma,0.9642096757888794,True,2.2516630487218192e-12,1.1830086313156817e-27,0.9642096757888794,1.7040081918811818e-18,4.465923666430172e-06,0.03569517657160759,3.7174896760916454e-07,3.6912848808395154e-14,8.31665238365531e-05,7.243547315738397e-06
13,81183,1280,Clear Cell Renal Cell Carcinoma,0.986542820930481,True,2.4100675882071654e-12,1.794739207694223e-29,0.986542820930481,3.2218106478746494e-20,5.227566816756735e-06,0.013404651544988155,2.5827949912127224e-07,1.425909768847111e-15,4.380663449410349e-05,3.2205400657403516e-06
14,79135,1537,Fibrocollagenous Tissue,0.01934402622282505,False,1.5356421911860707e-08,2.8312578947975453e-08,0.01934402622282505,0.0004143200349062681,0.6861794590950012,0.28706273436546326,0.00014690769603475928,0.0008486006408929825,0.006002649199217558,1.3027818113187095e-06
15,79391,1537,Clear Cell Renal Cell Carcinoma,0.7998563647270203,False,1.00915498180143e-09,4.812160048913891e-20,0.7998563647270203,2.555616385180315e-09,0.09075768291950226,0.10505659133195877,0.0002708326210267842,3.1629057151150164e-09,0.0034158164635300636,0.0006427841144613922
16,79647,1537,Clear Cell Renal Cell Carcinoma,0.9984582662582397,True,7.1888142140486e-12,1.747925098905268e-27,0.9984582662582397,1.855974124793892e-16,3.141701017739251e-05,0.0012994417920708656,4.250583515386097e-05,1.102711062110455e-13,4.092555900570005e-05,0.00012739359226543456
17,79903,1537,Clear Cell Renal Cell Carcinoma,0.9945753812789917,True,3.1180315274159653e-11,3.936194820295233e-27,0.9945753812789917,6.671171935570766e-18,3.4549724659882486e-05,0.00378945330157876,3.0237088139983825e-05,5.747557377949741e-13,0.00024478393606841564,0.0013255238300189376
18,80159,1537,Clear Cell Renal Cell Carcinoma,0.880125105381012,False,2.1560314644730738e-10,3.36638903287443e-26,0.880125105381012,1.4202263630594918e-16,0.00017156728426925838,0.03963727876543999,1.1194166290806606e-05,3.3269903759042263e-12,0.0006336078513413668,0.07942123711109161
19,80415,1537,Clear Cell Renal Cell Carcinoma,0.9895502924919128,True,9.943092876829596e-11,9.676434412145234e-28,0.9895502924919128,1.5699168379123544e-18,2.710546596063068e-06,0.0036339557264000177,6.987701908656163e-06,1.4017920938608208e-13,7.098841888364404e-05,0.006734998431056738
20,80671,1537,Clear Cell Renal Cell Carcinoma,0.9969719648361206,True,1.0423278559712479e-11,4.483440495459078e-27,0.9969719648361206,1.0417437154261935e-18,2.1662100380126503e-07,0.0027783012483268976,2.872654931707075e-06,4.612242662446753e-13,1.0337835192331113e-05,0.00023625399626325816
21,80927,1537,Clear Cell Renal Cell Carcinoma,0.987125813961029,True,5.871112515425103e-13,1.8559462242918216e-28,0.987125813961029,1.879474292909299e-18,4.518631726568856e-07,0.012822751887142658,9.609283324607532e-07,3.212221680597323e-14,6.074221346352715e-06,4.401066689752042e-05
22,81183,1537,Clear Cell Renal Cell Carcinoma,0.9944177865982056,True,2.5384620620794163e-12,4.560528757461483e-31,0.9944177865982056,5.043280774409743e-20,1.8468148255124106e-06,0.005502080544829369,6.35956439509755e-07,3.683056749850328e-16,7.652703970961738e-06,7.010554691078141e-05
23,81440,1537,Clear Cell Renal Cell Carcinoma,0.9951487183570862,True,4.106413993565372e-12,8.744876870717734e-32,0.9951487183570862,5.042347611281206e-21,4.608542440109886e-06,0.004788597580045462,3.9426188891411584e-07,6.692230630477386e-17,1.2863529263995588e-05,4.486311809159815e-05
24,81696,1537,Clear Cell Renal Cell Carcinoma,0.9308969974517822,True,1.9555233821133555e-10,3.5312805740509865e-30,0.9308969974517822,4.686784348092714e-20,0.000949123699683696,0.0672900527715683,9.713853614812251e-07,1.1970117144667267e-14,0.0008476070361211896,1.5247312148858327e-05
25,81952,1537,Hemorrhage,0.3390046954154968,False,3.8708655836217076e-08,1.2822367397667432e-20,0.3390046954154968,4.1538021394900426e-14,0.2196042239665985,0.42748773097991943,1.6117430277517997e-05,7.104035582017332e-09,0.01387961208820343,7.522814030380687e-06
26,82208,1537,Fibrocollagenous Tissue,0.00458510871976614,False,3.543886180068512e-07,1.3706560366699705e-06,0.00458510871976614,9.614626833354123e-06,0.6991440057754517,0.2835708558559418,2.0289957319619134e-05,0.006262939423322678,0.006405391730368137,1.0359281787941654e-07
27,78879,1793,Hemorrhage,0.003997280728071928,False,1.6838891951920232e-06,1.9216162399970926e-05,0.003997280728071928,0.0018320283852517605,0.40596771240234375,0.5204852819442749,0.00014654836559202522,0.04816345497965813,0.01938573457300663,1.0960631016132538e-06
28,79135,1793,Clear Cell Renal Cell Carcinoma,0.9706442952156067,True,7.804136004097018e-09,3.3409372576619298e-21,0.9706442952156067,2.736960436067193e-09,0.015104856342077255,0.010161424987018108,0.00032858006306923926,3.727321118418558e-09,0.003589106723666191,0.00017167734040413052
29,79391,1793,Clear Cell Renal Cell Carcinoma,0.9992503523826599,True,2.3012171595365727e-12,1.5912778294674577e-28,0.9992503523826599,9.050996815907191e-15,0.0003036776033695787,3.9899379771668464e-05,5.821275772177614e-05,2.7748526607441863e-14,3.070749153266661e-05,0.0003171128628309816
