patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,80159,512,Fibrocollagenous Tissue,0.06542181223630905,False,4.5033857531961985e-07,0.00581785524263978,0.06542181223630905,0.00947992317378521,0.5581315755844116,0.24893304705619812,0.00403925497084856,0.10601310431957245,0.0021559337619692087,7.111319064279087e-06
1,80415,512,Clear Cell Renal Cell Carcinoma,0.961155891418457,True,1.1238290298365428e-08,6.590135104289629e-10,0.961155891418457,1.4859515431453474e-05,0.017347585409879684,0.018023330718278885,0.003100372850894928,0.00019052403513342142,0.00014370869030244648,2.3625112589797936e-05
2,80671,512,Clear Cell Renal Cell Carcinoma,0.98897784948349,True,2.2854039494202283e-10,1.3526191207672775e-14,0.98897784948349,2.2494592855082374e-08,0.005787921603769064,0.00035270469379611313,0.004831425379961729,1.917796623729373e-07,1.409711785527179e-05,3.5734126868192106e-05
3,80927,512,Clear Cell Renal Cell Carcinoma,0.9712302684783936,True,1.0685400342325124e-09,2.5294844953967395e-14,0.9712302684783936,1.3746178639806317e-09,0.01011619996279478,6.528259109472856e-05,0.01850307546555996,2.666229015346744e-08,1.0765274964796845e-05,7.437616295646876e-05
4,81183,512,Clear Cell Renal Cell Carcinoma,0.9509993195533752,True,8.747188751101476e-09,5.732037622330211e-10,0.9509993195533752,1.6389300299124443e-06,0.040915194898843765,0.003952676430344582,0.003944081719964743,1.1975485904258676e-05,0.00014810751599725336,2.7003576178685762e-05
5,81440,512,Fibrocollagenous Tissue,0.013753236271440983,False,6.623071158173843e-08,0.0465741902589798,0.013753236271440983,0.01845744624733925,0.701593279838562,0.15833011269569397,0.0003008988860528916,0.05979442223906517,0.001195772783830762,6.064345825507189e-07
6,80159,768,Clear Cell Renal Cell Carcinoma,0.9886261820793152,True,6.122075069114885e-10,1.759014982283258e-11,0.9886261820793152,6.115076871537894e-07,0.004311814438551664,0.002214528387412429,0.004684220999479294,1.7568559997016564e-05,0.00014145001478027552,3.640444674601895e-06
7,80415,768,Clear Cell Renal Cell Carcinoma,0.9998587369918823,True,2.2750963439566174e-13,2.430611422615398e-20,0.9998587369918823,5.5212926244885274e-12,6.120383204688551e-07,8.049389066400181e-07,0.00013962933735456318,1.297163626512443e-10,2.8464457457744174e-09,2.184538487881582e-07
8,80671,768,Clear Cell Renal Cell Carcinoma,0.9982390403747559,True,7.916820953142445e-13,6.026774127369571e-21,0.9982390403747559,1.3345584403204325e-12,5.998333108436782e-06,2.528689435621345e-07,0.001749205170199275,1.011577280274345e-11,5.934505331595119e-09,5.603563749900786e-06
9,80927,768,Clear Cell Renal Cell Carcinoma,0.982204258441925,True,4.707628818018117e-12,1.433917850354615e-19,0.982204258441925,6.098142281939223e-13,1.5830653865123168e-05,4.2257974541826115e-07,0.01775273121893406,1.9801642964223376e-11,2.1704011032852577e-07,2.6511306714382954e-05
10,81183,768,Clear Cell Renal Cell Carcinoma,0.9990506768226624,True,1.5550638034211861e-12,6.934292556653537e-20,0.9990506768226624,3.0399148909926454e-12,1.5413395885843784e-05,4.6299978748720605e-06,0.0009048409410752356,2.2216814499209647e-10,7.872241525319623e-08,2.431117172818631e-05
11,81440,768,Clear Cell Renal Cell Carcinoma,0.6270490288734436,False,1.1682550038472073e-08,3.5050893298915753e-09,0.6270490288734436,8.455163879261818e-06,0.21123726665973663,0.1565445214509964,0.003532132599502802,0.0011636412236839533,0.0004269343917258084,3.7917925510555506e-05
12,21000,1024,Marker,0.012337160296738148,False,1.133654663476591e-07,0.037719812244176865,0.012337160296738148,0.015858996659517288,0.4099169075489044,0.09830043464899063,0.000655786891002208,0.4218056797981262,0.0034043267369270325,6.957576488275663e-07
13,21256,1024,Clear Cell Renal Cell Carcinoma,0.9434587955474854,True,3.3604972138334688e-09,3.306645268708053e-08,0.9434587955474854,0.0001313574321102351,0.04419524222612381,0.0046403375454247,0.006517956033349037,0.0004924845998175442,0.0005601029843091965,3.7064435218781e-06
14,21512,1024,Clear Cell Renal Cell Carcinoma,0.9929439425468445,True,7.036292382078813e-11,3.539171316039799e-14,0.9929439425468445,2.1018895068891652e-08,0.0014207802014425397,5.489047453011153e-06,0.005623234901577234,7.037333382697852e-09,4.837922460865229e-06,1.651200818741927e-06
15,21768,1024,Clear Cell Renal Cell Carcinoma,0.9923475980758667,True,1.9652712790474425e-10,4.250166367393733e-14,0.9923475980758667,8.896146397319171e-08,0.0009280051453970373,7.056396043481072e-06,0.006707832217216492,7.659071599164236e-09,9.995230811910005e-07,8.411672752117738e-06
