patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,21998,767,Fibrocollagenous Tissue,0.0005347075639292598,False,3.8737298382329755e-06,1.2426230568962637e-06,0.0005347075639292598,3.823190854745917e-05,0.9264453649520874,0.0694255381822586,7.903739174253133e-07,9.82594647211954e-05,0.003436783794313669,1.5158905625867192e-05
1,22254,767,Fibrocollagenous Tissue,0.0006215211469680071,False,2.2583422833122313e-05,1.5582320156415363e-10,0.0006215211469680071,6.392941713784239e-07,0.9608556628227234,0.037863604724407196,1.5163396938078222e-07,1.2837058420700487e-06,0.0005764638772234321,5.819146826979704e-05
2,22510,767,Fibrocollagenous Tissue,0.00032339018071070313,False,2.5858547815005295e-05,3.483081878474792e-10,0.00032339018071070313,2.2891547359904507e-06,0.9194961786270142,0.0798814594745636,1.953812613919581e-07,2.7276369110040832e-06,0.00022129413264337927,4.662846549763344e-05
3,22766,767,Fibrocollagenous Tissue,0.00025784436729736626,False,1.4276467936724657e-06,0.0005099965492263436,0.00025784436729736626,0.0017513553611934185,0.5027577877044678,0.4868023097515106,2.071317112495308e-06,0.006641049403697252,0.001274561625905335,1.5549929912594962e-06
4,23533,767,Hemorrhage,0.00016351055819541216,False,8.381973088944505e-07,0.0671050027012825,0.00016351055819541216,0.03741593286395073,0.3682199716567993,0.3915681838989258,1.224719835590804e-05,0.13181598484516144,0.003697838168591261,4.632361481071712e-07
5,23789,767,Hemorrhage,0.00014553790970239788,False,1.2792089592039702e-06,0.03713573142886162,0.00014553790970239788,0.04906478151679039,0.35796812176704407,0.3593994975090027,1.1139411071781069e-05,0.19463104009628296,0.0016421475447714329,7.047410690574907e-07
6,24045,767,Hemorrhage,0.00011584585445234552,False,1.4419105127672083e-06,0.00742169376462698,0.00011584585445234552,0.04778197407722473,0.33043017983436584,0.4355449676513672,1.2384390174702276e-05,0.17751286923885345,0.001176974968984723,1.6568912997172447e-06
7,24301,767,Marker,7.292646478163078e-05,False,4.257748287272989e-07,0.154095858335495,7.292646478163078e-05,0.08628704398870468,0.17659983038902283,0.22403888404369354,1.062869887391571e-05,0.3572823107242584,0.0016114298487082124,6.981963451835327e-07
8,24812,767,Blank space,6.815608685428742e-06,False,2.2510757702320916e-08,0.9015066623687744,6.815608685428742e-06,0.00741955591365695,0.012366275303065777,0.024174798280000687,8.3488311020119e-07,0.05443992465734482,8.503460412612185e-05,3.78975251180691e-09
9,26603,767,Hemorrhage,0.00036916465614922345,False,2.2948868718231097e-05,2.9378537380608805e-09,0.00036916465614922345,0.0006061461172066629,0.26719027757644653,0.7312093377113342,7.055325568217086e-07,0.00011509406613186002,0.0004676419775933027,1.8733162505668588e-05
10,26858,767,Fibrocollagenous Tissue,0.0011022989638149738,False,0.0008729888359084725,6.915071631661293e-16,0.0011022989638149738,2.2698714019497856e-06,0.5013736486434937,0.4926670491695404,7.688937131433704e-08,5.6446499030471387e-08,1.8458582417224534e-05,0.003963129129260778
11,27114,767,Fibrocollagenous Tissue,0.002261393703520298,False,0.0001846828672569245,4.382641219201474e-15,0.002261393703520298,1.0132547686225735e-05,0.7699756026268005,0.21816682815551758,4.2519326370893396e-07,1.7611657767702127e-06,6.633414886891842e-05,0.009332788176834583
