patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,24825,768,Fibrocollagenous Tissue,0.029605930671095848,False,2.074890304015753e-08,7.453100806742441e-06,0.029605930671095848,0.002987741259858012,0.7253205180168152,0.21708357334136963,0.004115316551178694,0.006723174825310707,0.014150639064610004,5.653567768604262e-06
1,25081,768,Fibrocollagenous Tissue,0.09207021445035934,False,4.3913378489079946e-10,8.790309813377917e-09,0.09207021445035934,4.512182204052806e-05,0.6259618401527405,0.2590649127960205,0.01066093984991312,0.0006532859406434,0.011501955799758434,4.1770163079490885e-05
2,25337,768,Fibrocollagenous Tissue,0.26546263694763184,False,1.6488815521298328e-11,1.780115499450119e-09,0.26546263694763184,7.994859515747521e-06,0.6411055326461792,0.04001824930310249,0.02780621126294136,0.0008175256079994142,0.024722253903746605,5.9586192946881056e-05
3,25593,768,Fibrocollagenous Tissue,0.02273477055132389,False,3.1170563907778615e-09,3.973668935941532e-05,0.02273477055132389,0.02485664188861847,0.726356565952301,0.19908347725868225,0.0013788932701572776,0.007917770184576511,0.017626797780394554,5.359876467991853e-06
4,26105,768,Fibrocollagenous Tissue,0.0051808725111186504,False,3.083583610674623e-09,0.004477351438254118,0.0051808725111186504,0.21926425397396088,0.565738320350647,0.19024626910686493,0.00047768387594260275,0.0052270242013037205,0.009387299418449402,1.0088615454151295e-06
5,26361,768,Fibrocollagenous Tissue,0.025137612596154213,False,4.900894801096456e-09,1.242947178070608e-06,0.025137612596154213,0.009089686907827854,0.9364292621612549,0.01828695274889469,0.006963630672544241,0.0011173844104632735,0.002964599756523967,9.734735613164958e-06
6,23546,1024,Fibrocollagenous Tissue,0.1470871865749359,False,6.472223867959315e-10,3.85775274480693e-06,0.1470871865749359,0.004057519603520632,0.7571378350257874,0.07716628164052963,0.005752298515290022,0.003951929043978453,0.004836244974285364,6.794376531615853e-06
7,23802,1024,Clear Cell Renal Cell Carcinoma,0.5899770259857178,False,6.076068120863809e-11,2.211665572904309e-10,0.5899770259857178,2.019405656028539e-05,0.37431976199150085,0.03206849843263626,0.003164995461702347,7.66777156968601e-05,0.0003527677326928824,2.004898306040559e-05
8,24057,1024,Fibrocollagenous Tissue,0.3579476475715637,False,3.1659011523466063e-10,4.014146870803814e-13,0.3579476475715637,7.095392362543862e-08,0.6362305283546448,0.0045013148337602615,0.0005842183600179851,2.1735529571742518e-06,0.0005983684677630663,0.00013566651614382863
9,24313,1024,Clear Cell Renal Cell Carcinoma,0.7611945867538452,False,4.053657434136167e-14,5.1805279516624306e-17,0.7611945867538452,5.6539488368922974e-11,0.23666949570178986,0.0005988009506836534,0.0013616238720715046,6.890687131999584e-08,0.00010518146882532164,7.01832614140585e-05
10,24569,1024,Clear Cell Renal Cell Carcinoma,0.9926922917366028,True,3.018295181389345e-14,5.151541591369315e-20,0.9926922917366028,3.711439489073598e-11,0.006445479579269886,0.0005678156157955527,0.0002858785737771541,6.119590167941169e-09,6.249934358493192e-06,2.345127313674311e-06
11,24825,1024,Clear Cell Renal Cell Carcinoma,0.9650208950042725,True,4.3220743824179397e-13,1.0563456698233021e-20,0.9650208950042725,3.975513928472507e-12,0.03194160759449005,0.0017934805946424603,0.0012101931497454643,1.2190490394914377e-08,8.282714588858653e-06,2.5525283490424044e-05
12,25081,1024,Clear Cell Renal Cell Carcinoma,0.962867796421051,True,5.72084485564602e-15,1.625184731209913e-22,0.962867796421051,1.6675376696335432e-14,0.0339752733707428,0.0020783140789717436,0.0009319274686276913,3.886902799621339e-09,2.5963111056626076e-06,0.0001441084750695154
13,25337,1024,Clear Cell Renal Cell Carcinoma,0.9879633188247681,True,3.4101724333377055e-15,5.240716265825863e-22,0.9879633188247681,1.130327775144711e-14,0.010229384526610374,0.00014503448619507253,0.0015344714047387242,1.516652581301514e-08,2.7756379950005794e-06,0.0001250449422514066
14,25593,1024,Clear Cell Renal Cell Carcinoma,0.6627349257469177,False,1.7234129054410907e-11,7.565870338442822e-16,0.6627349257469177,4.5852087282582943e-07,0.32475361227989197,0.0036320367362350225,0.007783141918480396,7.800428647897206e-06,0.0003006476035807282,0.0007873077411204576
15,26105,1024,Fibrocollagenous Tissue,0.08943596482276917,False,2.739062310297413e-10,8.752289257923929e-13,0.08943596482276917,0.0006376400124281645,0.8823612928390503,0.004501819610595703,0.020335759967565536,9.016061994771007e-06,0.002494468353688717,0.00022402188915293664
16,26361,1024,Clear Cell Renal Cell Carcinoma,0.6331354379653931,False,4.0270705606998414e-13,2.2401901804556577e-19,0.6331354379653931,2.0273926981673185e-09,0.011716860346496105,5.2932988182874396e-05,0.354974627494812,3.9150562791689936e-09,1.2394268196658231e-05,0.00010763567115645856
17,26617,1024,Clear Cell Renal Cell Carcinoma,0.8214260935783386,False,5.7944240666751596e-15,4.8277476213225995e-19,0.8214260935783386,8.610481078141774e-11,0.0006231169681996107,2.515353298804257e-05,0.17791984975337982,1.6942967029365263e-09,4.4662070308731927e-07,5.301398687151959e-06
18,26873,1024,Clear Cell Renal Cell Carcinoma,0.9806298613548279,True,9.693461142004211e-15,2.2077519899862865e-15,0.9806298613548279,7.285228065256888e-08,0.002262469381093979,0.0002664687635842711,0.016812577843666077,1.0521427640242109e-07,2.2721735149389133e-05,5.716028226743219e-06
19,27129,1024,Fibrocollagenous Tissue,0.1497442126274109,False,9.706924847252552e-11,1.1076024748035707e-05,0.1497442126274109,0.019317626953125,0.6391502022743225,0.16227558255195618,0.003447677241638303,0.006485111080110073,0.01956573687493801,2.8141087113908725e-06
20,23034,1280,Fibrocollagenous Tissue,0.2810130715370178,False,7.739133119077923e-12,1.0066666944474889e-10,0.2810130715370178,1.224584707415488e-06,0.6780709028244019,0.036467164754867554,0.004095767624676228,5.287820749799721e-05,0.0002049001050181687,9.403089643456042e-05
21,23290,1280,Clear Cell Renal Cell Carcinoma,0.5057112574577332,False,2.498638232081851e-13,7.407933633888969e-16,0.5057112574577332,2.200909177130228e-10,0.4904182255268097,0.0014963842695578933,0.0017725464422255754,1.3486762782122241e-06,3.850184293696657e-05,0.0005617481074295938
22,23546,1280,Clear Cell Renal Cell Carcinoma,0.9899401068687439,True,6.4042280728754744e-15,7.958378990380838e-21,0.9899401068687439,1.5976252981143857e-13,0.009666678495705128,1.6339097783202305e-05,0.0003126995579805225,7.094577814115155e-09,1.72087126770748e-07,6.399540870916098e-05
23,23802,1280,Clear Cell Renal Cell Carcinoma,0.9986912608146667,True,1.2093895128040722e-15,5.338394111738378e-24,0.9986912608146667,2.8894121304427886e-15,0.0012467476772144437,3.963374638260575e-06,4.088001878699288e-05,1.4750788090989175e-10,7.386209421866852e-09,1.7258920706808567e-05
24,24057,1280,Clear Cell Renal Cell Carcinoma,0.9970178604125977,True,4.5147563361165165e-15,4.241072420927393e-24,0.9970178604125977,6.211133254142582e-16,0.0029159868136048317,1.2607090411620447e-06,1.6864272765815258e-05,6.496762849916848e-11,1.455799214511444e-08,4.807264485862106e-05
25,24569,1280,Clear Cell Renal Cell Carcinoma,0.9998255372047424,True,3.676365458400718e-19,5.38858804923862e-26,0.9998255372047424,3.1135293323455225e-18,0.00014286261284723878,2.754921661107801e-05,3.947170625906438e-06,3.5048882199295583e-12,2.73902744929444e-09,8.740751411551173e-08
26,25337,1280,Clear Cell Renal Cell Carcinoma,0.9997615218162537,True,2.506898404209851e-15,1.6977852569253038e-24,0.9997615218162537,3.62359080178834e-16,0.0001745313493302092,5.930189581704326e-05,1.312035124101385e-06,3.4997092029920296e-11,4.529593089497297e-10,3.4333236271777423e-06
27,25593,1280,Clear Cell Renal Cell Carcinoma,0.9952050447463989,True,4.811086154032224e-15,6.875685517784448e-20,0.9952050447463989,1.7219387807992925e-12,0.004004233982414007,0.00045796192716807127,0.00029191593057475984,1.0044887233107147e-07,1.0240173509146189e-07,4.060745413880795e-05
28,25849,1280,Clear Cell Renal Cell Carcinoma,0.7152957320213318,False,4.244928627356037e-12,5.0634345484914037e-14,0.7152957320213318,5.203449836699292e-05,0.07218707352876663,0.003155902959406376,0.2088722437620163,9.139670510194264e-06,0.0003161175991408527,0.00011179928696947172
29,26105,1280,Clear Cell Renal Cell Carcinoma,0.6871743202209473,False,1.8429726061225393e-12,4.196750468624539e-17,0.6871743202209473,1.5297833670047112e-05,0.012545544654130936,5.4842188546899706e-05,0.29999732971191406,2.0969646641333384e-07,0.00013091240543872118,8.154802344506606e-05
30,26361,1280,Clear Cell Renal Cell Carcinoma,0.9128215312957764,True,5.924729074181919e-15,9.012342042786174e-23,0.9128215312957764,8.133738127469314e-10,0.0006710082525387406,1.2459970093914308e-05,0.0864783227443695,2.225702400160401e-10,6.494712465610064e-07,1.609852370165754e-05
31,26617,1280,Clear Cell Renal Cell Carcinoma,0.69172602891922,False,1.348853805206848e-14,3.6681865485353866e-22,0.69172602891922,9.987413673862022e-12,0.00013299446436576545,8.839377187541686e-06,0.3081071376800537,4.064575898077294e-10,3.3749955719031277e-07,2.4626031517982483e-05
32,26873,1280,Clear Cell Renal Cell Carcinoma,0.8909861445426941,False,3.663399232726924e-16,4.119971543467657e-23,0.8909861445426941,2.930072634174663e-13,6.24190506641753e-05,6.233241037989501e-06,0.10890692472457886,3.485291499849552e-10,5.089932074042736e-06,3.316499351058155e-05
33,27129,1280,Clear Cell Renal Cell Carcinoma,0.9404368996620178,True,3.3917265968453486e-14,1.9508179920847322e-16,0.9404368996620178,1.170065388578223e-06,0.022196345031261444,0.0030393595807254314,0.03383973613381386,1.4995853234722745e-06,0.0004579578817356378,2.7117506760987453e-05
34,27385,1280,Fibrocollagenous Tissue,0.16925236582756042,False,2.9765293008132687e-10,5.895796739707748e-09,0.16925236582756042,0.0006714145420119166,0.7064467072486877,0.008566485717892647,0.10046326369047165,0.004956844728440046,0.00954892486333847,9.397614485351369e-05
35,27640,1280,Clear Cell Renal Cell Carcinoma,0.8099768757820129,False,3.2429994245575244e-09,9.23162804880584e-13,0.8099768757820129,2.5887253286782652e-05,0.07335285097360611,0.0010755873518064618,0.09199219197034836,3.794594158534892e-05,0.022821273654699326,0.000717462447937578
36,27896,1280,Clear Cell Renal Cell Carcinoma,0.9409102201461792,True,1.1516052111915087e-08,7.70938895404763e-14,0.9409102201461792,2.070583605018328e-06,0.044137969613075256,0.00341815990395844,0.003803457599133253,9.928494364430662e-06,0.006817461457103491,0.0009007665794342756
37,28152,1280,Clear Cell Renal Cell Carcinoma,0.9528863430023193,True,4.4103192209377085e-09,1.8051806929689565e-14,0.9528863430023193,3.084567197220167e-06,0.04477280378341675,0.0006681544473394752,0.0013959347270429134,3.193213842678233e-06,9.570500697009265e-05,0.00017476355424150825
38,28408,1280,Clear Cell Renal Cell Carcinoma,0.9786085486412048,True,4.060969782671009e-09,2.4811246739325603e-16,0.9786085486412048,2.0157302060397342e-05,0.019861936569213867,0.00013132633466739208,0.0013071639696136117,5.450324920275307e-07,2.6831827199202962e-05,4.351025927462615e-05
39,28664,1280,Clear Cell Renal Cell Carcinoma,0.9129759073257446,True,6.281914571859559e-11,1.0580384224995187e-12,0.9129759073257446,3.408464908716269e-05,0.07651875168085098,0.004051010124385357,0.006118975579738617,7.487268248951295e-06,0.0002842920075636357,9.513180884823669e-06
40,28920,1280,Clear Cell Renal Cell Carcinoma,0.8029180765151978,False,9.071963557975848e-13,1.978997632434698e-09,0.8029180765151978,0.00012924405746161938,0.16477739810943604,0.025068312883377075,0.006149696186184883,9.455093822907656e-05,0.00086203683167696,6.45277737021388e-07
41,29176,1280,Fibrocollagenous Tissue,0.19155633449554443,False,1.3393715025955544e-09,3.733973790076561e-05,0.19155633449554443,0.2215830534696579,0.5115569233894348,0.05260065943002701,0.0036183081101626158,0.010520979762077332,0.008524997159838676,1.3854474900654168e-06
42,22522,1536,Fibrocollagenous Tissue,0.01682664081454277,False,2.511139629568504e-10,2.614532812472703e-09,0.01682664081454277,1.8121691027772613e-05,0.9758962392807007,0.005886551924049854,0.0007788283983245492,0.00029640880529768765,0.0002788228739518672,1.8341337636229582e-05
43,22778,1536,Clear Cell Renal Cell Carcinoma,0.5567486882209778,False,9.181349257258997e-13,7.997352892241103e-17,0.5567486882209778,3.928449232581954e-11,0.4406244456768036,0.0009398149559274316,0.000875036115758121,8.64927301336138e-07,5.212211362959351e-06,0.0008059757528826594
44,23034,1536,Clear Cell Renal Cell Carcinoma,0.9872788190841675,True,2.7235200924483234e-16,3.159930346168582e-23,0.9872788190841675,1.801441217207374e-17,0.012443139217793941,1.3662679521075916e-05,1.61587267939467e-05,8.785069893768593e-10,2.579073177244595e-09,0.00024819333339110017
45,23290,1536,Clear Cell Renal Cell Carcinoma,0.9848396182060242,True,1.8490608470191944e-17,3.5940199919281693e-23,0.9848396182060242,2.565714961310655e-19,0.014986866153776646,7.181336059147725e-06,6.931692951184232e-06,3.317075225606203e-10,4.678899045984508e-09,0.00015939124568831176
46,23546,1536,Clear Cell Renal Cell Carcinoma,0.9959405660629272,True,1.1540458292509094e-17,2.7956249138066563e-23,0.9959405660629272,3.078327317209833e-19,0.003960992209613323,1.3827975635649636e-06,6.825767400187033e-07,1.4181418539482848e-10,2.2942174202067456e-11,9.635547030484304e-05
47,23802,1536,Clear Cell Renal Cell Carcinoma,0.9960397481918335,True,1.2986780284835612e-17,2.5208728646715922e-23,0.9960397481918335,3.3733992887173257e-18,0.0038754933048039675,9.673317435954232e-07,1.7638941471886938e-06,5.788617918334182e-10,1.9189982936040906e-11,8.204442565329373e-05
48,24057,1536,Clear Cell Renal Cell Carcinoma,0.9979598522186279,True,1.4329940612503703e-16,2.349188579221945e-25,0.9979598522186279,8.263524496634972e-19,0.002022320171818137,7.594205726491055e-07,2.634082193253562e-06,1.0798385623178586e-11,3.953384286603523e-10,1.4494487004412804e-05
49,24313,1536,Clear Cell Renal Cell Carcinoma,0.9992617964744568,True,3.237810440054757e-16,4.13302655542996e-26,0.9992617964744568,8.48801885918942e-20,0.0007278521079570055,6.564291652466636e-06,3.1137728910834994e-06,4.751233260991139e-12,1.4463218178661919e-08,7.491843234674889e-07
50,24569,1536,Clear Cell Renal Cell Carcinoma,0.9998142123222351,True,2.4180116782780197e-18,7.854449526121302e-26,0.9998142123222351,2.340230179219645e-19,0.00017004343681037426,1.1274111784587149e-05,4.3719833229260985e-06,1.0575684425417897e-11,1.094233770260189e-08,8.394235351261159e-08
51,24825,1536,Clear Cell Renal Cell Carcinoma,0.9990867376327515,True,5.32202288644224e-16,3.1258516733921703e-24,0.9990867376327515,5.155765883126627e-15,0.000774890067987144,0.00012054193211952224,1.6490583220729604e-05,1.1703562381379373e-12,1.553027395573281e-08,1.4618284467360354e-06
52,25081,1536,Clear Cell Renal Cell Carcinoma,0.9999103546142578,True,4.2877800512626865e-14,6.637523481221972e-25,0.9999103546142578,3.5364980800582646e-13,6.509283412015066e-05,1.836137926147785e-05,1.3592670029538567e-06,3.1015951119277643e-14,1.3575484070216248e-09,4.8360316213802435e-06
53,25593,1536,Clear Cell Renal Cell Carcinoma,0.9977452158927917,True,7.575914895419089e-11,1.7210765723671805e-24,0.9977452158927917,4.594169063053396e-17,0.001997843850404024,0.00010520745854591951,4.59211833003792e-06,6.098912347374252e-11,1.2048422703969663e-08,0.00014704612840432674
54,25849,1536,Clear Cell Renal Cell Carcinoma,0.9907426238059998,True,3.5659890595951538e-09,2.48490957952678e-22,0.9907426238059998,2.0387840450174916e-13,0.0023912738543003798,0.0001940597576322034,0.006603822577744722,4.662132346844317e-10,1.2030481229885481e-05,5.618066279566847e-05
55,26105,1536,Clear Cell Renal Cell Carcinoma,0.9765459895133972,True,3.472575688372864e-13,3.351895901513397e-18,0.9765459895133972,3.117378355455003e-07,0.00222391402348876,0.00012150261318311095,0.021096650511026382,1.0164957586766832e-07,1.9656738459161716e-06,9.58610326051712e-06
56,26361,1536,Clear Cell Renal Cell Carcinoma,0.9743468761444092,True,8.884683353610479e-13,7.81843422205425e-18,0.9743468761444092,0.002573769772425294,0.0093070138245821,0.00023967932793311775,0.013513565994799137,1.719381259590591e-07,9.394811968377326e-06,9.569314897817094e-06
57,26617,1536,Clear Cell Renal Cell Carcinoma,0.7936438918113708,False,1.017070108688678e-12,2.1334869833636142e-19,0.7936438918113708,1.9167943676734467e-08,0.0007468727417290211,7.75576991145499e-05,0.2055123746395111,1.995341669669415e-08,4.278585038264282e-06,1.506425269326428e-05
58,26873,1536,Inflammation,0.3098466694355011,False,3.859672997874597e-12,8.432711495482594e-20,0.3098466694355011,2.089944883820749e-11,0.0006411907961592078,1.6598438378423452e-05,0.6893812417984009,1.503493862742289e-08,3.0821716791251674e-05,8.351143333129585e-05
59,27129,1536,Inflammation,0.30952420830726624,False,5.241042409093177e-12,1.3276259171233751e-18,0.30952420830726624,3.597279274458742e-08,0.009452291764318943,5.445975693874061e-05,0.6808801889419556,1.0724886578827864e-07,3.613548324210569e-05,5.2498253353405744e-05
60,27385,1536,Clear Cell Renal Cell Carcinoma,0.5096865892410278,False,1.536254847292473e-13,7.441732862375151e-18,0.5096865892410278,4.880722909161861e-11,0.0027176723815500736,2.8042904887115583e-05,0.48747193813323975,8.441091949862312e-07,1.0067702760352404e-06,9.391177445650101e-05
61,27640,1536,Clear Cell Renal Cell Carcinoma,0.9889919757843018,True,1.0208931681791877e-13,9.32651997156899e-22,0.9889919757843018,2.2015201144834524e-14,0.00012670477735809982,4.343023192632245e-06,0.010339431464672089,1.5843035328089172e-08,1.9577332750486676e-06,0.000535620201844722
62,28152,1536,Clear Cell Renal Cell Carcinoma,0.9712718725204468,True,2.5774551382085065e-09,6.449486207917574e-17,0.9712718725204468,5.761177703789144e-07,0.026478484272956848,0.000305040244711563,0.0007015086011961102,2.391473401530675e-07,3.417157131480053e-05,0.0012080124579370022
63,28408,1536,Clear Cell Renal Cell Carcinoma,0.9683892726898193,True,4.9402888890881513e-08,1.434885889485728e-17,0.9683892726898193,5.559026249102317e-06,0.03073132038116455,0.00039963412564247847,0.00029420165810734034,3.72079369981293e-07,4.136848292546347e-05,0.000138107207021676
64,28664,1536,Clear Cell Renal Cell Carcinoma,0.99774169921875,True,1.5428992718863332e-12,2.0639998052530678e-21,0.99774169921875,3.9870018397891727e-10,0.0016127323033288121,7.620939868502319e-05,0.0005547554465010762,1.134849103578972e-09,1.2944351510668639e-05,1.646089913265314e-06
65,28920,1536,Clear Cell Renal Cell Carcinoma,0.9988993406295776,True,3.5426587227372125e-17,1.4537492623505339e-24,0.9988993406295776,2.2090009942771216e-12,7.256405660882592e-05,3.099018613283988e-06,0.0010242803255096078,4.085775554690807e-12,3.7269398944772547e-07,2.1850458153949148e-07
66,29176,1536,Clear Cell Renal Cell Carcinoma,0.9955990314483643,True,4.7507364117930703e-14,5.476376387271169e-20,0.9955990314483643,2.149746052282353e-07,0.0004715692193713039,4.767112841363996e-06,0.003912887070327997,2.5329884856262197e-09,9.974725799111184e-06,1.5999593188098515e-06
67,29432,1536,Fibrocollagenous Tissue,0.32556360960006714,False,3.918120050627749e-09,3.031038198209046e-10,0.32556360960006714,0.0060492511838674545,0.6464449763298035,0.0047703152522444725,0.012039238587021828,0.0003324839344713837,0.00476790452376008,3.2256575650535524e-05
68,29688,1536,Fibrocollagenous Tissue,0.007021804805845022,False,7.631402176855318e-09,2.114439212164143e-06,0.007021804805845022,0.05099736899137497,0.9098749756813049,0.02281118929386139,0.00041190171032212675,0.0018684996757656336,0.0070108044892549515,1.3819225159750204e-06
69,29944,1536,Cyst Content,0.002898379461839795,False,4.359833738476482e-08,0.0018044851021841168,0.002898379461839795,0.5003198385238647,0.40165311098098755,0.0654153898358345,0.00019519352645147592,0.020738685503602028,0.00697453785687685,3.587185517517355e-07
70,34039,1536,Hemorrhage,0.003809169167652726,False,1.566564322708075e-09,1.954822801053524e-05,0.003809169167652726,0.0015369474422186613,0.4381096065044403,0.546581506729126,5.949210390099324e-05,0.0014090478653088212,0.008474577218294144,1.1892509377275928e-07
71,34295,1536,Hemorrhage,0.029681498184800148,False,7.122562983852276e-09,3.427610863582231e-05,0.029681498184800148,0.019618652760982513,0.46419891715049744,0.46663546562194824,0.0007094604079611599,0.005296888295561075,0.013823941349983215,8.938528708313243e-07
72,21754,1792,Fibrocollagenous Tissue,0.09301497787237167,False,1.8247400812576586e-10,1.0783926882140804e-05,0.09301497787237167,3.5185359593015164e-05,0.688385009765625,0.21183811128139496,0.0020170011557638645,0.004473429638892412,0.0002240781905129552,1.3647515970660606e-06
73,22010,1792,Clear Cell Renal Cell Carcinoma,0.8982568383216858,False,3.4380433748407505e-14,6.924982658297997e-15,0.8982568383216858,8.882819479971715e-11,0.0970332995057106,0.002355298725888133,0.0023410581052303314,1.142522137342894e-06,4.735078391604475e-07,1.1866870408994146e-05
74,22266,1792,Clear Cell Renal Cell Carcinoma,0.7763721346855164,False,2.554957317219518e-14,1.8010447495397775e-18,0.7763721346855164,2.653653772416442e-12,0.2224731743335724,0.00034610179136507213,0.0006128604873083532,1.8328312023641047e-07,1.1594996607300345e-07,0.00019541906658560038
75,22522,1792,Clear Cell Renal Cell Carcinoma,0.7178770899772644,False,2.5439014620271287e-15,1.1836445332569223e-19,0.7178770899772644,7.740908744080857e-14,0.28153467178344727,0.00014915596693754196,0.0002622203901410103,1.734472121484032e-08,2.7917019806977805e-08,0.00017679970187600702
76,22778,1792,Clear Cell Renal Cell Carcinoma,0.9926390647888184,True,6.351316598935419e-19,3.8949347707570693e-23,0.9926390647888184,6.424811079372872e-19,0.007312974892556667,2.533912265789695e-06,5.508718004421098e-06,5.172735573211185e-10,1.0890266119445435e-11,3.9863716665422544e-05
77,23034,1792,Clear Cell Renal Cell Carcinoma,0.9954908490180969,True,2.6407527798253735e-20,7.225407772734024e-25,0.9954908490180969,5.6208574560822636e-21,0.004489738028496504,7.415148957079509e-07,4.590216065025743e-07,1.0897296259804179e-10,2.2900069427539416e-12,1.818677810661029e-05
78,23290,1792,Clear Cell Renal Cell Carcinoma,0.9827789664268494,True,5.0442840255855565e-17,8.36491340602125e-25,0.9827789664268494,7.219114590686413e-21,0.017144350335001945,8.205407539207954e-06,1.533398290121113e-06,1.0284459048270911e-11,2.192109271881293e-10,6.706597923766822e-05
