patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,15100,3071,Fibrocollagenous Tissue,0.0046992055140435696,False,4.2033793761220295e-06,2.9233162422315218e-05,0.0046992055140435696,0.00018022100266534835,0.7068077921867371,0.27776777744293213,0.0013067155377939343,0.006981408689171076,0.0022190818563103676,4.396961230668239e-06
1,15356,3071,Fibrocollagenous Tissue,0.014749033376574516,False,1.082543974462169e-07,5.7346770561406135e-12,0.014749033376574516,5.6331703746081985e-09,0.5358116626739502,0.44760796427726746,0.0014281674521043897,5.030561283092538e-07,0.0003388785116840154,6.377670797519386e-05
2,15612,3071,Fibrocollagenous Tissue,0.03612644597887993,False,3.077407884077843e-09,3.0567757526578365e-12,0.03612644597887993,8.366596859765707e-10,0.6734587550163269,0.28404921293258667,0.002199264708906412,4.0632727404954494e-08,0.0036976966075599194,0.0004685247549787164
3,15868,3071,Fibrocollagenous Tissue,0.04320722073316574,False,2.7718147066480014e-07,7.216694797307355e-09,0.04320722073316574,2.1261698748276103e-06,0.8458345532417297,0.1022634506225586,0.004481809679418802,1.3277921425469685e-05,0.003799442434683442,0.00039790559094399214
4,16380,3071,Cyst Content,0.0002692035341169685,False,2.266450422894195e-07,0.05288424715399742,0.0002692035341169685,0.48060867190361023,0.14669209718704224,0.21957311034202576,7.493552857340546e-06,0.09916969388723373,0.0007952312007546425,5.8228639687740724e-08
5,14588,3327,Blank space,8.175916264008265e-06,False,8.732316536530504e-10,0.9413049817085266,8.175916264008265e-06,0.0016958239721134305,0.004689799156039953,0.007776379119604826,8.350043003702012e-07,0.04441286250948906,0.000111091198050417,4.872202086225741e-10
6,14844,3327,Fibrocollagenous Tissue,0.010969281196594238,False,5.276772867546242e-07,3.0113437787804287e-07,0.010969281196594238,2.249693170597311e-05,0.7362672090530396,0.24140408635139465,0.0013575853081420064,0.002180481795221567,0.0077847084030508995,1.3319054232852068e-05
7,15100,3327,Fibrocollagenous Tissue,0.02385321818292141,False,5.114278565088171e-07,3.1801848695940256e-17,0.02385321818292141,2.83150174314184e-12,0.8198395371437073,0.15093262493610382,0.0040988614782691,1.8365536647024783e-08,0.0006041457527317107,0.0006710916059091687
8,15356,3327,Fibrocollagenous Tissue,0.04234221577644348,False,3.7466710289812966e-10,2.6302200301878976e-22,0.04234221577644348,3.6722706455348815e-17,0.525753915309906,0.42802804708480835,0.0008298144675791264,1.2308060386850839e-12,0.00018847156025003642,0.002857473911717534
9,15612,3327,Fibrocollagenous Tissue,0.16904789209365845,False,1.834407278855643e-11,3.2316712501555536e-23,0.16904789209365845,1.2256297913070646e-18,0.5202336311340332,0.005760581232607365,0.0017943009734153748,4.403916399847545e-14,0.0019525120733305812,0.30121105909347534
10,15868,3327,Renal Parenchyma,0.33612528443336487,False,1.8341978602620657e-07,1.5090830861876158e-21,0.33612528443336487,4.867417127277305e-16,0.2390667200088501,1.7159738490590826e-05,0.03731958568096161,4.80976543315581e-12,0.0013279380509629846,0.38614314794540405
11,16124,3327,Fibrocollagenous Tissue,0.12438434362411499,False,0.00011253666161792353,1.1912092211406795e-15,0.12438434362411499,1.1033663440684904e-06,0.8613572120666504,0.008864281699061394,0.003716842271387577,1.3149606274964754e-06,0.00044231972424313426,0.0011200784938409925
12,16380,3327,Hemorrhage,0.002563619986176491,False,3.349609585256985e-07,4.225377736588598e-08,0.002563619986176491,0.03539418801665306,0.2622019350528717,0.6977905631065369,8.166443149093539e-05,0.001838088734075427,0.00012488718493841588,4.687561158789322e-06
13,13309,3583,Fibrocollagenous Tissue,0.001290226704441011,False,5.324400831341336e-08,0.021635130047798157,0.001290226704441011,0.00016040692571550608,0.5171384215354919,0.026862002909183502,0.0003090552054345608,0.4312765598297119,0.0013279387494549155,2.3186002806596662e-07
14,14844,3583,Hemorrhage,0.002803262323141098,False,3.3356391782035644e-07,1.2622356493352527e-09,0.002803262323141098,1.611868754025636e-07,0.36381927132606506,0.632826030254364,0.00042153464164584875,4.436062590684742e-05,7.680282578803599e-05,8.31276884127874e-06
15,15100,3583,Fibrocollagenous Tissue,0.01016366295516491,False,1.585993487651649e-07,1.0861107625019998e-22,0.01016366295516491,3.195946366032305e-16,0.6587768793106079,0.33045241236686707,7.841288606869057e-05,3.663914310836347e-11,1.6348462850146461e-06,0.0005267568631097674
16,15356,3583,Fibrocollagenous Tissue,0.07056061178445816,False,1.5457953850273043e-07,6.959157849498683e-25,0.07056061178445816,6.082493136215765e-18,0.8772040009498596,0.04843902215361595,4.084889587829821e-05,8.275707051065562e-13,3.055811930607888e-06,0.0037522714119404554
17,15612,3583,Fibrocollagenous Tissue,0.2996613383293152,False,4.273022113920888e-08,1.7487257526647243e-24,0.2996613383293152,6.179554095702431e-18,0.3502707779407501,0.0005062580457888544,0.00016650493489578366,3.1261410560895486e-12,6.575146835530177e-05,0.3493293523788452
18,15868,3583,Renal Parenchyma,0.3019155263900757,False,1.730584671122415e-07,1.5516632734965493e-22,0.3019155263900757,1.3007614482923985e-17,0.19705933332443237,4.290173819754273e-06,0.026125207543373108,1.2916377169214233e-11,0.001034613000229001,0.4738609194755554
19,16124,3583,Fibrocollagenous Tissue,0.17224517464637756,False,6.0972281062277034e-05,1.1772386832251407e-16,0.17224517464637756,2.1076869416436494e-10,0.5851258039474487,0.000231428217375651,0.22768022119998932,3.472886476174608e-07,0.0003734561614692211,0.014282566495239735
20,16380,3583,Fibrocollagenous Tissue,0.056632403284311295,False,3.3806427102156533e-10,7.906245763736634e-16,0.056632403284311295,3.449537766542221e-09,0.8297788500785828,0.10905423015356064,0.0008715364383533597,1.9224673053486185e-07,7.377225301752333e-06,0.003655343549326062
21,16636,3583,Fibrocollagenous Tissue,0.00481938011944294,False,4.206937749551276e-12,1.5445674961256373e-08,0.00481938011944294,3.041877505438606e-07,0.594365119934082,0.4006458818912506,8.101337152766064e-05,2.4225901142926887e-06,1.7206666598212905e-05,6.869342178106308e-05
22,19451,3583,Fibrocollagenous Tissue,0.0010721046710386872,False,5.390944579630741e-07,0.010731634683907032,0.0010721046710386872,0.0010661635315045714,0.6630717515945435,0.19751696288585663,4.0761500713415444e-05,0.11040866374969482,0.016091329976916313,1.2394076520649833e-07
23,20475,3583,Fibrocollagenous Tissue,0.001421476947143674,False,6.774257599317934e-06,7.332105411705925e-08,0.001421476947143674,5.72468252357794e-06,0.6813459992408752,0.30626174807548523,8.745247214392293e-06,0.004194597713649273,0.006750612054020166,4.236578661220847e-06
24,20731,3583,Fibrocollagenous Tissue,0.0034080594778060913,False,4.4132232801530336e-07,1.2293652424180679e-12,0.0034080594778060913,3.434639666011208e-07,0.6647038459777832,0.3225158452987671,1.545336090202909e-05,2.16236112464685e-05,0.009309237822890282,2.513351500965655e-05
25,20987,3583,Fibrocollagenous Tissue,0.0023130334448069334,False,3.787304692082216e-08,5.998326141343213e-11,0.0023130334448069334,2.582703757525451e-07,0.6157868504524231,0.37954139709472656,7.558244396932423e-05,6.863733233331004e-06,0.0022687874734401703,7.213966910057934e-06
26,21243,3583,Fibrocollagenous Tissue,0.0009103430202230811,False,9.744563556068897e-08,4.234458629071014e-06,0.0009103430202230811,8.639861334813759e-06,0.7095115780830383,0.2883470356464386,8.714108844287694e-05,0.0007944155368022621,0.0003358175454195589,6.626562480960274e-07
27,28153,3583,Hemorrhage,0.0020579472184181213,False,3.0501041692332365e-06,0.024191824719309807,0.0020579472184181213,0.35047397017478943,0.16975037753582,0.43417859077453613,7.016096060397103e-05,0.017086312174797058,0.0021846615709364414,3.155992317260825e-06
28,28409,3583,Hemorrhage,0.031341321766376495,False,1.7383248632540926e-05,3.785487756591266e-10,0.031341321766376495,0.002226351760327816,0.08141182363033295,0.8815441131591797,0.0008421524544246495,0.00011835012264782563,0.0012967543443664908,0.0012016636319458485
29,13053,3839,Fibrocollagenous Tissue,0.0016541024670004845,False,1.7133073626496298e-08,0.007669484708458185,0.0016541024670004845,0.001421817927621305,0.7004656195640564,0.03943004831671715,0.0004426510422490537,0.24472187459468842,0.004193872679024935,5.621012064693787e-07
30,13565,3839,Fibrocollagenous Tissue,0.015814905986189842,False,1.8310501559426484e-07,1.8013221051660366e-05,0.015814905986189842,8.38184350868687e-05,0.705538809299469,0.021415812894701958,0.0010346538620069623,0.19416922330856323,0.061919864267110825,4.673813236877322e-06
31,13821,3839,Fibrocollagenous Tissue,0.005952182691544294,False,6.714593325796159e-08,0.010408573783934116,0.005952182691544294,0.0027228156104683876,0.57399982213974,0.06311856210231781,0.00021441717399284244,0.28179019689559937,0.06179229915142059,1.0948747330985498e-06
32,14844,3839,Hemorrhage,0.000699997297488153,False,1.26756276586093e-07,1.7686379578663036e-05,0.000699997297488153,0.00031934233265928924,0.3973436653614044,0.5963310599327087,0.00013078127813059837,0.005069889593869448,8.709144458407536e-05,4.0139639168046415e-07
33,15100,3839,Fibrocollagenous Tissue,0.007119735237210989,False,1.025704841595143e-05,2.0540927018306114e-20,0.007119735237210989,1.2635220560802685e-12,0.5087119936943054,0.48403188586235046,5.477104787132703e-05,5.202414943283884e-09,7.40851149316768e-08,7.132565951906145e-05
