gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
VHL,True,18,55,38,48,0.12802275960170698,False,estimated,3.458585384958235e-06,0.012392111434305355,5.1878780774373527e-05,0.05226788815704881,0.3135735449419749
BAP1,True,13,55,0,48,30.811764705882354,True,estimated,0.00015359775919531417,0.27517038559840534,0.0011519831939648564,1.777646763222078,534.0570826174057
PBRM1,True,14,55,25,48,0.31414634146341464,False,estimated,0.007910580218658848,1.0,0.03955290109329424,0.13699255998606485,0.7203889310841919
ATM,False,0,55,6,48,0.058905058905058906,True,estimated,0.008582435184974693,1.0,,0.003227869418918084,1.0749523956181182
LAMA4,False,0,55,4,48,0.0890890890890891,True,estimated,0.04400992926248649,1.0,,0.004670860408471895,1.699229927815431
ADAMTS9,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
AHNAK2,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
ANK3,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
CACNA1S,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
FAT3,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
GPRASP1,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
PAIP1,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
PNLIP,False,0,55,3,48,0.11711711711711711,True,estimated,0.09779984280552555,1.0,,0.005895088834695012,2.3267535920913995
COL24A1,False,4,55,0,48,8.475728155339805,True,estimated,0.12114944218579482,1.0,,0.44450619804644087,161.61297205514887
COL6A6,False,4,55,0,48,8.475728155339805,True,estimated,0.12114944218579482,1.0,,0.44450619804644087,161.61297205514887
CPEB4,False,4,55,0,48,8.475728155339805,True,estimated,0.12114944218579482,1.0,,0.44450619804644087,161.61297205514887
MYLK,False,4,55,0,48,8.475728155339805,True,estimated,0.12114944218579482,1.0,,0.44450619804644087,161.61297205514887
SYNE1,False,4,55,0,48,8.475728155339805,True,estimated,0.12114944218579482,1.0,,0.44450619804644087,161.61297205514887
FLG,False,5,55,1,48,4.7,False,estimated,0.2115050384279445,1.0,,0.5293400055465973,41.73121201597041
MTOR,True,5,55,1,48,4.7,False,estimated,0.2115050384279445,1.0,0.7384351798972015,0.5293400055465973,41.73121201597041
SPTA1,False,5,55,1,48,4.7,False,estimated,0.2115050384279445,1.0,,0.5293400055465973,41.73121201597041
ACIN1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
AKR1B15,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
AMER2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
ANKLE2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
ANKRD17,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
ARHGAP45,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
ATP13A4,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
ATP8A2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
BIRC6,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CDC42BPA,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CDH18,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CES1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CFAP74,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CHAF1B,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CLK1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CLPTM1L,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CNOT1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CTNND1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
CTNND2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
FBH1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
FHOD1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
FN1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
GAS2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
GCC1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
GCKR,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
GCN1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
GRID2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
HLA-DPA1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
ITIH2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
JADE3,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
KCND3,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
KCNH7,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
KIF5C,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
KNTC1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
LRRIQ1,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
MICAL2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
MYO1E,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
MYO6,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
NAT8,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
NSD3,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
OGA,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
OR52J3,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
OR6K2,False,0,55,2,48,0.16756756756756758,True,estimated,0.21473443746430615,1.0,,0.007846501888842677,3.5785232831509344
