initial_k,repeat,round,partition_id,review_status,set_id,member_n,router_action,fused_probe_child_sizes,fused_probe_silhouette,normalized_cut,resample_median_ari,consensus_separation,pac,degenerate_fraction,ct_probe_silhouette,wsi_probe_silhouette,rna_probe_silhouette,genomic_probe_silhouette
2,1,1,66b1a213b746,review_complete,C0001,64,accept,"[19, 45]",0.000304,0.994768,0.241877,0.313686,0.864583,0.0,0.012027,0.013129,0.001232,8.2e-05
2,1,1,66b1a213b746,review_complete,C0002,39,accept,"[18, 21]",0.000547,0.995513,0.638333,0.590725,0.607287,0.0,0.004026,0.044726,0.012747,6e-05
3,1,1,97460450350a,review_complete,C0001,38,drop,"[13, 25]",0.000464,0.992047,0.866246,0.830924,0.230441,0.0,0.010868,0.003078,0.018009,8.9e-05
3,1,1,97460450350a,review_complete,C0002,30,drop,"[11, 19]",0.00033,1.010024,0.420898,0.437497,0.811494,0.0,0.007513,0.013209,0.013116,-2.7e-05
3,1,1,97460450350a,review_complete,C0003,35,accept,"[16, 19]",0.000641,0.996119,0.60333,0.627627,0.529412,0.0,0.003473,0.057092,0.008856,5.7e-05
4,1,1,69824f50f770,review_complete,C0001,29,accept,"[14, 15]",0.000385,1.014677,0.524957,0.496083,0.753695,0.0,0.008663,0.001087,0.03108,0.00024
4,1,1,69824f50f770,review_complete,C0002,33,accept,"[16, 17]",0.0007,0.99262,0.704355,0.675745,0.433712,0.0,0.004358,0.06547,0.006053,0.000122
4,1,1,69824f50f770,review_complete,C0003,18,drop,"[9, 9]",0.000886,1.011376,0.713073,0.719765,0.437908,0.0,0.065754,0.000464,0.008892,2.4e-05
4,1,1,69824f50f770,review_complete,C0004,23,drop,"[8, 15]",0.000576,1.013855,0.411991,0.449028,0.790514,0.0,0.002926,0.035402,0.019192,6.6e-05
5,1,1,ba66403a1dbe,review_complete,C0001,21,drop,"[8, 13]",0.000475,1.023434,0.53527,0.550154,0.761905,0.0,0.011975,0.022492,0.014331,5e-06
5,1,1,ba66403a1dbe,review_complete,C0002,32,drop,"[15, 17]",0.000715,0.993783,0.561092,0.62371,0.479839,0.0,0.004064,0.065607,0.007705,2.6e-05
5,1,1,ba66403a1dbe,review_complete,C0003,16,drop,"[7, 9]",0.001041,1.013009,0.667278,0.771803,0.366667,0.0,0.50395,0.002184,0.016587,-0.000128
5,1,1,ba66403a1dbe,review_complete,C0004,20,drop,"[9, 11]",0.000503,1.020514,0.749164,0.570817,0.721053,0.0,0.00953,0.049743,0.000647,0.000246
5,1,1,ba66403a1dbe,review_complete,C0005,14,accept,"[7, 7]",0.000846,1.04489,0.635762,0.659342,0.527473,0.0,0.001456,0.041736,0.014646,-0.000231
6,1,1,2d24c1e50d84,review_complete,C0001,20,drop,"[10, 10]",0.000387,1.027843,0.749164,0.585045,0.610526,0.0,0.002174,0.007191,0.040696,0.000322
6,1,1,2d24c1e50d84,review_complete,C0002,19,drop,"[6, 13]",0.001052,1.014185,0.733696,0.779772,0.321637,0.0,0.007801,0.098607,0.001971,2.9e-05
6,1,1,2d24c1e50d84,review_complete,C0003,15,drop,"[6, 9]",0.000454,1.025938,0.667278,0.694264,0.447619,0.0,-0.002711,0.008023,0.018572,0.000126
6,1,1,2d24c1e50d84,review_complete,C0004,21,drop,"[8, 13]",0.000498,1.017616,0.531707,0.446776,0.738095,0.0,0.021471,0.011394,0.004939,1.9e-05
6,1,1,2d24c1e50d84,review_complete,C0005,16,drop,"[7, 9]",0.001041,1.013009,0.667278,0.771803,0.366667,0.0,0.50395,0.002184,0.016587,-0.000128
6,1,1,2d24c1e50d84,review_complete,C0006,12,accept,"[6, 6]",0.000497,1.059034,0.555556,0.551568,0.681818,0.0,-0.002429,0.016695,0.049455,-4.5e-05
7,1,1,ee3c1e407a79,review_complete,C0001,14,drop,"[5, 9]",0.000603,1.0427,0.633333,0.51333,0.681319,0.0,0.004064,0.018866,0.05867,0.000577
7,1,1,ee3c1e407a79,review_complete,C0002,9,drop,"[3, 6]",0.000702,1.08006,0.432432,0.629923,0.611111,0.0,0.005273,0.04996,-0.011989,0.00062
7,1,1,ee3c1e407a79,review_complete,C0003,15,drop,"[6, 9]",0.001045,1.022545,1.0,0.811368,0.295238,0.0,0.01471,0.081815,0.000998,1e-06
7,1,1,ee3c1e407a79,review_complete,C0004,19,accept,"[6, 13]",0.001011,1.016242,0.733696,0.775704,0.315789,0.0,0.007831,0.11247,-0.000412,-2.6e-05
7,1,1,ee3c1e407a79,review_complete,C0005,12,drop,"[5, 7]",0.001128,1.02387,0.555556,0.750446,0.287879,0.0,-0.003489,0.048641,0.027806,0.00016
7,1,1,ee3c1e407a79,review_complete,C0006,15,drop,"[7, 8]",0.000659,1.040861,0.66482,0.58026,0.666667,0.0,0.007751,0.025112,0.022161,-7.5e-05
7,1,1,ee3c1e407a79,review_complete,C0007,19,drop,"[8, 11]",0.000744,1.008133,1.0,0.812237,0.263158,0.0,0.00512,0.009213,0.018091,2e-06
8,1,1,8eb8fcb76ddc,review_complete,C0001,14,drop,"[7, 7]",0.000583,1.047239,0.344371,0.43307,0.703297,0.0,0.008558,0.02202,0.032048,0.000356
8,1,1,8eb8fcb76ddc,review_complete,C0002,16,drop,"[7, 9]",0.000937,1.022256,0.66482,0.737099,0.408333,0.0,0.011427,0.067542,-0.003079,-7.1e-05
8,1,1,8eb8fcb76ddc,review_complete,C0003,20,accept,"[9, 11]",0.000905,1.013314,0.642217,0.640735,0.431579,0.0,0.006951,0.073523,0.006394,0.000115
