clinical_variable,scope,available_n,total_n,missing_n,availability_fraction
age,ALL,59,59,0,1.0
age,STABLE_CORES,59,59,0,1.0
age,STATE_A,29,29,0,1.0
age,STATE_B,19,19,0,1.0
age,STATE_C,11,11,0,1.0
gender,ALL,59,59,0,1.0
gender,STABLE_CORES,59,59,0,1.0
gender,STATE_A,29,29,0,1.0
gender,STATE_B,19,19,0,1.0
gender,STATE_C,11,11,0,1.0
race,ALL,59,59,0,1.0
race,STABLE_CORES,59,59,0,1.0
race,STATE_A,29,29,0,1.0
race,STATE_B,19,19,0,1.0
race,STATE_C,11,11,0,1.0
stage_group,ALL,59,59,0,1.0
stage_group,STABLE_CORES,59,59,0,1.0
stage_group,STATE_A,29,29,0,1.0
stage_group,STATE_B,19,19,0,1.0
stage_group,STATE_C,11,11,0,1.0
t_stage,ALL,59,59,0,1.0
t_stage,STABLE_CORES,59,59,0,1.0
t_stage,STATE_A,29,29,0,1.0
t_stage,STATE_B,19,19,0,1.0
t_stage,STATE_C,11,11,0,1.0
n_stage,ALL,29,59,30,0.4915254237288136
n_stage,STABLE_CORES,29,59,30,0.4915254237288136
n_stage,STATE_A,11,29,18,0.3793103448275862
n_stage,STATE_B,14,19,5,0.7368421052631579
n_stage,STATE_C,4,11,7,0.36363636363636365
m_stage,ALL,57,59,2,0.9661016949152542
m_stage,STABLE_CORES,57,59,2,0.9661016949152542
m_stage,STATE_A,29,29,0,1.0
m_stage,STATE_B,19,19,0,1.0
m_stage,STATE_C,9,11,2,0.8181818181818182
grade,ALL,59,59,0,1.0
grade,STABLE_CORES,59,59,0,1.0
grade,STATE_A,29,29,0,1.0
grade,STATE_B,19,19,0,1.0
grade,STATE_C,11,11,0,1.0
overall_survival,ALL,59,59,0,1.0
overall_survival,STABLE_CORES,59,59,0,1.0
overall_survival,STATE_A,29,29,0,1.0
overall_survival,STATE_B,19,19,0,1.0
overall_survival,STATE_C,11,11,0,1.0
