core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
STATE_A,STATE_B,age,29,19,54.0,68.0,-0.91502331,-0.91502331,0.00608116,0.05473044,,,,,,,,,,,,,,,,,
STATE_A,STATE_B,gender,,,,,,,0.48780645,0.58536774,FEMALE,8,29,3,19,0.27586206896551724,0.15789473684210525,0.11796733212341198,1.86378738,0.45943099,7.5608818,,,,,,
STATE_A,STATE_B,gender,,,,,,,0.48780645,0.58536774,MALE,21,29,16,19,0.7241379310344828,0.8421052631578947,-0.11796733212341193,0.53654189,0.13225971,2.17660548,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,0.00188804,0.03398472,I,24,29,7,19,0.8275862068965517,0.3684210526315789,0.4591651542649728,7.42424242,2.03522133,27.08274266,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,0.28640148,0.42961602,II,1,29,3,19,0.034482758620689655,0.15789473684210525,-0.1234119782214156,0.2481203,0.03335986,1.84544169,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,0.1272715,0.3697165,III,3,29,6,19,0.10344827586206896,0.3157894736842105,-0.21234119782214156,0.2743106,0.06399957,1.17573133,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,0.28640148,0.42961602,IV,1,29,3,19,0.034482758620689655,0.15789473684210525,-0.1234119782214156,0.2481203,0.03335986,1.84544169,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.02019171,0.0908627,T1A,18,29,5,19,0.6206896551724138,0.2631578947368421,0.3575317604355717,4.24110672,1.24357737,14.46390603,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.28641068,0.42961602,T1B,7,29,2,19,0.2413793103448276,0.10526315789473684,0.13611615245009076,2.33333333,0.48945266,11.12353622,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.28640148,0.42961602,T2,1,29,3,19,0.034482758620689655,0.15789473684210525,-0.1234119782214156,0.2481203,0.03335986,1.84544169,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.23582441,0.42961602,T3A,3,29,5,19,0.10344827586206896,0.2631578947368421,-0.15970961887477314,0.34819897,0.07884792,1.53767551,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.05602451,0.20168824,T3B,0,29,3,19,0.0,0.15789473684210525,-0.15789473684210525,0.07990315,0.00388427,1.64368322,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.39583333,0.54807692,T4,0,29,1,19,0.0,0.05263157894736842,-0.05263157894736842,0.20903955,0.0080809,5.40751147,,,,,,
STATE_A,STATE_B,m_stage,,,,,,,0.55400093,0.58658922,M0,28,29,17,19,0.9655172413793104,0.8947368421052632,0.07078039927404722,2.71428571,0.32908075,22.38765721,,,,,,
