core_a,core_b,pathway,smd_a_vs_b,p_value,q_value,median_a,median_b
STATE_A,STATE_B,HALLMARK_ADIPOGENESIS,1.48971696,9.611e-05,0.00053394,0.48191294,0.43412328
STATE_A,STATE_B,HALLMARK_ALLOGRAFT_REJECTION,-1.50145361,1.277e-05,0.00015962,0.18191019,0.27728079
STATE_A,STATE_B,HALLMARK_ANDROGEN_RESPONSE,1.37336384,3.279e-05,0.00023421,0.43491079,0.35969844
STATE_A,STATE_B,HALLMARK_ANGIOGENESIS,-0.32361043,0.25493637,0.3268415,0.48000355,0.52947594
STATE_A,STATE_B,HALLMARK_APICAL_JUNCTION,-0.80088992,0.01927709,0.04190672,0.29494401,0.31344866
STATE_A,STATE_B,HALLMARK_APICAL_SURFACE,-0.17075527,0.61287505,0.66782263,0.08545271,0.10061541
STATE_A,STATE_B,HALLMARK_APOPTOSIS,-0.97624241,0.0020839,0.00651219,0.42848894,0.45251839
STATE_A,STATE_B,HALLMARK_BILE_ACID_METABOLISM,1.27387835,0.00156509,0.00558961,0.1875036,0.13262841
STATE_A,STATE_B,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.17430704,0.37591174,0.43710667,0.32094032,0.33238303
STATE_A,STATE_B,HALLMARK_COAGULATION,-1.35012373,1.052e-05,0.00015962,0.36243953,0.41662547
STATE_A,STATE_B,HALLMARK_COMPLEMENT,-0.85792732,0.00538827,0.01417966,0.29094564,0.32037462
STATE_A,STATE_B,HALLMARK_DNA_REPAIR,-1.48065192,4.724e-05,0.00029525,0.2865297,0.3121066
STATE_A,STATE_B,HALLMARK_E2F_TARGETS,-0.91048863,0.0298956,0.05749154,0.08325272,0.12451847
STATE_A,STATE_B,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.24467739,0.00026508,0.00120491,0.39642631,0.4658265
STATE_A,STATE_B,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.84607676,0.00951108,0.0237777,0.24994541,0.20792325
STATE_A,STATE_B,HALLMARK_ESTROGEN_RESPONSE_LATE,0.44034457,0.28228774,0.34425334,0.24796088,0.2457196
STATE_A,STATE_B,HALLMARK_FATTY_ACID_METABOLISM,1.65386927,2.724e-05,0.000227,0.43903394,0.36408982
STATE_A,STATE_B,HALLMARK_G2M_CHECKPOINT,-0.80389551,0.09581363,0.15453811,0.09098302,0.11829827
STATE_A,STATE_B,HALLMARK_GLYCOLYSIS,-0.50550531,0.15168861,0.21669801,0.3841888,0.3924002
STATE_A,STATE_B,HALLMARK_HEDGEHOG_SIGNALING,-0.01608029,0.89934133,0.89934133,0.13946497,0.13695005
STATE_A,STATE_B,HALLMARK_HEME_METABOLISM,1.73713648,2.33e-06,5.825e-05,0.33338586,0.28713241
STATE_A,STATE_B,HALLMARK_HYPOXIA,-0.64570895,0.03322892,0.06153504,0.45882313,0.47384598
STATE_A,STATE_B,HALLMARK_IL2_STAT5_SIGNALING,-0.58727629,0.09581363,0.15453811,0.27628294,0.29188236
STATE_A,STATE_B,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.24599067,0.00024416,0.00120491,0.24840608,0.33439975
STATE_A,STATE_B,HALLMARK_INFLAMMATORY_RESPONSE,-0.96219409,0.00239864,0.00705482,0.15645146,0.22279436
STATE_A,STATE_B,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.76746025,0.0298956,0.05749154,0.38402631,0.41784437
STATE_A,STATE_B,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.82123013,0.01821536,0.04139855,0.31919555,0.36644859
STATE_A,STATE_B,HALLMARK_KRAS_SIGNALING_DN,0.56797162,0.17057901,0.23691529,-0.14475455,-0.14879423
STATE_A,STATE_B,HALLMARK_KRAS_SIGNALING_UP,-0.74497495,0.01011031,0.02407217,0.19940452,0.22698286
STATE_A,STATE_B,HALLMARK_MITOTIC_SPINDLE,0.28167785,0.38738362,0.44020866,0.17895389,0.1815634
STATE_A,STATE_B,HALLMARK_MTORC1_SIGNALING,-0.25039129,0.62775327,0.66782263,0.42203873,0.41945056
STATE_A,STATE_B,HALLMARK_MYC_TARGETS_V1,-0.13168578,0.7043312,0.73367833,0.56063301,0.54745911
STATE_A,STATE_B,HALLMARK_MYC_TARGETS_V2,-0.91465019,0.00538827,0.01417966,0.19250169,0.25053296
STATE_A,STATE_B,HALLMARK_MYOGENESIS,-0.51115934,0.15168861,0.21669801,0.26700138,0.27779035
STATE_A,STATE_B,HALLMARK_NOTCH_SIGNALING,-0.18322257,0.76787824,0.78354922,0.33030022,0.33018005
STATE_A,STATE_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.68623481,0.04298094,0.07675168,0.58182722,0.55014959
STATE_A,STATE_B,HALLMARK_P53_PATHWAY,-0.98432619,0.00108407,0.00451696,0.36080438,0.39280549
STATE_A,STATE_B,HALLMARK_PANCREAS_BETA_CELLS,2.0149865,1.38e-06,5.825e-05,0.33153123,0.17412054
STATE_A,STATE_B,HALLMARK_PEROXISOME,1.1785062,0.00125716,0.00483523,0.35861478,0.31851926
STATE_A,STATE_B,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.023378,0.62775327,0.66782263,0.31682255,0.3173116
STATE_A,STATE_B,HALLMARK_PROTEIN_SECRETION,1.43520795,2.057e-05,0.0002057,0.47726118,0.42172298
STATE_A,STATE_B,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.42161607,0.10009054,0.15639147,0.49940732,0.5177821
STATE_A,STATE_B,HALLMARK_SPERMATOGENESIS,0.18769551,0.19843722,0.26815841,-0.17298912,-0.18260443
STATE_A,STATE_B,HALLMARK_TGF_BETA_SIGNALING,0.40421511,0.24624295,0.32400388,0.49628955,0.47695946
STATE_A,STATE_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.93273105,0.00180746,0.00602487,0.36773665,0.43056029
STATE_A,STATE_B,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.55290932,0.12903422,0.19550639,0.41660019,0.43510427
STATE_A,STATE_B,HALLMARK_UV_RESPONSE_DN,0.58260736,0.02833959,0.05749154,0.27440562,0.24127043
STATE_A,STATE_B,HALLMARK_UV_RESPONSE_UP,-0.36296054,0.26384094,0.32980118,0.39342518,0.4053709
STATE_A,STATE_B,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.44065389,0.08014834,0.13818679,0.16051216,0.194391
