state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_A,HALLMARK_ADIPOGENESIS,29,30,5,1.10116075,0.04237649,0.0261553,0.05859767,2.84e-06,0.96151653,B0;B8;BP;CJ;CZ,2.84e-05
STATE_A,HALLMARK_ALLOGRAFT_REJECTION,29,30,5,-1.51880091,-0.13000656,-0.17589322,-0.08411991,5.8e-07,0.91440184,B0;B8;BP;CJ;CZ,1.067e-05
STATE_A,HALLMARK_ANDROGEN_RESPONSE,29,30,5,1.06004848,0.0580736,0.03412271,0.08202449,1.072e-05,0.94521609,B0;B8;BP;CJ;CZ,6.7e-05
STATE_A,HALLMARK_ANGIOGENESIS,29,30,5,0.21489697,-0.00425609,-0.04686751,0.03835534,0.84198416,0.98019476,B0;B8;BP;CJ;CZ,0.85916751
STATE_A,HALLMARK_APICAL_JUNCTION,29,30,5,-0.24785449,-0.02285288,-0.04469831,-0.00100745,0.04066639,0.90779721,B0;B8;BP;CJ;CZ,0.06559095
STATE_A,HALLMARK_APICAL_SURFACE,29,30,5,-0.05892041,-0.00648989,-0.02885513,0.01587535,0.56301929,0.88985326,B0;B8;BP;CJ;CZ,0.62557699
STATE_A,HALLMARK_APOPTOSIS,29,30,5,-0.76683825,-0.02850586,-0.04569727,-0.01131445,0.00160582,0.96282676,B0;B8;BP;CJ;CZ,0.00401455
STATE_A,HALLMARK_BILE_ACID_METABOLISM,29,30,5,0.71096006,0.05525282,0.02835196,0.08215368,0.00013373,0.92228421,B0;B8;BP;CJ;CZ,0.00055721
STATE_A,HALLMARK_CHOLESTEROL_HOMEOSTASIS,29,30,5,-0.03122301,-0.00260081,-0.01877613,0.01357452,0.74834184,0.91670218,B0;B8;BP;CJ;CZ,0.79610834
STATE_A,HALLMARK_COAGULATION,29,30,5,-0.92525104,-0.05190925,-0.07550222,-0.02831629,5.036e-05,0.94389712,B0;B8;BP;CJ;CZ,0.0002518
STATE_A,HALLMARK_COMPLEMENT,29,30,5,-0.94809302,-0.04198877,-0.06700052,-0.01697702,0.00142014,0.95571239,B0;B8;BP;CJ;CZ,0.00388713
STATE_A,HALLMARK_DNA_REPAIR,29,30,5,-1.11494627,-0.02882751,-0.04145042,-0.0162046,2.849e-05,0.97414448,B0;B8;BP;CJ;CZ,0.00015828
STATE_A,HALLMARK_E2F_TARGETS,29,30,5,-0.97470347,-0.04121175,-0.06947084,-0.01295266,0.00505875,0.95771868,B0;B8;BP;CJ;CZ,0.01204464
STATE_A,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,29,30,5,-0.53561326,-0.07544456,-0.12056212,-0.030327,0.00147711,0.8591436,B0;B8;BP;CJ;CZ,0.00388713
STATE_A,HALLMARK_ESTROGEN_RESPONSE_EARLY,29,30,5,0.70928397,0.02562193,0.00792307,0.0433208,0.00536666,0.96387634,B0;B8;BP;CJ;CZ,0.01219695
STATE_A,HALLMARK_ESTROGEN_RESPONSE_LATE,29,30,5,0.35963774,0.01398067,-0.00189545,0.02985679,0.08310794,0.9611257,B0;B8;BP;CJ;CZ,0.12221756
STATE_A,HALLMARK_FATTY_ACID_METABOLISM,29,30,5,1.1587824,0.06492883,0.04189571,0.08796194,6.4e-07,0.94396806,B0;B8;BP;CJ;CZ,1.067e-05
STATE_A,HALLMARK_G2M_CHECKPOINT,29,30,5,-0.79948585,-0.03218607,-0.05936563,-0.00500651,0.02118905,0.95974154,B0;B8;BP;CJ;CZ,0.03783759
STATE_A,HALLMARK_GLYCOLYSIS,29,30,5,-0.51379206,-0.02343306,-0.04533426,-0.00153186,0.03646808,0.95439194,B0;B8;BP;CJ;CZ,0.06078013
STATE_A,HALLMARK_HEDGEHOG_SIGNALING,29,30,5,0.3092052,0.00614459,-0.01921473,0.0315039,0.62897454,0.9801278,B0;B8;BP;CJ;CZ,0.68366798
STATE_A,HALLMARK_HEME_METABOLISM,29,30,5,1.30457275,0.0364629,0.02333169,0.04959412,8.7e-07,0.97204993,B0;B8;BP;CJ;CZ,1.088e-05
STATE_A,HALLMARK_HYPOXIA,29,30,5,-0.33678718,-0.02485847,-0.04551056,-0.00420638,0.01925229,0.92618938,B0;B8;BP;CJ;CZ,0.03565239
STATE_A,HALLMARK_IL2_STAT5_SIGNALING,29,30,5,-0.47339854,-0.02223491,-0.04284141,-0.00162841,0.03497102,0.95303131,B0;B8;BP;CJ;CZ,0.06029486
STATE_A,HALLMARK_IL6_JAK_STAT3_SIGNALING,29,30,5,-1.35460736,-0.094937,-0.1331222,-0.0567518,6.96e-06,0.92991549,B0;B8;BP;CJ;CZ,5.8e-05
STATE_A,HALLMARK_INFLAMMATORY_RESPONSE,29,30,5,-1.07811636,-0.08077826,-0.1226616,-0.03889492,0.00030175,0.92507464,B0;B8;BP;CJ;CZ,0.00107768
STATE_A,HALLMARK_INTERFERON_ALPHA_RESPONSE,29,30,5,-1.04609326,-0.0675747,-0.10780479,-0.02734462,0.00141214,0.93540279,B0;B8;BP;CJ;CZ,0.00388713
STATE_A,HALLMARK_INTERFERON_GAMMA_RESPONSE,29,30,5,-1.05977881,-0.07243795,-0.11354828,-0.03132762,0.00085766,0.93164805,B0;B8;BP;CJ;CZ,0.00268019
STATE_A,HALLMARK_KRAS_SIGNALING_DN,29,30,5,0.7424788,0.01261926,-0.00199123,0.02722975,0.08902101,0.98300388,B0;B8;BP;CJ;CZ,0.12364029
STATE_A,HALLMARK_KRAS_SIGNALING_UP,29,30,5,-0.67405515,-0.03681235,-0.06371662,-0.00990807,0.00825614,0.94538674,B0;B8;BP;CJ;CZ,0.01794813
STATE_A,HALLMARK_MITOTIC_SPINDLE,29,30,5,0.26208557,0.0108466,-0.0097104,0.0314036,0.29471736,0.95861428,B0;B8;BP;CJ;CZ,0.3683967
STATE_A,HALLMARK_MTORC1_SIGNALING,29,30,5,-0.55507422,-0.00695287,-0.0241912,0.01028547,0.42213634,0.98747399,B0;B8;BP;CJ;CZ,0.50254326
STATE_A,HALLMARK_MYC_TARGETS_V1,29,30,5,-0.28462265,-0.00107393,-0.01517311,0.01302524,0.87915413,0.99622683,B0;B8;BP;CJ;CZ,0.87915413
STATE_A,HALLMARK_MYC_TARGETS_V2,29,30,5,-0.8475526,-0.03807865,-0.06862816,-0.00752914,0.01554612,0.95507223,B0;B8;BP;CJ;CZ,0.02989638
STATE_A,HALLMARK_MYOGENESIS,29,30,5,0.281782,-0.00935213,-0.0288857,0.01018143,0.3412669,0.96681075,B0;B8;BP;CJ;CZ,0.41617915
STATE_A,HALLMARK_NOTCH_SIGNALING,29,30,5,0.29368973,0.00252882,-0.02258365,0.02764129,0.84070692,0.99138948,B0;B8;BP;CJ;CZ,0.85916751
STATE_A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,29,30,5,0.47425547,0.03579551,0.00857817,0.06301285,0.01092552,0.92452273,B0;B8;BP;CJ;CZ,0.0227615
STATE_A,HALLMARK_P53_PATHWAY,29,30,5,-0.86251639,-0.02969462,-0.04400675,-0.0153825,0.00011655,0.96557211,B0;B8;BP;CJ;CZ,0.00052977
STATE_A,HALLMARK_PANCREAS_BETA_CELLS,29,30,5,1.57341508,0.13695603,0.09457894,0.17933312,3e-08,0.9129562,B0;B8;BP;CJ;CZ,1.5e-06
STATE_A,HALLMARK_PEROXISOME,29,30,5,0.80073551,0.0349261,0.01764943,0.05220278,0.00016538,0.95638248,B0;B8;BP;CJ;CZ,0.00063608
STATE_A,HALLMARK_PI3K_AKT_MTOR_SIGNALING,29,30,5,-0.39278879,-0.00374336,-0.01525205,0.00776533,0.51696482,0.99046978,B0;B8;BP;CJ;CZ,0.58746002
STATE_A,HALLMARK_PROTEIN_SECRETION,29,30,5,0.76847885,0.05440038,0.03215227,0.07664849,9.29e-06,0.92921032,B0;B8;BP;CJ;CZ,6.636e-05
STATE_A,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,29,30,5,-0.65963399,-0.01353953,-0.02909429,0.00201523,0.08662509,0.97947418,B0;B8;BP;CJ;CZ,0.12364029
STATE_A,HALLMARK_SPERMATOGENESIS,29,30,5,0.10062867,0.01094426,-0.00856043,0.03044896,0.26547221,0.89124109,B0;B8;BP;CJ;CZ,0.35874623
STATE_A,HALLMARK_TGF_BETA_SIGNALING,29,30,5,0.60107469,0.02700169,-0.00275923,0.0567626,0.07444105,0.95507765,B0;B8;BP;CJ;CZ,0.11631414
STATE_A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,29,30,5,-0.83062301,-0.06670643,-0.10302842,-0.03038444,0.00054066,0.91969109,B0;B8;BP;CJ;CZ,0.0018022
STATE_A,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,29,30,5,-0.77740078,-0.01401965,-0.02990585,0.00186654,0.08246544,0.98196599,B0;B8;BP;CJ;CZ,0.12221756
STATE_A,HALLMARK_UV_RESPONSE_DN,29,30,5,0.84963253,0.0334976,0.00762502,0.05937018,0.01214946,0.96057401,B0;B8;BP;CJ;CZ,0.02429892
STATE_A,HALLMARK_UV_RESPONSE_UP,29,30,5,-0.52325184,-0.00562762,-0.01597746,0.00472223,0.28038145,0.98924492,B0;B8;BP;CJ;CZ,0.3683967
STATE_A,HALLMARK_WNT_BETA_CATENIN_SIGNALING,29,30,5,0.13043102,-0.01236687,-0.04695099,0.02221724,0.47638065,0.90518457,B0;B8;BP;CJ;CZ,0.55393099
STATE_A,HALLMARK_XENOBIOTIC_METABOLISM,29,30,5,0.13588151,0.01320323,-0.01179792,0.03820438,0.29429232,0.90283277,B0;B8;BP;CJ;CZ,0.3683967
STATE_B,HALLMARK_ADIPOGENESIS,19,40,5,-1.24131407,-0.04260381,-0.05978417,-0.02542344,7.28e-06,0.96567846,B0;B8;BP;CJ;CZ,7.28e-05
STATE_B,HALLMARK_ALLOGRAFT_REJECTION,19,40,5,0.66846524,0.09391605,0.03911418,0.14871792,0.00115081,0.85950496,B0;B8;BP;CJ;CZ,0.00442619
STATE_B,HALLMARK_ANDROGEN_RESPONSE,19,40,5,-1.198167,-0.05042282,-0.07699805,-0.02384758,0.00036841,0.9579167,B0;B8;BP;CJ;CZ,0.00167459
STATE_B,HALLMARK_ANGIOGENESIS,19,40,5,0.58922253,0.04366168,0.00094372,0.08637964,0.04532016,0.92589951,B0;B8;BP;CJ;CZ,0.07813821
STATE_B,HALLMARK_APICAL_JUNCTION,19,40,5,0.90499121,0.03757953,0.01629518,0.05886387,0.00083915,0.95847526,B0;B8;BP;CJ;CZ,0.00349646
STATE_B,HALLMARK_APICAL_SURFACE,19,40,5,0.19452953,0.01101274,-0.01214801,0.03417349,0.34455748,0.94338783,B0;B8;BP;CJ;CZ,0.43069685
STATE_B,HALLMARK_APOPTOSIS,19,40,5,0.61946084,0.02577579,0.00742485,0.04412673,0.00679077,0.95838996,B0;B8;BP;CJ;CZ,0.01997285
STATE_B,HALLMARK_BILE_ACID_METABOLISM,19,40,5,-1.2139652,-0.06083498,-0.08830506,-0.03336491,4.568e-05,0.94988738,B0;B8;BP;CJ;CZ,0.0002855
STATE_B,HALLMARK_CHOLESTEROL_HOMEOSTASIS,19,40,5,0.22816012,0.00126057,-0.01559243,0.01811356,0.8813141,0.99447508,B0;B8;BP;CJ;CZ,0.8813141
STATE_B,HALLMARK_COAGULATION,19,40,5,1.21876537,0.05795124,0.0340747,0.08182778,1.054e-05,0.95245086,B0;B8;BP;CJ;CZ,8.783e-05
STATE_B,HALLMARK_COMPLEMENT,19,40,5,0.43938572,0.03157126,0.00423164,0.05891088,0.02444624,0.92814682,B0;B8;BP;CJ;CZ,0.04527081
STATE_B,HALLMARK_DNA_REPAIR,19,40,5,1.18402236,0.02664175,0.01295975,0.04032375,0.00026787,0.97749894,B0;B8;BP;CJ;CZ,0.00133935
STATE_B,HALLMARK_E2F_TARGETS,19,40,5,0.53092346,0.03818821,0.00827841,0.06809801,0.01332391,0.9280721,B0;B8;BP;CJ;CZ,0.0317236
STATE_B,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,19,40,5,1.23927157,0.10772458,0.06537167,0.15007749,4.64e-06,0.91307428,B0;B8;BP;CJ;CZ,5.8e-05
STATE_B,HALLMARK_ESTROGEN_RESPONSE_EARLY,19,40,5,-0.65365212,-0.02442542,-0.04308688,-0.00576395,0.01129007,0.96263239,B0;B8;BP;CJ;CZ,0.02849392
STATE_B,HALLMARK_ESTROGEN_RESPONSE_LATE,19,40,5,-0.42180784,-0.01289159,-0.02952466,0.00374148,0.12600044,0.96943729,B0;B8;BP;CJ;CZ,0.18000063
STATE_B,HALLMARK_FATTY_ACID_METABOLISM,19,40,5,-1.43375616,-0.06628055,-0.09053758,-0.04202352,1.2e-06,0.95377139,B0;B8;BP;CJ;CZ,3e-05
STATE_B,HALLMARK_G2M_CHECKPOINT,19,40,5,0.47863484,0.03435413,0.00613467,0.0625736,0.0179857,0.92822476,B0;B8;BP;CJ;CZ,0.03747021
STATE_B,HALLMARK_GLYCOLYSIS,19,40,5,0.40172095,0.01856334,-0.00465123,0.04177791,0.11468421,0.95379046,B0;B8;BP;CJ;CZ,0.16865325
STATE_B,HALLMARK_HEDGEHOG_SIGNALING,19,40,5,0.25384556,0.01392859,-0.01225189,0.04010906,0.29076312,0.94512968,B0;B8;BP;CJ;CZ,0.37277323
STATE_B,HALLMARK_HEME_METABOLISM,19,40,5,-1.52361357,-0.03614722,-0.05018634,-0.02210809,3.71e-06,0.97627534,B0;B8;BP;CJ;CZ,5.8e-05
STATE_B,HALLMARK_HYPOXIA,19,40,5,0.57410572,0.0251635,0.00359824,0.04672876,0.02305914,0.95616922,B0;B8;BP;CJ;CZ,0.04461288
STATE_B,HALLMARK_IL2_STAT5_SIGNALING,19,40,5,0.39714772,0.02054067,-0.0011133,0.04219463,0.06252853,0.94827953,B0;B8;BP;CJ;CZ,0.10421422
STATE_B,HALLMARK_IL6_JAK_STAT3_SIGNALING,19,40,5,0.55134909,0.06774873,0.02332414,0.11217331,0.00348072,0.8771219,B0;B8;BP;CJ;CZ,0.0116024
STATE_B,HALLMARK_INFLAMMATORY_RESPONSE,19,40,5,0.45070035,0.05479923,0.00778588,0.10181258,0.0231987,0.87841316,B0;B8;BP;CJ;CZ,0.04461288
STATE_B,HALLMARK_INTERFERON_ALPHA_RESPONSE,19,40,5,0.23864514,0.03343897,-0.01178299,0.07866094,0.1439622,0.85987994,B0;B8;BP;CJ;CZ,0.19454351
STATE_B,HALLMARK_INTERFERON_GAMMA_RESPONSE,19,40,5,0.26898529,0.03983591,-0.00645742,0.08612924,0.09017966,0.85190302,B0;B8;BP;CJ;CZ,0.14090572
STATE_B,HALLMARK_KRAS_SIGNALING_DN,19,40,5,-0.2507812,-0.01133137,-0.02665218,0.00398944,0.1438743,0.95481571,B0;B8;BP;CJ;CZ,0.19454351
STATE_B,HALLMARK_KRAS_SIGNALING_UP,19,40,5,0.49496483,0.03579033,0.007527,0.06405366,0.01405576,0.92769117,B0;B8;BP;CJ;CZ,0.03194491
STATE_B,HALLMARK_MITOTIC_SPINDLE,19,40,5,-0.19209025,-0.00169861,-0.0233203,0.01992307,0.87539225,0.99115721,B0;B8;BP;CJ;CZ,0.8813141
STATE_B,HALLMARK_MTORC1_SIGNALING,19,40,5,-0.04231014,0.00467466,-0.01333657,0.02268589,0.6048313,0.88951436,B0;B8;BP;CJ;CZ,0.65742533
STATE_B,HALLMARK_MYC_TARGETS_V1,19,40,5,-0.01168602,0.0040427,-0.0105968,0.01868221,0.58198547,0.65405639,B0;B8;BP;CJ;CZ,0.65333578
STATE_B,HALLMARK_MYC_TARGETS_V2,19,40,5,0.72920966,0.04469903,0.01340704,0.07599103,0.00596387,0.93870208,B0;B8;BP;CJ;CZ,0.01863709
STATE_B,HALLMARK_MYOGENESIS,19,40,5,0.86145943,0.0292838,0.01042463,0.04814298,0.00297126,0.96600675,B0;B8;BP;CJ;CZ,0.01061164
STATE_B,HALLMARK_NOTCH_SIGNALING,19,40,5,0.42945009,0.01736424,-0.00834904,0.04307752,0.18132816,0.95956634,B0;B8;BP;CJ;CZ,0.23858968
STATE_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,19,40,5,-0.61508097,-0.03578179,-0.06426254,-0.00730105,0.01478668,0.94182588,B0;B8;BP;CJ;CZ,0.03214496
STATE_B,HALLMARK_P53_PATHWAY,19,40,5,0.81392308,0.02211574,0.00607085,0.03816062,0.00782219,0.97282822,B0;B8;BP;CJ;CZ,0.02172831
STATE_B,HALLMARK_PANCREAS_BETA_CELLS,19,40,5,-1.80742701,-0.14428517,-0.187982,-0.10058835,2e-08,0.92017095,B0;B8;BP;CJ;CZ,1e-06
