view,core_id,partition,best_jaccard,best_overlap_coefficient,best_recall,best_precision,jaccard_retention,delta_jaccard
ALL,CORE01,K2,0.46153846,1.0,1.0,0.46153846,1.0,0.0
ALL,CORE01,K3,0.51428571,1.0,1.0,0.51428571,1.0,0.0
ALL,CORE01,K4,0.54545455,1.0,1.0,0.54545455,1.0,0.0
ALL,CORE01,K5,0.5625,1.0,1.0,0.5625,1.0,0.0
ALL,CORE01,K6,0.94736842,1.0,1.0,0.94736842,1.0,0.0
ALL,CORE01,K7,0.85,0.94444444,0.94444444,0.89473684,1.0,0.0
ALL,CORE01,K8,0.72727273,0.88888889,0.88888889,0.8,1.0,0.0
ALL,CORE02,K2,0.21875,1.0,1.0,0.21875,1.0,0.0
ALL,CORE02,K3,0.33333333,0.92857143,0.92857143,0.34210526,1.0,0.0
ALL,CORE02,K4,0.48275862,1.0,1.0,0.48275862,1.0,0.0
ALL,CORE02,K5,0.66666667,1.0,1.0,0.66666667,1.0,0.0
ALL,CORE02,K6,0.61904762,0.92857143,0.92857143,0.65,1.0,0.0
ALL,CORE02,K7,1.0,1.0,1.0,1.0,1.0,0.0
ALL,CORE02,K8,0.86666667,0.92857143,0.92857143,0.92857143,1.0,0.0
ALL,CORE03,K2,0.2195122,0.81818182,0.81818182,0.23076923,1.0,0.0
ALL,CORE03,K3,0.31428571,1.0,1.0,0.31428571,1.0,0.0
ALL,CORE03,K4,0.33333333,1.0,1.0,0.33333333,1.0,0.0
ALL,CORE03,K5,0.34375,1.0,1.0,0.34375,1.0,0.0
ALL,CORE03,K6,0.73333333,1.0,1.0,0.73333333,1.0,0.0
ALL,CORE03,K7,0.91666667,1.0,1.0,0.91666667,1.0,0.0
ALL,CORE03,K8,0.84615385,1.0,1.0,0.84615385,1.0,0.0
ALL,CORE04,K2,0.171875,1.0,1.0,0.171875,1.0,0.0
ALL,CORE04,K3,0.16666667,0.63636364,0.63636364,0.18421053,1.0,0.0
ALL,CORE04,K4,0.17647059,0.54545455,0.54545455,0.20689655,1.0,0.0
ALL,CORE04,K5,0.78571429,1.0,1.0,0.78571429,1.0,0.0
ALL,CORE04,K6,0.91666667,1.0,1.0,0.91666667,1.0,0.0
ALL,CORE04,K7,0.73333333,1.0,1.0,0.73333333,1.0,0.0
ALL,CORE04,K8,1.0,1.0,1.0,1.0,1.0,0.0
ALL,CORE05,K2,0.078125,1.0,1.0,0.078125,1.0,0.0
ALL,CORE05,K3,0.09375,0.6,0.6,0.1,1.0,0.0
ALL,CORE05,K4,0.17241379,1.0,1.0,0.17241379,1.0,0.0
ALL,CORE05,K5,0.23809524,1.0,1.0,0.23809524,1.0,0.0
ALL,CORE05,K6,0.25,1.0,1.0,0.25,1.0,0.0
ALL,CORE05,K7,0.55555556,1.0,1.0,0.55555556,1.0,0.0
ALL,CORE05,K8,0.4,0.8,0.8,0.44444444,1.0,0.0
minus_RNA,CORE01,K2,0.33333333,0.77777778,0.77777778,0.36842105,0.72222222,-0.12820513
minus_RNA,CORE01,K3,0.35,0.77777778,0.77777778,0.38888889,0.68055556,-0.16428571
minus_RNA,CORE01,K4,0.60869565,0.77777778,0.77777778,0.73684211,1.11594202,0.0632411
minus_RNA,CORE01,K5,0.7,0.875,0.77777778,0.875,1.24444444,0.1375
minus_RNA,CORE01,K6,0.61904762,0.8125,0.72222222,0.8125,0.65343916,-0.3283208
minus_RNA,CORE01,K7,0.6,0.85714286,0.66666667,0.85714286,0.70588235,-0.25
minus_RNA,CORE01,K8,0.65,0.86666667,0.72222222,0.86666667,0.89375,-0.07727273
minus_RNA,CORE02,K2,0.13043478,0.42857143,0.42857143,0.15789474,0.59627328,-0.08831522
minus_RNA,CORE02,K3,0.13207547,0.5,0.5,0.15217391,0.39622641,-0.20125786
minus_RNA,CORE02,K4,0.22857143,0.57142857,0.57142857,0.27586207,0.47346939,-0.25418719
