left_run,right_run,same_initial_k,left_accepted_count,right_accepted_count,accepted_intersection_count,accepted_union_count,both_empty,accepted_coverage_jaccard,adjusted_rand_index,adjusted_mutual_information,matched_mean_jaccard,matched_mean_dice,matched_set_pairs
run1_K2,run1_K3,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run1_K2,run1_K4,False,103,85,85,103,False,0.8252427184466019,0.45563077703613275,0.4809401808243231,0.3891369047619048,0.485663082437276,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.453125, ""dice"": 0.6236559139784946, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.7142857142857143, ""dice"": 0.8333333333333334, ""overlap"": 0.9090909090909091}]"
run1_K2,run1_K5,False,103,14,14,103,False,0.13592233009708737,1.0,1.0,0.109375,0.1794871794871795,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.21875, ""dice"": 0.358974358974359, ""overlap"": 1.0}]"
run1_K2,run1_K6,False,103,12,12,103,False,0.11650485436893204,1.0,1.0,0.09375,0.15789473684210525,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.1875, ""dice"": 0.3157894736842105, ""overlap"": 1.0}]"
run1_K2,run1_K7,False,103,19,19,103,False,0.18446601941747573,0.0,0.0,0.225,0.3103448275862069,"[{""left_set_id"": ""C0002"", ""right_set_id"": ""C0004"", ""jaccard"": 0.45, ""dice"": 0.6206896551724138, ""overlap"": 0.9473684210526315}]"
run1_K2,run1_K8,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run1_K2,run2_K2,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}]"
run1_K2,run2_K3,False,103,35,35,103,False,0.33980582524271846,0.0,0.0,0.38095238095238093,0.43243243243243246,"[{""left_set_id"": ""C0002"", ""right_set_id"": ""C0003"", ""jaccard"": 0.7619047619047619, ""dice"": 0.8648648648648649, ""overlap"": 0.9142857142857143}]"
run1_K2,run2_K4,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run1_K2,run2_K5,False,103,14,14,103,False,0.13592233009708737,1.0,1.0,0.109375,0.1794871794871795,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.21875, ""dice"": 0.358974358974359, ""overlap"": 1.0}]"
run1_K2,run2_K6,False,103,12,12,103,False,0.11650485436893204,1.0,1.0,0.09375,0.15789473684210525,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.1875, ""dice"": 0.3157894736842105, ""overlap"": 1.0}]"
run1_K2,run2_K7,False,103,19,19,103,False,0.18446601941747573,0.0,0.0,0.225,0.3103448275862069,"[{""left_set_id"": ""C0002"", ""right_set_id"": ""C0004"", ""jaccard"": 0.45, ""dice"": 0.6206896551724138, ""overlap"": 0.9473684210526315}]"
run1_K2,run2_K8,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run1_K2,run3_K2,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}]"
run1_K2,run3_K3,False,103,73,73,103,False,0.7087378640776699,0.6940185594958119,0.5855668948488087,0.6421464108031272,0.7755696873343932,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.5223880597014925, ""dice"": 0.6862745098039216, ""overlap"": 0.9210526315789473}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0003"", ""jaccard"": 0.7619047619047619, ""dice"": 0.8648648648648649, ""overlap"": 0.9142857142857143}]"
run1_K2,run3_K4,False,103,85,85,103,False,0.8252427184466019,0.45563077703613275,0.4809401808243231,0.3891369047619048,0.485663082437276,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.453125, ""dice"": 0.6236559139784946, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.7142857142857143, ""dice"": 0.8333333333333334, ""overlap"": 0.9090909090909091}]"
run1_K2,run3_K5,False,103,46,46,103,False,0.44660194174757284,0.7491295680064336,0.6891806682918047,0.45461309523809523,0.5879378837125316,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.21875, ""dice"": 0.358974358974359, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.6904761904761905, ""dice"": 0.8169014084507042, ""overlap"": 0.90625}]"
run1_K2,run3_K6,False,103,31,31,103,False,0.30097087378640774,0.8709838521724654,0.8171869814298707,0.31875,0.46823956442831216,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.1875, ""dice"": 0.3157894736842105, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.45, ""dice"": 0.6206896551724138, ""overlap"": 0.9473684210526315}]"
run1_K2,run3_K7,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run1_K2,run3_K8,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run1_K3,run1_K4,False,0,85,0,85,False,0.0,,,0.0,0.0,[]
run1_K3,run1_K5,False,0,14,0,14,False,0.0,,,0.0,0.0,[]
run1_K3,run1_K6,False,0,12,0,12,False,0.0,,,0.0,0.0,[]
run1_K3,run1_K7,False,0,19,0,19,False,0.0,,,0.0,0.0,[]
run1_K3,run1_K8,False,0,0,0,0,True,,,,,,[]
run1_K3,run2_K2,False,0,103,0,103,False,0.0,,,0.0,0.0,[]
run1_K3,run2_K3,True,0,35,0,35,False,0.0,,,0.0,0.0,[]
run1_K3,run2_K4,False,0,0,0,0,True,,,,,,[]
run1_K3,run2_K5,False,0,14,0,14,False,0.0,,,0.0,0.0,[]
run1_K3,run2_K6,False,0,12,0,12,False,0.0,,,0.0,0.0,[]
run1_K3,run2_K7,False,0,19,0,19,False,0.0,,,0.0,0.0,[]
run1_K3,run2_K8,False,0,0,0,0,True,,,,,,[]
run1_K3,run3_K2,False,0,103,0,103,False,0.0,,,0.0,0.0,[]
run1_K3,run3_K3,True,0,73,0,73,False,0.0,,,0.0,0.0,[]
run1_K3,run3_K4,False,0,85,0,85,False,0.0,,,0.0,0.0,[]
run1_K3,run3_K5,False,0,46,0,46,False,0.0,,,0.0,0.0,[]
run1_K3,run3_K6,False,0,31,0,31,False,0.0,,,0.0,0.0,[]
run1_K3,run3_K7,False,0,0,0,0,True,,,,,,[]
run1_K3,run3_K8,False,0,0,0,0,True,,,,,,[]
run1_K4,run1_K5,False,85,14,13,86,False,0.1511627906976744,0.0,0.0,0.08823529411764706,0.13953488372093023,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.2647058823529412, ""dice"": 0.4186046511627907, ""overlap"": 0.6428571428571429}]"
run1_K4,run1_K6,False,85,12,11,86,False,0.12790697674418605,0.0,0.0,0.06862745098039215,0.11382113821138212,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.20588235294117646, ""dice"": 0.34146341463414637, ""overlap"": 0.5833333333333334}]"
run1_K4,run1_K7,False,85,19,19,85,False,0.2235294117647059,1.0,1.0,0.19191919191919193,0.24358974358974358,"[{""left_set_id"": ""C0002"", ""right_set_id"": ""C0004"", ""jaccard"": 0.5757575757575758, ""dice"": 0.7307692307692307, ""overlap"": 1.0}]"
run1_K4,run1_K8,False,85,0,0,85,False,0.0,,,0.0,0.0,[]
run1_K4,run2_K2,False,85,103,85,103,False,0.8252427184466019,0.45563077703613275,0.48094018082432316,0.3891369047619048,0.485663082437276,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.453125, ""dice"": 0.6236559139784946, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.7142857142857143, ""dice"": 0.8333333333333334, ""overlap"": 0.9090909090909091}]"
run1_K4,run2_K3,False,85,35,32,88,False,0.36363636363636365,1.0,1.0,0.2962962962962963,0.3137254901960784,"[{""left_set_id"": ""C0002"", ""right_set_id"": ""C0003"", ""jaccard"": 0.8888888888888888, ""dice"": 0.9411764705882353, ""overlap"": 0.9696969696969697}]"
run1_K4,run2_K4,True,85,0,0,85,False,0.0,,,0.0,0.0,[]
run1_K4,run2_K5,False,85,14,13,86,False,0.1511627906976744,0.0,0.0,0.08823529411764706,0.13953488372093023,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.2647058823529412, ""dice"": 0.4186046511627907, ""overlap"": 0.6428571428571429}]"
run1_K4,run2_K6,False,85,12,11,86,False,0.12790697674418605,0.0,0.0,0.06862745098039215,0.11382113821138212,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.20588235294117646, ""dice"": 0.34146341463414637, ""overlap"": 0.5833333333333334}]"
run1_K4,run2_K7,False,85,19,19,85,False,0.2235294117647059,1.0,1.0,0.19191919191919193,0.24358974358974358,"[{""left_set_id"": ""C0002"", ""right_set_id"": ""C0004"", ""jaccard"": 0.5757575757575758, ""dice"": 0.7307692307692307, ""overlap"": 1.0}]"
run1_K4,run2_K8,False,85,0,0,85,False,0.0,,,0.0,0.0,[]
run1_K4,run3_K2,False,85,103,85,103,False,0.8252427184466019,0.45563077703613275,0.48094018082432316,0.3891369047619048,0.485663082437276,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.453125, ""dice"": 0.6236559139784946, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.7142857142857143, ""dice"": 0.8333333333333334, ""overlap"": 0.9090909090909091}]"
run1_K4,run3_K3,False,85,73,55,103,False,0.5339805825242718,0.927258576303658,0.8828556312060847,0.45925925925925926,0.5326309628328944,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.4888888888888889, ""dice"": 0.6567164179104478, ""overlap"": 0.7586206896551724}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0003"", ""jaccard"": 0.8888888888888888, ""dice"": 0.9411764705882353, ""overlap"": 0.9696969696969697}]"
run1_K4,run3_K4,True,85,85,85,85,False,1.0,1.0,1.0,1.0,1.0,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}, {""left_set_id"": ""C0004"", ""right_set_id"": ""C0004"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}]"
run1_K4,run3_K5,False,85,46,45,86,False,0.5232558139534884,0.9262502690085586,0.8657735170355297,0.4114676173499703,0.46774001192605846,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.2647058823529412, ""dice"": 0.4186046511627907, ""overlap"": 0.6428571428571429}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.9696969696969697, ""dice"": 0.9846153846153847, ""overlap"": 1.0}]"
run1_K4,run3_K6,False,85,31,30,86,False,0.3488372093023256,0.8717138523761375,0.837211910686619,0.2605466428995841,0.3574108818011257,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.20588235294117646, ""dice"": 0.34146341463414637, ""overlap"": 0.5833333333333334}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.5757575757575758, ""dice"": 0.7307692307692307, ""overlap"": 1.0}]"
run1_K4,run3_K7,False,85,0,0,85,False,0.0,,,0.0,0.0,[]
run1_K4,run3_K8,False,85,0,0,85,False,0.0,,,0.0,0.0,[]
run1_K5,run1_K6,False,14,12,12,14,False,0.8571428571428571,1.0,1.0,0.8571428571428571,0.9230769230769231,"[{""left_set_id"": ""C0005"", ""right_set_id"": ""C0006"", ""jaccard"": 0.8571428571428571, ""dice"": 0.9230769230769231, ""overlap"": 1.0}]"
run1_K5,run1_K7,False,14,19,0,33,False,0.0,,,0.0,0.0,"[{""left_set_id"": ""C0005"", ""right_set_id"": ""C0004"", ""jaccard"": 0.0, ""dice"": 0.0, ""overlap"": 0.0}]"
run1_K5,run1_K8,False,14,0,0,14,False,0.0,,,0.0,0.0,[]
run1_K5,run2_K2,False,14,103,14,103,False,0.13592233009708737,1.0,1.0,0.109375,0.1794871794871795,"[{""left_set_id"": ""C0005"", ""right_set_id"": ""C0001"", ""jaccard"": 0.21875, ""dice"": 0.358974358974359, ""overlap"": 1.0}]"
run1_K5,run2_K3,False,14,35,0,49,False,0.0,,,0.0,0.0,"[{""left_set_id"": ""C0005"", ""right_set_id"": ""C0003"", ""jaccard"": 0.0, ""dice"": 0.0, ""overlap"": 0.0}]"
run1_K5,run2_K4,False,14,0,0,14,False,0.0,,,0.0,0.0,[]
run1_K5,run2_K5,True,14,14,14,14,False,1.0,1.0,1.0,1.0,1.0,"[{""left_set_id"": ""C0005"", ""right_set_id"": ""C0005"", ""jaccard"": 1.0, ""dice"": 1.0, ""overlap"": 1.0}]"
run1_K5,run2_K6,False,14,12,12,14,False,0.8571428571428571,1.0,1.0,0.8571428571428571,0.9230769230769231,"[{""left_set_id"": ""C0005"", ""right_set_id"": ""C0006"", ""jaccard"": 0.8571428571428571, ""dice"": 0.9230769230769231, ""overlap"": 1.0}]"
run1_K5,run2_K7,False,14,19,0,33,False,0.0,,,0.0,0.0,"[{""left_set_id"": ""C0005"", ""right_set_id"": ""C0004"", ""jaccard"": 0.0, ""dice"": 0.0, ""overlap"": 0.0}]"
run1_K5,run2_K8,False,14,0,0,14,False,0.0,,,0.0,0.0,[]
