core_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
CORE01,chr1p,18,85,0.0077,0.00360949,-0.01867747,-0.02060166,0.01675107,0.87578403,0.89402953,-0.02418301,lower_in_core
CORE01,chr1q,18,85,0.01005033,0.02855045,0.01457209,0.03387328,-0.17667684,0.18683352,0.31232822,-0.19934641,lower_in_core
CORE01,chr2p,18,85,0.0114,0.036192,0.02216859,0.04848933,-0.27095344,0.06625172,0.14756065,-0.27712418,lower_in_core
CORE01,chr2q,18,85,0.01039062,0.0257,0.01615624,0.03243032,-0.16501403,0.28349256,0.40856281,-0.1620915,lower_in_core
CORE01,chr3p,18,85,-0.37087909,-0.31370313,-0.38524487,-0.28815375,-0.55432467,0.02064958,0.05621275,-0.34901961,lower_in_core
CORE01,chr3q,18,85,0.0085521,0.0213,-0.04713681,0.00182367,-0.33276003,0.10163763,0.19920975,-0.24705882,lower_in_core
CORE01,chr4p,18,85,0.00958492,0.011,0.01398125,-0.00784408,0.21027283,0.67997362,0.70890867,0.0627451,higher_in_core
CORE01,chr4q,18,85,0.00658173,0.01088212,0.00866151,-0.00101305,0.10509089,0.96190518,0.96190518,-0.00784314,lower_in_core
CORE01,chr5p,18,85,0.01975,0.05144631,0.1015128,0.12637038,-0.15910373,0.17969198,0.31232822,-0.20261438,lower_in_core
CORE01,chr5q,18,85,0.21238207,0.137377,0.21320612,0.17071492,0.28748076,0.16337528,0.30613247,0.21045752,higher_in_core
CORE01,chr6p,18,85,0.00897663,-0.0012,0.00971679,-0.04070332,0.42193623,0.41431796,0.53425211,0.12352941,higher_in_core
CORE01,chr6q,18,85,0.00625489,-0.0077,-0.00678031,-0.06487249,0.41724225,0.33290216,0.46202325,0.14640523,higher_in_core
CORE01,chr7p,18,85,0.00825456,0.0478,0.03264333,0.11256128,-0.61533016,0.00101273,0.01654126,-0.49542484,lower_in_core
CORE01,chr7q,18,85,0.00927753,0.0455,0.03234559,0.11226236,-0.57218,0.00269636,0.02202027,-0.45228758,lower_in_core
CORE01,chr8p,18,85,0.00816522,-0.0216732,-0.0224723,-0.11350516,0.49379159,0.047704,0.1168748,0.29869281,higher_in_core
CORE01,chr8q,18,85,0.00501994,0.01537437,-0.01751977,0.01012929,-0.19877043,0.16868524,0.30613247,-0.20784314,lower_in_core
CORE01,chr9p,18,85,0.0119,-0.0182,0.03520792,-0.09358274,0.81522856,0.01634204,0.04710353,0.3620915,higher_in_core
CORE01,chr9q,18,85,0.00885,-0.0163,0.00832564,-0.09366006,0.65290136,0.05333078,0.12443849,0.29150327,higher_in_core
CORE01,chr10p,18,85,0.0011,0.0127,0.00340218,-0.01536747,0.18163275,0.54903334,0.62564264,-0.09084967,lower_in_core
CORE01,chr10q,18,85,0.00050078,-0.0074,0.00215573,-0.04059898,0.38375845,0.45778663,0.57516782,0.1124183,higher_in_core
CORE01,chr11p,18,85,0.00665,0.0278,0.01294541,0.03657209,-0.43299612,0.09120498,0.18621017,-0.25490196,lower_in_core
CORE01,chr11q,18,85,0.0058,0.02161219,0.01234161,0.02410707,-0.18328809,0.25709371,0.39367474,-0.17124183,lower_in_core
CORE01,chr12p,18,85,0.0095,0.0441,0.024077,0.08932089,-0.60586106,0.00139452,0.01708287,-0.48169935,lower_in_core
CORE01,chr12q,18,85,0.01636428,0.0441,0.0365684,0.08634846,-0.49793601,0.01094442,0.04659364,-0.38366013,lower_in_core
CORE01,chr13p,18,85,0.0,0.0,0.0,0.0,,,,0.0,
CORE01,chr13q,18,85,0.00436283,0.01027612,-0.01445413,-0.01146538,-0.03028062,0.59629416,0.64929809,-0.08039216,lower_in_core
CORE01,chr14p,18,85,0.0,0.0,0.0,0.0,,,,0.0,
CORE01,chr14q,18,85,0.00423355,-0.1321,-0.08042693,-0.16088177,0.40830757,0.07292804,0.15536843,0.27058824,higher_in_core
CORE01,chr15p,18,85,0.0,0.0,0.0,0.0,,,,0.0,
CORE01,chr15q,18,85,0.00803874,0.01988088,0.01331507,0.01038761,0.03622925,0.48450361,0.58764475,-0.10588235,lower_in_core
CORE01,chr16p,18,85,0.00715,0.0455,0.02834202,0.08545906,-0.53429712,0.00071834,0.01654126,-0.50980392,lower_in_core
CORE01,chr16q,18,85,0.01033313,0.0416,0.02877946,0.07696438,-0.45862326,0.0042173,0.02583096,-0.43137255,lower_in_core
CORE01,chr17p,18,85,0.0085,0.0155,0.01445511,0.00135292,0.14726167,0.64844654,0.69073653,-0.06928105,lower_in_core
CORE01,chr17q,18,85,0.00925,0.0237,0.0150184,0.02522397,-0.12719618,0.27196426,0.40382572,-0.16601307,lower_in_core
CORE01,chr18p,18,85,0.0204,0.0146,-0.0055902,-0.02083636,0.1233466,0.56359935,0.62764473,0.0875817,higher_in_core
CORE01,chr18q,18,85,0.0204,0.01180917,-0.00543901,-0.01747522,0.09212219,0.49542173,0.58764475,0.10326797,higher_in_core
CORE01,chr19p,18,85,0.00871648,0.02,0.01528301,0.02642641,-0.17701027,0.3595713,0.47618902,-0.13856209,lower_in_core
CORE01,chr19q,18,85,0.0061,0.0235,0.01207942,0.0436686,-0.42702418,0.02649916,0.06833994,-0.33464052,lower_in_core
CORE01,chr20p,18,85,0.0023,0.0364,-0.00381467,0.07412475,-0.6308289,0.00251022,0.02202027,-0.45555556,lower_in_core
CORE01,chr20q,18,85,0.0059,0.0464,0.01399909,0.09586419,-0.70763097,0.00034637,0.01654126,-0.53921569,lower_in_core
CORE01,chr21p,18,85,0.0,0.0,0.0,0.0,,,,0.0,
CORE01,chr21q,18,85,0.00887159,0.021,-0.0033925,0.01847403,-0.14933119,0.33944565,0.46202325,-0.14444444,lower_in_core
CORE01,chr22p,18,85,0.0,0.0,0.0,0.0,,,,0.0,
CORE01,chr22q,18,85,0.0145506,0.0262,0.01740868,0.01666165,0.00800522,0.19122136,0.31232822,-0.19738562,lower_in_core
CORE01,locus::VHL,18,85,-0.4207,-0.3439,-0.45424444,-0.32809647,-0.62450226,0.00906501,0.04441855,-0.39346405,lower_in_core
CORE01,locus::SETD2,18,85,-0.41675,-0.3399,-0.45178889,-0.34016235,-0.57088251,0.01348693,0.04659364,-0.37254902,lower_in_core
CORE01,locus::PBRM1,18,85,-0.418,-0.3399,-0.45307222,-0.34575863,-0.49997805,0.01316294,0.04659364,-0.37385621,lower_in_core
CORE01,locus::BAP1,18,85,-0.418,-0.3399,-0.45307222,-0.33598,-0.58155022,0.0122319,0.04659364,-0.37777778,lower_in_core
CORE01,locus::JAK2,18,85,0.0119,-0.0163,0.05957222,-0.088419,0.83365546,0.01450074,0.04659364,0.36862745,higher_in_core
CORE01,locus::CDKN2A,18,85,0.0096,-0.0182,0.03536111,-0.12364353,0.80309316,0.01521425,0.04659364,0.36601307,higher_in_core
CORE01,locus::PTEN,18,85,0.0002,-0.0072,0.00206111,-0.05013993,0.41405494,0.5036955,0.58764475,0.10130719,higher_in_core
CORE01,fga,18,85,0.07091401,0.14605736,0.09301118,0.18506987,-0.61486408,0.00410319,0.02583096,-0.43267974,lower_in_core
CORE01,gain_burden,18,85,0.03371179,0.05096396,0.04140439,0.08097002,-0.45506556,0.214253,0.33865797,-0.1875817,lower_in_core
CORE01,loss_burden,18,85,0.03559053,0.07654066,0.05160678,0.10409985,-0.64812287,0.00582945,0.03173812,-0.41568627,lower_in_core
CORE02,chr1p,14,89,-0.00162186,0.0083,-0.06490474,-0.01324348,-0.45527679,0.16146286,0.41640422,-0.23434992,lower_in_core
CORE02,chr1q,14,89,0.00223817,0.0268,0.02112598,0.03197486,-0.09913825,0.15161408,0.41272722,-0.2399679,lower_in_core
CORE02,chr2p,14,89,0.01007839,0.0345,0.03274756,0.04564227,-0.13216909,0.23465126,0.50333881,-0.19903692,lower_in_core
CORE02,chr2q,14,89,0.00919289,0.0247,0.01008498,0.03265393,-0.22910183,0.4823712,0.6018855,-0.11797753,lower_in_core
