modality,core_id,silhouette,available_n
ct,CORE01,-0.0045245,18
ct,CORE02,-0.005737,14
ct,CORE03,-0.000248,11
ct,CORE04,0.008419,11
ct,CORE05,-0.006889,5
wsi,CORE01,0.061808,18
wsi,CORE02,-0.008408,14
wsi,CORE03,-0.000939,11
wsi,CORE04,0.025349,11
wsi,CORE05,0.012339,5
rna,CORE01,0.015377,18
rna,CORE02,0.013352,14
rna,CORE03,0.021655,11
rna,CORE04,0.037726,11
rna,CORE05,0.004432,5
genomic,CORE01,0.0002135,18
genomic,CORE02,-0.000297,14
genomic,CORE03,-0.000169,11
genomic,CORE04,-2.8e-05,11
genomic,CORE05,-0.000466,5
fused,CORE01,0.000776,18
fused,CORE02,0.0001705,14
fused,CORE03,0.000631,11
fused,CORE04,0.000749,11
fused,CORE05,0.000517,5
