core_id,core_size,main_set_id,main_set_size,main_decision,intersection_n,core_fraction_in_main,main_fraction_captured,jaccard,overlap_coefficient
CORE01,18,C0001,29,accept,0,0.0,0.0,0.0,0.0
CORE01,18,C0002,33,accept,18,1.0,0.5454545454545454,0.5454545454545454,1.0
CORE01,18,C0003,18,drop,0,0.0,0.0,0.0,0.0
CORE01,18,C0004,23,accept,0,0.0,0.0,0.0,0.0
CORE02,14,C0001,29,accept,14,1.0,0.4827586206896552,0.4827586206896552,1.0
CORE02,14,C0002,33,accept,0,0.0,0.0,0.0,0.0
CORE02,14,C0003,18,drop,0,0.0,0.0,0.0,0.0
CORE02,14,C0004,23,accept,0,0.0,0.0,0.0,0.0
CORE03,11,C0001,29,accept,0,0.0,0.0,0.0,0.0
CORE03,11,C0002,33,accept,11,1.0,0.3333333333333333,0.3333333333333333,1.0
CORE03,11,C0003,18,drop,0,0.0,0.0,0.0,0.0
CORE03,11,C0004,23,accept,0,0.0,0.0,0.0,0.0
CORE04,11,C0001,29,accept,6,0.5454545454545454,0.20689655172413793,0.17647058823529413,0.5454545454545454
CORE04,11,C0002,33,accept,0,0.0,0.0,0.0,0.0
CORE04,11,C0003,18,drop,1,0.09090909090909091,0.05555555555555555,0.03571428571428571,0.09090909090909091
CORE04,11,C0004,23,accept,4,0.36363636363636365,0.17391304347826086,0.13333333333333333,0.36363636363636365
CORE05,5,C0001,29,accept,5,1.0,0.1724137931034483,0.1724137931034483,1.0
CORE05,5,C0002,33,accept,0,0.0,0.0,0.0,0.0
CORE05,5,C0003,18,drop,0,0.0,0.0,0.0,0.0
CORE05,5,C0004,23,accept,0,0.0,0.0,0.0,0.0
