core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
CORE01,CORE02,mutation::ARID1A,0.4375,1.0,0.24324324,0.00918346,6.44280536,0.0,0.07142857142857142,-0.07142857142857142
CORE01,CORE02,mutation::ATM,0.56814516,1.0,0.42857143,0.04989794,3.68098329,0.05555555555555555,0.14285714285714285,-0.0873015873015873
CORE01,CORE02,mutation::BAP1,0.18346774,1.0,0.13513514,0.00596678,3.06052857,0.0,0.14285714285714285,-0.14285714285714285
CORE01,CORE02,mutation::CDKN2A,1.0,1.0,0.78378378,0.01464809,41.93836444,0.0,0.0,0.0
CORE01,CORE02,mutation::DST,1.0,1.0,0.77142857,0.07197216,8.26850281,0.05555555555555555,0.07142857142857142,-0.015873015873015872
CORE01,CORE02,mutation::ELOC,1.0,1.0,0.78378378,0.01464809,41.93836444,0.0,0.0,0.0
CORE01,CORE02,mutation::FLG,1.0,1.0,0.78378378,0.01464809,41.93836444,0.0,0.0,0.0
CORE01,CORE02,mutation::KDM5C,0.6128198,1.0,2.03225806,0.26235311,15.74242015,0.16666666666666666,0.07142857142857142,0.09523809523809523
CORE01,CORE02,mutation::KMT2C,1.0,1.0,0.78378378,0.01464809,41.93836444,0.0,0.0,0.0
CORE01,CORE02,mutation::LYST,0.56814516,1.0,0.42857143,0.04989794,3.68098329,0.05555555555555555,0.14285714285714285,-0.0873015873015873
CORE01,CORE02,mutation::MTOR,1.0,1.0,0.77142857,0.07197216,8.26850281,0.05555555555555555,0.07142857142857142,-0.015873015873015872
CORE01,CORE02,mutation::MUC16,0.6128198,1.0,2.03225806,0.26235311,15.74242015,0.16666666666666666,0.07142857142857142,0.09523809523809523
CORE01,CORE02,mutation::PBRM1,0.03557333,0.78261326,5.03809524,1.11377024,22.78962268,0.6111111111111112,0.21428571428571427,0.39682539682539686
CORE01,CORE02,mutation::PIK3CA,0.18346774,1.0,0.13513514,0.00596678,3.06052857,0.0,0.14285714285714285,-0.14285714285714285
CORE01,CORE02,mutation::PTEN,0.56814516,1.0,0.42857143,0.04989794,3.68098329,0.05555555555555555,0.14285714285714285,-0.0873015873015873
CORE01,CORE02,mutation::SETD2,1.0,1.0,0.77142857,0.07197216,8.26850281,0.05555555555555555,0.07142857142857142,-0.015873015873015872
CORE01,CORE02,mutation::SPTA1,1.0,1.0,0.78378378,0.01464809,41.93836444,0.0,0.0,0.0
CORE01,CORE02,mutation::TP53,1.0,1.0,0.78378378,0.01464809,41.93836444,0.0,0.0,0.0
CORE01,CORE02,mutation::TSC1,1.0,1.0,0.78378378,0.01464809,41.93836444,0.0,0.0,0.0
CORE01,CORE02,mutation::TSC2,1.0,1.0,0.77142857,0.07197216,8.26850281,0.05555555555555555,0.07142857142857142,-0.015873015873015872
CORE01,CORE02,mutation::TTN,0.49193548,1.0,4.39393939,0.19454716,99.2391962,0.1111111111111111,0.0,0.1111111111111111
CORE01,CORE02,mutation::VHL,1.0,1.0,0.8877193,0.21976257,3.5858953,0.6111111111111112,0.6428571428571429,-0.031746031746031744
CORE01,CORE03,mutation::ARID1A,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::ATM,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE03,mutation::BAP1,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::CDKN2A,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::DST,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE03,mutation::ELOC,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::FLG,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::KDM5C,0.26847291,1.0,5.19354839,0.24354943,110.74936361,0.16666666666666666,0.0,0.16666666666666666
CORE01,CORE03,mutation::KMT2C,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::LYST,1.0,1.0,0.6,0.05503052,6.541824,0.05555555555555555,0.09090909090909091,-0.03535353535353536
CORE01,CORE03,mutation::MTOR,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE03,mutation::MUC16,1.0,1.0,1.58064516,0.20005956,12.48847679,0.16666666666666666,0.09090909090909091,0.07575757575757575
CORE01,CORE03,mutation::PBRM1,0.05237306,1.0,5.82666667,1.09738365,30.93726101,0.6111111111111112,0.18181818181818182,0.42929292929292934
CORE01,CORE03,mutation::PIK3CA,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::PTEN,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE03,mutation::SETD2,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE03,mutation::SPTA1,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::TP53,0.37931034,1.0,0.18918919,0.00705479,5.07350922,0.0,0.09090909090909091,-0.09090909090909091
CORE01,CORE03,mutation::TSC1,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE03,mutation::TSC2,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE03,mutation::TTN,0.62207907,1.0,0.57575758,0.08388319,3.95188576,0.1111111111111111,0.18181818181818182,-0.07070707070707072
CORE01,CORE03,mutation::VHL,0.4656837,1.0,1.81212121,0.42024236,7.81402253,0.6111111111111112,0.45454545454545453,0.15656565656565663
CORE01,CORE04,mutation::ARID1A,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::ATM,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE04,mutation::BAP1,0.00389036,0.08558792,0.03194103,0.00154339,0.66103011,0.0,0.45454545454545453,-0.45454545454545453
CORE01,CORE04,mutation::CDKN2A,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::DST,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE04,mutation::ELOC,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::FLG,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::KDM5C,0.26847291,1.0,5.19354839,0.24354943,110.74936361,0.16666666666666666,0.0,0.16666666666666666
CORE01,CORE04,mutation::KMT2C,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::LYST,1.0,1.0,0.6,0.05503052,6.541824,0.05555555555555555,0.09090909090909091,-0.03535353535353536
CORE01,CORE04,mutation::MTOR,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE04,mutation::MUC16,1.0,1.0,1.58064516,0.20005956,12.48847679,0.16666666666666666,0.09090909090909091,0.07575757575757575
CORE01,CORE04,mutation::PBRM1,0.12813593,0.93966349,3.72380952,0.79207757,17.50681739,0.6111111111111112,0.2727272727272727,0.33838383838383845
CORE01,CORE04,mutation::PIK3CA,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::PTEN,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE04,mutation::SETD2,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE04,mutation::SPTA1,0.04515599,0.49671589,0.06563707,0.00303927,1.41752134,0.0,0.2727272727272727,-0.2727272727272727
CORE01,CORE04,mutation::TP53,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::TSC1,1.0,1.0,0.62162162,0.01151712,33.55121378,0.0,0.0,0.0
CORE01,CORE04,mutation::TSC2,1.0,1.0,1.97142857,0.07373718,52.70787957,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE04,mutation::TTN,1.0,1.0,1.06060606,0.12144706,9.26235043,0.1111111111111111,0.09090909090909091,0.020202020202020193
CORE01,CORE04,mutation::VHL,1.0,1.0,1.2974359,0.30088358,5.59465518,0.6111111111111112,0.5454545454545454,0.06565656565656575
CORE01,CORE05,mutation::ARID1A,1.0,1.0,0.2972973,0.00526358,16.79194606,0.0,0.0,0.0
CORE01,CORE05,mutation::ATM,1.0,1.0,0.94285714,0.0333787,26.63313897,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE05,mutation::BAP1,0.03952569,0.43478259,0.03783784,0.00147561,0.97024609,0.0,0.4,-0.4
CORE01,CORE05,mutation::CDKN2A,1.0,1.0,0.2972973,0.00526358,16.79194606,0.0,0.0,0.0
CORE01,CORE05,mutation::DST,1.0,1.0,0.94285714,0.0333787,26.63313897,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE05,mutation::ELOC,1.0,1.0,0.2972973,0.00526358,16.79194606,0.0,0.0,0.0
CORE01,CORE05,mutation::FLG,0.03952569,0.43478259,0.03783784,0.00147561,0.97024609,0.0,0.4,-0.4
CORE01,CORE05,mutation::KDM5C,1.0,1.0,2.48387097,0.10980881,56.18506611,0.16666666666666666,0.0,0.16666666666666666
CORE01,CORE05,mutation::KMT2C,1.0,1.0,0.2972973,0.00526358,16.79194606,0.0,0.0,0.0
CORE01,CORE05,mutation::LYST,1.0,1.0,0.94285714,0.0333787,26.63313897,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE05,mutation::MTOR,1.0,1.0,0.94285714,0.0333787,26.63313897,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE05,mutation::MUC16,1.0,1.0,2.48387097,0.10980881,56.18506611,0.16666666666666666,0.0,0.16666666666666666
CORE01,CORE05,mutation::PBRM1,0.1549526,1.0,4.6,0.58381695,36.24423688,0.6111111111111112,0.2,0.41111111111111115
CORE01,CORE05,mutation::PIK3CA,1.0,1.0,0.2972973,0.00526358,16.79194606,0.0,0.0,0.0
CORE01,CORE05,mutation::PTEN,1.0,1.0,0.94285714,0.0333787,26.63313897,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE05,mutation::SETD2,0.39525692,1.0,0.25714286,0.02134009,3.09850877,0.05555555555555555,0.2,-0.14444444444444446
CORE01,CORE05,mutation::SPTA1,1.0,1.0,0.2972973,0.00526358,16.79194606,0.0,0.0,0.0
CORE01,CORE05,mutation::TP53,0.2173913,1.0,0.08108108,0.00280967,2.33982447,0.0,0.2,-0.2
CORE01,CORE05,mutation::TSC1,1.0,1.0,0.2972973,0.00526358,16.79194606,0.0,0.0,0.0
CORE01,CORE05,mutation::TSC2,1.0,1.0,0.94285714,0.0333787,26.63313897,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE05,mutation::TTN,0.53924337,1.0,0.45454545,0.04663772,4.43013839,0.1111111111111111,0.2,-0.0888888888888889
CORE01,CORE05,mutation::VHL,1.0,1.0,1.0952381,0.16954456,7.07511059,0.6111111111111112,0.6,0.011111111111111183
CORE02,CORE03,mutation::ARID1A,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE03,mutation::ATM,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE03,mutation::BAP1,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE03,mutation::CDKN2A,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
