core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
CORE01,mutation::ARID1A,1.0,1.0,0.63706564,0.03153323,12.87063332,-0.03529411764705882,ARID1A,0,18,3,85,0.0,0.03529411764705882,-0.03529411764705882
CORE01,mutation::ATM,1.0,1.0,1.25454545,0.19181972,8.20501811,-0.0032679738562091526,ATM,1,18,5,85,0.05555555555555555,0.058823529411764705,-0.0032679738562091526
CORE01,mutation::BAP1,0.78365919,0.11754629,0.14514515,0.00824177,2.55614061,-0.15294117647058825,BAP1,0,18,13,85,0.0,0.15294117647058825,-0.15294117647058825
CORE01,mutation::CDKN2A,1.0,1.0,4.62162162,0.0888025,240.52686977,0.0,CDKN2A,0,18,0,85,0.0,0.0,0.0
CORE01,mutation::DST,1.0,1.0,1.25454545,0.19181972,8.20501811,-0.0032679738562091526,DST,1,18,5,85,0.05555555555555555,0.058823529411764705,-0.0032679738562091526
CORE01,mutation::ELOC,1.0,1.0,1.52252252,0.05962991,38.87436726,-0.011764705882352941,ELOC,0,18,1,85,0.0,0.011764705882352941,-0.011764705882352941
CORE01,mutation::FLG,1.0,0.58706767,0.33056133,0.01781682,6.1330126,-0.07058823529411765,FLG,0,18,6,85,0.0,0.07058823529411765,-0.07058823529411765
CORE01,mutation::KDM5C,0.70982824,0.06452984,5.32258065,1.09867891,25.78539059,0.13137254901960782,KDM5C,3,18,3,85,0.16666666666666666,0.03529411764705882,0.13137254901960782
CORE01,mutation::KMT2C,1.0,1.0,1.52252252,0.05962991,38.87436726,-0.011764705882352941,KMT2C,0,18,1,85,0.0,0.011764705882352941,-0.011764705882352941
CORE01,mutation::LYST,1.0,1.0,1.25454545,0.19181972,8.20501811,-0.0032679738562091526,LYST,1,18,5,85,0.05555555555555555,0.058823529411764705,-0.0032679738562091526
CORE01,mutation::MTOR,1.0,1.0,1.25454545,0.19181972,8.20501811,-0.0032679738562091526,MTOR,1,18,5,85,0.05555555555555555,0.058823529411764705,-0.0032679738562091526
CORE01,mutation::MUC16,0.78365919,0.14248349,3.30498534,0.77816386,14.03679691,0.10784313725490195,MUC16,3,18,5,85,0.16666666666666666,0.058823529411764705,0.10784313725490195
CORE01,mutation::PBRM1,0.70982824,0.03326493,3.09356725,1.11145524,8.61047569,0.2816993464052288,PBRM1,11,18,28,85,0.6111111111111112,0.32941176470588235,0.2816993464052288
CORE01,mutation::PIK3CA,1.0,1.0,0.48948949,0.02523638,9.49423045,-0.047058823529411764,PIK3CA,0,18,4,85,0.0,0.047058823529411764,-0.047058823529411764
CORE01,mutation::PTEN,1.0,1.0,1.55238095,0.22788579,10.57497529,0.008496732026143788,PTEN,1,18,4,85,0.05555555555555555,0.047058823529411764,0.008496732026143788
CORE01,mutation::SETD2,1.0,1.0,1.25454545,0.19181972,8.20501811,-0.0032679738562091526,SETD2,1,18,5,85,0.05555555555555555,0.058823529411764705,-0.0032679738562091526
CORE01,mutation::SPTA1,1.0,0.58706767,0.33056133,0.01781682,6.1330126,-0.07058823529411765,SPTA1,0,18,6,85,0.0,0.07058823529411765,-0.07058823529411765
CORE01,mutation::TP53,1.0,1.0,0.63706564,0.03153323,12.87063332,-0.03529411764705882,TP53,0,18,3,85,0.0,0.03529411764705882,-0.03529411764705882
CORE01,mutation::TSC1,1.0,1.0,0.9027027,0.04157454,19.60026958,-0.023529411764705882,TSC1,0,18,2,85,0.0,0.023529411764705882,-0.023529411764705882
CORE01,mutation::TSC2,1.0,0.32038835,4.82857143,0.47403908,49.183924,0.04379084967320261,TSC2,1,18,1,85,0.05555555555555555,0.011764705882352941,0.04379084967320261
CORE01,mutation::TTN,1.0,0.68585104,1.38146168,0.30610196,6.23464283,0.016993464052287577,TTN,2,18,8,85,0.1111111111111111,0.09411764705882353,0.016993464052287577
CORE01,mutation::VHL,1.0,0.60805093,1.36483516,0.49576113,3.75740434,0.0816993464052288,VHL,11,18,45,85,0.6111111111111112,0.5294117647058824,0.0816993464052288
CORE02,mutation::ARID1A,0.98410103,0.35785492,3.88888889,0.47439079,31.87974401,0.048956661316211875,ARID1A,1,14,2,89,0.07142857142857142,0.02247191011235955,0.048956661316211875
CORE02,mutation::ATM,0.93324451,0.1871722,3.8,0.72536886,19.90711323,0.09791332263242375,ATM,2,14,4,89,0.14285714285714285,0.0449438202247191,0.09791332263242375
CORE02,mutation::BAP1,1.0,1.0,1.36521739,0.30697597,6.07154536,0.019261637239165325,BAP1,2,14,11,89,0.14285714285714285,0.12359550561797752,0.019261637239165325
CORE02,mutation::CDKN2A,1.0,1.0,6.17241379,0.11777453,323.48838376,0.0,CDKN2A,0,14,0,89,0.0,0.0,0.0
CORE02,mutation::DST,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,DST,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE02,mutation::ELOC,1.0,1.0,2.03448276,0.07900557,52.39022903,-0.011235955056179775,ELOC,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775
CORE02,mutation::FLG,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,FLG,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::KDM5C,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,KDM5C,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE02,mutation::KMT2C,1.0,1.0,2.03448276,0.07900557,52.39022903,-0.011235955056179775,KMT2C,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775
CORE02,mutation::LYST,0.93324451,0.1871722,3.8,0.72536886,19.90711323,0.09791332263242375,LYST,2,14,4,89,0.14285714285714285,0.0449438202247191,0.09791332263242375
CORE02,mutation::MTOR,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,MTOR,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE02,mutation::MUC16,1.0,1.0,1.22222222,0.19312202,7.73514659,-0.007223113964687,MUC16,1,14,7,89,0.07142857142857142,0.07865168539325842,-0.007223113964687
CORE02,mutation::PBRM1,0.93324451,0.23978795,0.44609887,0.12548578,1.58587056,-0.19020866773675763,PBRM1,3,14,36,89,0.21428571428571427,0.4044943820224719,-0.19020866773675763
CORE02,mutation::PIK3CA,0.93324451,0.08815398,7.0,1.10006189,44.54294825,0.1203852327447833,PIK3CA,2,14,2,89,0.14285714285714285,0.02247191011235955,0.1203852327447833
CORE02,mutation::PTEN,0.93324451,0.13537435,4.94285714,0.87804698,27.82520455,0.10914927768860352,PTEN,2,14,3,89,0.14285714285714285,0.033707865168539325,0.10914927768860352
CORE02,mutation::SETD2,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,SETD2,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE02,mutation::SPTA1,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,SPTA1,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::TP53,1.0,1.0,0.85221675,0.04179821,17.37570721,-0.033707865168539325,TP53,0,14,3,89,0.0,0.033707865168539325,-0.033707865168539325
CORE02,mutation::TSC1,1.0,1.0,1.20689655,0.05508906,26.44080736,-0.02247191011235955,TSC1,0,14,2,89,0.0,0.02247191011235955,-0.02247191011235955
CORE02,mutation::TSC2,0.93324451,0.25452123,6.55555556,0.6349348,67.68460075,0.06019261637239165,TSC2,1,14,1,89,0.07142857142857142,0.011235955056179775,0.06019261637239165
