core_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
CORE01,HALLMARK_ADIPOGENESIS,18,85,0.47897262,0.46768751,0.47751541,0.46370354,0.42471897,up,0.10719863,0.20981723,18,85
CORE01,HALLMARK_ALLOGRAFT_REJECTION,18,85,0.19230124,0.25714252,0.19111363,0.25671883,-0.67268594,down,0.00357358,0.05955967,18,85
CORE01,HALLMARK_ANDROGEN_RESPONSE,18,85,0.43676558,0.3989328,0.42043186,0.39194297,0.54825537,up,0.01348693,0.09633521,18,85
CORE01,HALLMARK_ANGIOGENESIS,18,85,0.49168134,0.45241457,0.49015783,0.44948546,0.49902121,up,0.06498144,0.19112188,18,85
CORE01,HALLMARK_APICAL_JUNCTION,18,85,0.29794491,0.29284792,0.29434031,0.28754444,0.16724632,up,0.71855327,0.84308912,18,85
CORE01,HALLMARK_APICAL_SURFACE,18,85,0.08642266,0.08833008,0.08583454,0.08311337,0.05635029,up,0.88606212,0.92298137,18,85
CORE01,HALLMARK_APOPTOSIS,18,85,0.44081437,0.43883619,0.43379779,0.43615592,-0.06496875,down,0.52895488,0.67814728,18,85
CORE01,HALLMARK_BILE_ACID_METABOLISM,18,85,0.17730295,0.17532065,0.17986444,0.16719956,0.24049685,up,0.56360363,0.6873215,18,85
CORE01,HALLMARK_CHOLESTEROL_HOMEOSTASIS,18,85,0.32378537,0.31972447,0.32175522,0.32199198,-0.00813907,down,0.8655282,0.92298137,18,85
CORE01,HALLMARK_COAGULATION,18,85,0.3678839,0.37903459,0.36651053,0.37129746,-0.09839099,down,0.24631906,0.40302468,18,85
CORE01,HALLMARK_COMPLEMENT,18,85,0.2925629,0.31820829,0.29275083,0.30586505,-0.260567,down,0.09120587,0.20561526,18,85
CORE01,HALLMARK_DNA_REPAIR,18,85,0.29119022,0.30190501,0.28900347,0.30276176,-0.51737736,down,0.0352121,0.17792162,18,85
CORE01,HALLMARK_E2F_TARGETS,18,85,0.09227065,0.1039331,0.08579154,0.11164381,-0.51167181,down,0.08165277,0.20561526,18,85
CORE01,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,18,85,0.40259277,0.40698566,0.39189022,0.39495973,-0.03392894,down,0.72505664,0.84308912,18,85
CORE01,HALLMARK_ESTROGEN_RESPONSE_EARLY,18,85,0.25037089,0.22930422,0.24284319,0.22680341,0.47124101,up,0.09458302,0.20561526,18,85
CORE01,HALLMARK_ESTROGEN_RESPONSE_LATE,18,85,0.2453884,0.25043004,0.24708017,0.2456563,0.05096176,up,0.96190518,0.96190518,18,85
CORE01,HALLMARK_FATTY_ACID_METABOLISM,18,85,0.42153978,0.40825873,0.42472333,0.405746,0.38666941,up,0.12533605,0.2321038,18,85
