state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_A,chr1p,29,30,0.0083,0.00280563,-0.05190411,-0.02320485,-0.20198545,0.69902596,0.79656447,-0.05977011,lower_in_core
STATE_A,chr1q,29,30,0.0118,0.04661652,-0.02572141,0.05086775,-0.68541963,0.04617097,0.11312667,-0.30344828,lower_in_core
STATE_A,chr2p,29,30,0.0124,0.03768821,-0.00216113,0.05322047,-0.62771385,0.02435065,0.08602953,-0.34252874,lower_in_core
STATE_A,chr2q,29,30,0.01215462,0.0279,0.00379355,0.02972973,-0.27422653,0.3791739,0.46448803,-0.13448276,lower_in_core
STATE_A,chr3p,29,30,-0.36094315,-0.26939341,-0.31195479,-0.25433058,-0.29615716,0.08255596,0.14447293,-0.26436782,lower_in_core
STATE_A,chr3q,29,30,0.01728328,0.03195078,-0.00365305,-0.00228048,-0.00886098,0.61150546,0.71342304,-0.07816092,lower_in_core
STATE_A,chr4p,29,30,0.0140933,-0.00145,0.0316026,-0.01834773,0.59145567,0.07482584,0.140347,0.27126437,higher_in_core
STATE_A,chr4q,29,30,0.01789406,0.00278285,0.03233844,-0.00949434,0.52464927,0.12381918,0.19571419,0.23448276,higher_in_core
STATE_A,chr5p,29,30,0.02026581,0.10691066,0.08365743,0.15462174,-0.47045583,0.04617415,0.11312667,-0.30344828,lower_in_core
STATE_A,chr5q,29,30,0.1999353,0.13628981,0.17471337,0.17471614,-1.814e-05,0.99395131,0.99395131,0.00229885,higher_in_core
STATE_A,chr6p,29,30,0.00918931,-0.01162964,-0.00945735,-0.06334589,0.43165173,0.13531861,0.20720662,0.22758621,higher_in_core
STATE_A,chr6q,29,30,0.0091,-0.0299674,-0.02194255,-0.08511614,0.48353003,0.01915386,0.0782116,0.35632184,higher_in_core
STATE_A,chr7p,29,30,0.012,0.09546699,0.05319258,0.12622054,-0.57430906,0.00368999,0.03651284,-0.44137931,lower_in_core
STATE_A,chr7q,29,30,0.012,0.05423342,0.0526476,0.12309515,-0.49358999,0.03442198,0.0992163,-0.32183908,lower_in_core
STATE_A,chr8p,29,30,0.00973083,-0.0203366,-0.03920491,-0.09581028,0.33780671,0.24918719,0.35912272,0.17586207,higher_in_core
STATE_A,chr8q,29,30,0.011,0.0294791,-0.00824704,0.056626,-0.55353637,0.05321772,0.11337688,-0.29425287,lower_in_core
STATE_A,chr9p,29,30,0.012,-0.09875,0.00258415,-0.11096236,0.72875024,0.00141491,0.0231102,0.48505747,higher_in_core
STATE_A,chr9q,29,30,0.0118,-0.07599845,-0.0132755,-0.11267581,0.65348529,0.00406348,0.03651284,0.43678161,higher_in_core
STATE_A,chr10p,29,30,0.00450771,0.00577546,-0.01595449,-0.01885116,0.02637379,0.86158054,0.93816548,-0.02758621,lower_in_core
STATE_A,chr10q,29,30,0.0019,-0.02346756,-0.01749652,-0.06415041,0.4026328,0.05321772,0.11337688,0.29425287,higher_in_core
STATE_A,chr11p,29,30,0.0127,0.02683161,0.03103364,0.03948008,-0.14918776,0.36698427,0.4610828,-0.13793103,lower_in_core
STATE_A,chr11q,29,30,0.0127,0.01805,0.03144654,0.0102733,0.30656562,0.90946395,0.9468361,0.0183908,higher_in_core
STATE_A,chr12p,29,30,0.0154,0.06832698,0.04613613,0.1045666,-0.51585216,0.01183849,0.06945443,-0.38275862,lower_in_core
STATE_A,chr12q,29,30,0.02024187,0.07385221,0.05392468,0.09664569,-0.43117061,0.0258245,0.08602953,-0.33908046,lower_in_core
STATE_A,chr13p,29,30,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr13q,29,30,0.01027612,-0.00165,-0.0089529,-0.03100165,0.21155389,0.27832924,0.38966094,0.16551724,higher_in_core
STATE_A,chr14p,29,30,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr14q,29,30,0.00275823,-0.20827979,-0.08987239,-0.18070599,0.45726919,0.05321772,0.11337688,0.29425287,higher_in_core
STATE_A,chr15p,29,30,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr15q,29,30,0.01052502,0.02709314,0.03239159,0.01664023,0.21326839,0.90946264,0.9468361,-0.0183908,lower_in_core
STATE_A,chr16p,29,30,0.0193,0.04805,0.07665103,0.06672998,0.08267036,0.14762621,0.21920255,-0.22068966,lower_in_core
STATE_A,chr16q,29,30,0.0274,0.04889529,0.06397946,0.06361829,0.00321048,0.12016033,0.19571419,-0.23678161,lower_in_core
